Affymetrix ID,Gene,p.value.ASDvsControls ,FDR.ASDvsControls ,p.value.ASDvsControls.males,FDR.ASDvsControls.males,p.value.ASDvsControls.females,FDR.ASDvsControls.females,Two.way.ANOVA.p.Dx.,Two.way.ANOVA.p.Gender.,Two.way.ANOVA.p.Dx*Gender
7894884,--,1.54E-04,1.19E-02,8.97E-03,3.35E-02,1.44E-02,6.41E-01,2.83E-04,3.65E-01,4.01E-01
8139832,ZNF117,1.58E-04,1.21E-02,1.07E-03,3.00E-02,1.23E-01,7.08E-01,4.26E-04,4.27E-01,6.44E-01
8004144,MIS12,1.59E-04,1.21E-02,6.98E-03,3.24E-02,1.28E-02,6.40E-01,3.40E-04,6.89E-01,4.26E-01
8053775,ZNF514,1.63E-04,1.23E-02,4.06E-03,3.13E-02,5.31E-02,6.73E-01,2.67E-04,2.02E-01,8.52E-01
8013479,CCDC144NL,1.63E-04,1.23E-02,3.19E-02,4.45E-02,7.77E-03,6.35E-01,4.23E-06,5.86E-03,7.46E-01
8096251,NUDT9,1.65E-04,1.24E-02,2.11E-02,3.92E-02,8.38E-03,6.35E-01,2.00E-04,1.98E-01,1.99E-01
7892951,--,1.67E-04,1.25E-02,2.65E-04,2.75E-02,2.63E-01,7.56E-01,4.90E-04,5.42E-01,3.80E-01
8039655,ZNF550,1.68E-04,1.25E-02,7.31E-03,3.27E-02,1.15E-02,6.35E-01,1.73E-04,9.01E-01,3.49E-01
8004699,CHD3,1.69E-04,1.25E-02,6.32E-04,3.00E-02,1.74E-01,7.28E-01,3.25E-04,5.37E-01,5.21E-01
8004508,SNORA67,1.72E-04,1.26E-02,5.36E-03,3.14E-02,1.51E-02,6.41E-01,2.62E-04,9.91E-01,5.66E-01
7929768,CUTC,1.72E-04,1.26E-02,7.61E-03,3.29E-02,2.48E-02,6.45E-01,4.62E-04,1.85E-01,4.54E-01
8036813,ZNF780B,1.73E-04,1.26E-02,1.50E-03,3.01E-02,4.94E-02,6.67E-01,5.31E-04,8.91E-01,9.28E-01
8144078,SHH,1.75E-04,1.26E-02,5.85E-04,3.00E-02,7.32E-02,6.93E-01,6.46E-04,4.46E-01,6.16E-01
7929945,--,1.76E-04,1.26E-02,2.27E-04,2.75E-02,2.15E-01,7.43E-01,1.48E-03,7.91E-01,3.44E-01
7945979,TRIM68,1.76E-04,1.26E-02,1.04E-02,3.42E-02,4.43E-02,6.66E-01,1.80E-04,1.32E-02,4.32E-01
8160016,RANBP6,1.77E-04,1.26E-02,7.27E-04,3.00E-02,7.59E-02,6.93E-01,5.84E-04,6.79E-01,8.82E-01
8023259,SNORD58A,1.78E-04,1.26E-02,1.21E-03,3.00E-02,7.79E-02,6.94E-01,3.25E-04,9.51E-01,8.16E-01
8029399,ZNF226,1.81E-04,1.27E-02,3.97E-03,3.13E-02,3.95E-02,6.60E-01,4.41E-04,4.01E-01,9.33E-01
8089714,LSAMP,1.81E-04,1.27E-02,2.78E-05,2.75E-02,4.22E-01,7.97E-01,3.50E-04,1.98E-01,8.94E-02
8081465,BBX,1.83E-04,1.27E-02,2.46E-04,2.75E-02,1.40E-01,7.23E-01,6.40E-04,4.60E-01,5.74E-01
8160581,TOPORS,1.83E-04,1.27E-02,2.88E-03,3.13E-02,5.80E-02,6.79E-01,6.07E-04,3.50E-01,7.90E-01
8156610,HABP4,1.85E-04,1.27E-02,6.62E-03,3.20E-02,3.31E-02,6.45E-01,1.84E-04,2.97E-01,6.76E-01
7979743,RDH11,1.85E-04,1.27E-02,2.84E-03,3.12E-02,3.31E-02,6.45E-01,8.42E-04,7.64E-01,7.07E-01
8034401,ZNF564,1.89E-04,1.28E-02,1.98E-03,3.11E-02,7.29E-02,6.93E-01,6.93E-04,4.64E-01,8.82E-01
8180310,DNAJB6,1.89E-04,1.28E-02,1.04E-03,3.00E-02,1.78E-01,7.29E-01,7.79E-04,1.33E-01,7.31E-01
8028186,ZNF146,1.89E-04,1.28E-02,5.70E-03,3.15E-02,1.55E-02,6.41E-01,5.74E-04,8.94E-01,4.39E-01
8116494,ZFP62,1.91E-04,1.29E-02,1.90E-03,3.11E-02,5.83E-02,6.79E-01,4.03E-04,8.34E-01,9.10E-01
7952335,SNORD14E,1.92E-04,1.29E-02,1.05E-03,3.00E-02,7.54E-02,6.93E-01,4.56E-04,9.37E-01,9.90E-01
8180218,--,1.93E-04,1.29E-02,2.48E-03,3.12E-02,8.40E-02,6.94E-01,5.54E-04,2.61E-01,9.08E-01
7947189,CCDC34,1.94E-04,1.29E-02,4.34E-05,2.75E-02,6.33E-01,8.36E-01,1.66E-03,9.17E-01,9.38E-02
8132118,AQP1,1.95E-04,1.29E-02,8.00E-05,2.75E-02,4.65E-01,8.06E-01,7.87E-04,7.61E-01,1.51E-01
7996837,CDH1,1.98E-04,1.31E-02,9.75E-03,3.38E-02,1.11E-02,6.35E-01,9.93E-04,4.48E-01,2.80E-01
8139085,--,2.01E-04,1.31E-02,3.42E-05,2.75E-02,9.06E-01,8.78E-01,1.12E-03,6.75E-01,3.88E-02
8110408,THOC3,2.01E-04,1.31E-02,1.74E-02,3.75E-02,3.21E-03,6.06E-01,2.72E-04,4.64E-01,2.82E-01
8049959,FLJ41327,2.03E-04,1.31E-02,6.52E-04,3.00E-02,1.89E-01,7.34E-01,9.36E-04,3.93E-01,6.77E-01
8115476,MED7,2.04E-04,1.31E-02,3.06E-03,3.13E-02,2.70E-02,6.45E-01,6.76E-04,8.92E-01,7.06E-01
7968265,PDX1,2.04E-04,1.31E-02,2.87E-04,2.75E-02,1.93E-01,7.35E-01,6.02E-04,7.64E-01,5.28E-01
8122701,--,2.05E-04,1.31E-02,1.47E-03,3.01E-02,9.03E-02,6.96E-01,6.48E-04,6.19E-01,9.29E-01
8089993,WDR5B,2.06E-04,1.31E-02,2.34E-03,3.11E-02,6.12E-02,6.79E-01,6.01E-04,6.10E-01,9.25E-01
8038962,ZNF836,2.08E-04,1.31E-02,8.55E-03,3.34E-02,2.11E-02,6.45E-01,2.65E-04,4.67E-01,6.08E-01
7927071,ZNF37A,2.08E-04,1.31E-02,1.02E-03,3.00E-02,8.49E-02,6.94E-01,4.93E-04,9.03E-01,8.69E-01
8152759,TATDN1,2.08E-04,1.31E-02,2.01E-02,3.88E-02,1.32E-03,5.98E-01,2.21E-04,2.56E-01,7.38E-02
7980463,SNW1,2.09E-04,1.31E-02,9.64E-03,3.37E-02,2.88E-02,6.45E-01,4.30E-04,1.36E-01,3.45E-01
7894426,--,2.10E-04,1.31E-02,6.60E-02,5.99E-02,1.80E-03,5.98E-01,7.59E-05,1.34E-01,1.34E-01
7893523,--,2.11E-04,1.31E-02,5.94E-03,3.15E-02,1.28E-01,7.12E-01,2.53E-04,2.47E-03,7.19E-01
7895833,--,2.13E-04,1.31E-02,9.57E-03,3.37E-02,2.90E-02,6.45E-01,4.88E-04,1.44E-01,4.88E-01
8092905,LSG1,2.16E-04,1.31E-02,5.38E-03,3.14E-02,3.70E-02,6.59E-01,6.82E-04,3.16E-01,6.71E-01
8067798,SOX18,2.17E-04,1.31E-02,1.58E-02,3.66E-02,1.66E-03,5.98E-01,3.38E-04,4.35E-01,1.75E-01
7893821,--,2.18E-04,1.31E-02,1.00E-03,3.00E-02,9.82E-02,7.00E-01,6.79E-04,9.17E-01,8.56E-01
8180356,RPL7L1,2.18E-04,1.31E-02,1.51E-02,3.63E-02,1.98E-02,6.45E-01,2.32E-04,1.59E-01,3.64E-01
8084812,--,2.19E-04,1.31E-02,2.03E-04,2.75E-02,2.08E-01,7.42E-01,9.61E-04,4.87E-01,3.43E-01
8005141,TTC19,2.19E-04,1.31E-02,8.84E-03,3.34E-02,1.55E-02,6.41E-01,5.94E-04,5.58E-01,4.41E-01
8007745,HEXIM1,2.20E-04,1.31E-02,4.56E-03,3.13E-02,8.71E-02,6.94E-01,5.92E-04,5.17E-02,9.77E-01
8118613,SLC39A7,2.22E-04,1.31E-02,2.20E-03,3.11E-02,1.73E-01,7.28E-01,4.88E-04,2.42E-02,8.24E-01
8178225,SLC39A7,2.22E-04,1.31E-02,2.20E-03,3.11E-02,1.73E-01,7.28E-01,4.88E-04,2.42E-02,8.24E-01
8179525,SLC39A7,2.22E-04,1.31E-02,2.20E-03,3.11E-02,1.73E-01,7.28E-01,4.88E-04,2.42E-02,8.24E-01
8176460,PRKY,2.22E-04,1.31E-02,3.37E-04,2.75E-02,3.54E-01,7.78E-01,2.99E-12,3.64E-54,6.09E-03
8072573,--,2.25E-04,1.32E-02,5.79E-02,5.62E-02,5.58E-04,5.79E-01,9.62E-05,7.54E-01,1.02E-01
8033780,ZNF426,2.27E-04,1.32E-02,3.95E-03,3.13E-02,3.65E-02,6.59E-01,6.26E-04,6.96E-01,5.86E-01
7918792,DENND2C,2.27E-04,1.32E-02,3.41E-04,2.75E-02,1.52E-01,7.25E-01,8.94E-04,4.46E-01,4.40E-01
8066776,TP53RK,2.31E-04,1.34E-02,3.49E-03,3.13E-02,3.89E-02,6.59E-01,7.51E-04,7.20E-01,7.72E-01
7955110,--,2.32E-04,1.34E-02,8.57E-03,3.34E-02,1.75E-02,6.43E-01,4.49E-04,5.36E-01,6.07E-01
8121319,SOBP,2.33E-04,1.34E-02,5.84E-05,2.75E-02,8.99E-01,8.76E-01,1.41E-03,5.13E-01,4.62E-02
7914141,RPA2,2.36E-04,1.35E-02,2.01E-02,3.88E-02,1.94E-03,5.98E-01,6.19E-04,6.43E-01,6.10E-02
8176476,--,2.37E-04,1.35E-02,2.12E-03,3.11E-02,2.04E-02,6.45E-01,2.27E-04,1.68E-01,9.11E-01
7910217,WNT3A,2.38E-04,1.35E-02,2.97E-04,2.75E-02,1.64E-01,7.26E-01,1.62E-03,4.29E-01,4.02E-01
8034512,SNORD41,2.39E-04,1.36E-02,7.59E-04,3.00E-02,1.05E-01,7.01E-01,4.96E-04,6.20E-01,5.85E-01
8020889,ZNF397,2.41E-04,1.36E-02,2.05E-03,3.11E-02,1.10E-01,7.01E-01,6.94E-04,2.77E-01,9.70E-01
7897089,PLCH2,2.43E-04,1.36E-02,3.48E-04,2.75E-02,7.46E-02,6.93E-01,1.30E-03,1.48E-01,9.33E-01
8145793,SNORD13,2.43E-04,1.36E-02,4.39E-03,3.13E-02,2.36E-02,6.45E-01,2.95E-04,7.95E-01,7.16E-01
7970732,PRHOXNB,2.45E-04,1.36E-02,4.39E-05,2.75E-02,5.23E-01,8.16E-01,4.77E-04,7.26E-01,9.77E-02
8176375,RPS4Y1,2.45E-04,1.36E-02,1.98E-03,3.11E-02,4.41E-01,8.00E-01,9.21E-10,2.42E-44,2.44E-02
8010078,SNORD1C,2.48E-04,1.38E-02,9.78E-04,3.00E-02,7.92E-02,6.94E-01,6.10E-04,5.67E-01,6.20E-01
7917597,--,2.50E-04,1.38E-02,2.78E-04,2.75E-02,2.88E-01,7.62E-01,1.15E-03,9.92E-01,3.16E-01
7896546,--,2.53E-04,1.39E-02,2.40E-03,3.12E-02,2.26E-02,6.45E-01,1.11E-03,4.18E-01,6.94E-01
7962811,C12orf41,2.55E-04,1.39E-02,2.56E-03,3.12E-02,1.10E-01,7.01E-01,6.83E-04,1.81E-01,9.88E-01
8098752,ABCA11P,2.56E-04,1.39E-02,2.55E-02,4.13E-02,1.12E-02,6.35E-01,1.71E-04,2.52E-01,2.76E-01
8174047,TIMM8A,2.60E-04,1.41E-02,7.99E-03,3.32E-02,1.46E-02,6.41E-01,6.40E-04,9.49E-01,3.80E-01
8134880,MOSPD3,2.61E-04,1.41E-02,2.71E-04,2.75E-02,2.14E-01,7.43E-01,7.97E-04,3.93E-01,2.49E-01
7894330,--,2.63E-04,1.41E-02,2.28E-03,3.11E-02,1.22E-01,7.08E-01,4.21E-04,2.72E-01,7.83E-01
8026122,RAD23A,2.64E-04,1.41E-02,1.01E-01,7.46E-02,1.84E-04,4.02E-01,1.68E-04,7.81E-01,2.70E-02
8115886,THOC3,2.64E-04,1.41E-02,2.00E-02,3.87E-02,3.13E-03,6.06E-01,3.68E-04,5.32E-01,2.96E-01
8034578,KLF1,2.65E-04,1.41E-02,1.85E-03,3.10E-02,1.12E-01,7.01E-01,1.42E-03,3.75E-01,8.71E-01
7908758,SHISA4,2.67E-04,1.41E-02,8.60E-05,2.75E-02,2.75E-01,7.58E-01,1.02E-03,1.85E-01,2.89E-01
8116532,SNORD95,2.68E-04,1.41E-02,2.68E-03,3.12E-02,2.37E-02,6.45E-01,3.17E-04,3.08E-01,8.08E-01
8114030,KIF3A,2.69E-04,1.41E-02,2.95E-03,3.13E-02,5.14E-02,6.71E-01,5.98E-04,8.90E-01,8.37E-01
7922414,SNORD76,2.70E-04,1.41E-02,2.07E-03,3.11E-02,5.85E-02,6.79E-01,4.50E-04,8.51E-01,9.43E-01
7998931,ZNF200,2.71E-04,1.41E-02,1.39E-02,3.56E-02,6.76E-03,6.35E-01,8.47E-04,8.11E-01,2.82E-01
8149733,TNFRSF10B,2.71E-04,1.41E-02,4.75E-03,3.13E-02,2.18E-01,7.43E-01,6.00E-04,3.59E-04,7.18E-01
7895846,--,2.71E-04,1.41E-02,1.04E-02,3.42E-02,2.32E-02,6.45E-01,5.50E-04,3.44E-01,4.91E-01
8026007,ZNF791,2.73E-04,1.41E-02,4.88E-03,3.13E-02,3.63E-02,6.59E-01,7.24E-04,6.66E-01,7.61E-01
8143065,C7orf49,2.75E-04,1.42E-02,3.29E-03,3.13E-02,7.30E-02,6.93E-01,6.45E-04,4.37E-01,9.09E-01
7960143,ZNF84,2.77E-04,1.42E-02,5.30E-03,3.13E-02,2.60E-02,6.45E-01,6.51E-04,9.71E-01,6.04E-01
8112649,FAM169A,2.78E-04,1.42E-02,6.52E-03,3.19E-02,3.57E-02,6.54E-01,6.08E-04,4.85E-01,6.38E-01
8059783,NGEF,2.79E-04,1.42E-02,1.22E-04,2.75E-02,2.50E-01,7.51E-01,2.38E-03,3.02E-01,4.40E-01
7919560,--,2.82E-04,1.42E-02,1.19E-02,3.51E-02,1.40E-02,6.41E-01,3.90E-04,6.36E-01,5.31E-01
8059014,FEV,2.84E-04,1.42E-02,6.02E-03,3.15E-02,1.56E-02,6.41E-01,4.90E-04,7.72E-01,7.38E-01
7893779,--,2.85E-04,1.42E-02,2.42E-03,3.12E-02,1.26E-01,7.10E-01,1.07E-03,1.87E-01,9.08E-01
8004325,EIF5A,2.85E-04,1.42E-02,1.34E-02,3.54E-02,4.14E-03,6.08E-01,3.31E-04,4.02E-01,2.54E-01
7976158,--,2.85E-04,1.42E-02,1.97E-04,2.75E-02,3.07E-01,7.66E-01,1.52E-03,8.03E-01,4.50E-01
8002087,RANBP10,2.86E-04,1.42E-02,9.07E-02,7.02E-02,1.66E-03,5.98E-01,3.59E-04,1.90E-01,2.60E-02
8052731,PPP3R1,2.86E-04,1.42E-02,8.53E-04,3.00E-02,7.72E-02,6.94E-01,8.25E-04,4.04E-01,8.98E-01
7969228,ALG11,2.88E-04,1.42E-02,2.53E-03,3.12E-02,5.47E-02,6.75E-01,9.16E-04,9.22E-01,6.78E-01
8073949,CRELD2,2.91E-04,1.42E-02,9.54E-05,2.75E-02,4.65E-01,8.06E-01,7.65E-04,8.38E-01,1.96E-01
8162880,MRPL50,2.91E-04,1.42E-02,1.38E-02,3.56E-02,8.64E-03,6.35E-01,5.60E-04,9.42E-01,3.02E-01
8058373,WDR12,2.92E-04,1.42E-02,2.04E-02,3.89E-02,8.12E-03,6.35E-01,5.36E-04,6.64E-01,1.77E-01
8086752,SNORD13,2.92E-04,1.42E-02,8.08E-03,3.32E-02,1.58E-02,6.41E-01,3.12E-04,9.52E-01,6.17E-01
8046560,HOXD3,2.92E-04,1.42E-02,7.51E-04,3.00E-02,6.92E-02,6.90E-01,1.65E-03,3.10E-01,7.32E-01
7919556,--,2.92E-04,1.42E-02,1.29E-02,3.53E-02,1.23E-02,6.35E-01,3.97E-04,6.77E-01,4.99E-01
7925174,TOMM20,2.94E-04,1.42E-02,4.62E-03,3.13E-02,3.13E-02,6.45E-01,9.12E-04,9.15E-01,6.59E-01
8099362,--,2.94E-04,1.42E-02,1.76E-03,3.08E-02,2.04E-01,7.39E-01,1.20E-03,1.02E-01,6.38E-01
8011027,MYO1C,2.95E-04,1.42E-02,5.66E-04,3.00E-02,8.80E-02,6.94E-01,2.33E-03,2.85E-01,5.95E-01
7993298,ERCC4,2.98E-04,1.42E-02,2.79E-03,3.12E-02,5.16E-02,6.71E-01,1.01E-03,9.54E-01,7.36E-01
8115164,--,2.99E-04,1.43E-02,1.21E-02,3.51E-02,4.26E-02,6.62E-01,5.43E-04,6.67E-02,5.14E-01
8154765,DNAJA1,3.01E-04,1.43E-02,1.11E-02,3.47E-02,2.05E-02,6.45E-01,6.93E-04,4.68E-01,3.35E-01
8062766,MYBL2,3.01E-04,1.43E-02,1.79E-03,3.09E-02,7.15E-02,6.93E-01,1.05E-03,9.95E-01,8.80E-01
8026272,IL27RA,3.02E-04,1.43E-02,3.67E-04,2.75E-02,1.62E-01,7.26E-01,8.94E-04,3.85E-01,4.93E-01
8176730,RPS4Y2,3.04E-04,1.43E-02,2.13E-03,3.11E-02,4.27E-01,7.97E-01,1.99E-10,1.60E-48,2.31E-02
8155268,POLR1E,3.05E-04,1.43E-02,1.46E-02,3.59E-02,1.77E-02,6.43E-01,4.47E-04,3.46E-01,3.71E-01
8034589,FARSA,3.05E-04,1.43E-02,6.09E-03,3.15E-02,4.12E-02,6.61E-01,5.54E-04,4.75E-01,8.74E-01
8027566,CEBPG,3.07E-04,1.43E-02,2.48E-03,3.12E-02,1.33E-01,7.16E-01,1.07E-03,2.02E-01,8.35E-01
8162669,ZNF322,3.07E-04,1.43E-02,7.28E-04,3.00E-02,1.86E-01,7.32E-01,8.31E-04,7.41E-01,6.04E-01
8096081,ENOPH1,3.09E-04,1.43E-02,1.24E-02,3.52E-02,1.63E-02,6.41E-01,7.60E-04,4.23E-01,4.53E-01
7931926,--,3.10E-04,1.43E-02,4.25E-03,3.13E-02,6.67E-02,6.88E-01,5.78E-04,4.50E-01,9.46E-01
8066214,TGM2,3.11E-04,1.43E-02,1.54E-04,2.75E-02,4.04E-01,7.92E-01,1.59E-03,7.49E-01,2.28E-01
8086482,ZNF445,3.12E-04,1.43E-02,3.38E-03,3.13E-02,1.24E-01,7.08E-01,5.94E-04,1.06E-01,9.80E-01
8093826,ADRA2C,3.12E-04,1.43E-02,1.30E-02,3.53E-02,9.37E-03,6.35E-01,8.79E-04,7.36E-01,3.38E-01
8052940,PAIP2B,3.16E-04,1.44E-02,6.16E-03,3.16E-02,3.03E-02,6.45E-01,3.03E-04,9.64E-01,4.98E-01
8029321,ZNF283,3.19E-04,1.44E-02,6.93E-03,3.24E-02,2.63E-02,6.45E-01,5.12E-04,9.36E-01,4.78E-01
7979565,WDR89,3.21E-04,1.44E-02,1.66E-02,3.70E-02,4.50E-03,6.11E-01,6.21E-04,7.34E-01,2.36E-01
7896464,--,3.21E-04,1.44E-02,8.53E-03,3.34E-02,2.72E-02,6.45E-01,9.44E-04,5.58E-01,4.45E-01
8060745,SMOX,3.22E-04,1.44E-02,4.34E-02,4.97E-02,9.08E-03,6.35E-01,3.26E-04,3.79E-02,2.60E-01
8151909,UQCRB,3.23E-04,1.44E-02,6.94E-03,3.24E-02,4.02E-02,6.61E-01,9.53E-04,4.02E-01,5.84E-01
7969792,--,3.23E-04,1.44E-02,1.43E-03,3.01E-02,2.09E-02,6.45E-01,1.01E-03,6.81E-02,7.13E-01
7971561,--,3.24E-04,1.44E-02,4.07E-04,2.76E-02,1.59E-01,7.26E-01,1.33E-03,5.14E-01,6.79E-01
8137627,DNAJB6,3.27E-04,1.44E-02,1.08E-03,3.00E-02,2.18E-01,7.43E-01,1.59E-03,3.21E-01,5.63E-01
7901046,SNORD55,3.28E-04,1.44E-02,4.55E-03,3.13E-02,4.19E-02,6.61E-01,5.53E-04,8.26E-01,9.15E-01
8065018,TASP1,3.28E-04,1.44E-02,1.27E-03,3.00E-02,1.57E-01,7.26E-01,6.18E-04,4.01E-01,8.54E-01
8072488,DRG1,3.29E-04,1.44E-02,1.73E-02,3.74E-02,2.74E-02,6.45E-01,7.24E-04,6.80E-02,4.08E-01
8027385,VSTM2B,3.30E-04,1.44E-02,3.23E-04,2.75E-02,2.92E-01,7.63E-01,1.07E-03,9.00E-01,3.73E-01
8180376,AKR1C1,3.30E-04,1.44E-02,4.88E-02,5.21E-02,9.37E-04,5.98E-01,2.36E-04,2.37E-01,3.12E-01
8024013,C19orf21,3.30E-04,1.44E-02,1.93E-03,3.11E-02,4.31E-02,6.65E-01,1.11E-03,4.24E-01,9.75E-01
7966321,GPN3,3.33E-04,1.45E-02,3.26E-02,4.48E-02,2.62E-03,6.06E-01,8.39E-04,4.22E-01,1.71E-01
7970413,PSPC1,3.35E-04,1.45E-02,1.42E-03,3.01E-02,1.49E-01,7.24E-01,1.56E-03,4.60E-01,8.45E-01
7894914,--,3.35E-04,1.45E-02,4.52E-04,2.88E-02,2.59E-01,7.55E-01,1.61E-03,6.70E-01,5.71E-01
8176469,--,3.42E-04,1.47E-02,5.29E-03,3.13E-02,7.18E-01,8.53E-01,3.11E-10,1.70E-47,5.84E-02
8113491,STARD4,3.46E-04,1.48E-02,3.91E-03,3.13E-02,2.67E-02,6.45E-01,1.23E-03,6.96E-01,7.12E-01
7938331,ZNF143,3.46E-04,1.48E-02,6.10E-03,3.15E-02,8.53E-02,6.94E-01,9.74E-04,8.09E-02,7.73E-01
7911371,C1orf170,3.47E-04,1.48E-02,2.38E-03,3.11E-02,4.71E-02,6.67E-01,1.33E-03,8.18E-01,8.67E-01
8129363,HDDC2,3.48E-04,1.48E-02,1.41E-02,3.57E-02,7.93E-03,6.35E-01,6.99E-04,8.67E-01,2.24E-01
7927854,HNRNPH3,3.50E-04,1.48E-02,4.29E-03,3.13E-02,8.40E-02,6.94E-01,1.17E-03,2.31E-01,8.34E-01
8140151,RFC2,3.51E-04,1.48E-02,1.80E-02,3.78E-02,2.15E-02,6.45E-01,9.45E-04,1.42E-01,3.09E-01
7983616,GALK2,3.52E-04,1.48E-02,1.58E-03,3.02E-02,1.08E-01,7.01E-01,1.38E-03,7.98E-01,9.68E-01
7953409,PTMS,3.53E-04,1.48E-02,1.61E-02,3.68E-02,2.17E-02,6.45E-01,8.17E-04,2.95E-01,1.80E-01
7893629,--,3.54E-04,1.48E-02,7.31E-04,3.00E-02,2.88E-01,7.62E-01,3.03E-04,7.93E-01,2.21E-01
8135064,TRIM56,3.57E-04,1.49E-02,7.16E-03,3.26E-02,3.38E-02,6.46E-01,1.01E-03,5.38E-01,7.06E-01
8010295,ENGASE,3.58E-04,1.49E-02,4.12E-02,4.87E-02,1.35E-02,6.40E-01,8.36E-05,3.20E-02,5.53E-01
8107321,EPB41L4A-AS1,3.62E-04,1.50E-02,1.26E-02,3.52E-02,1.11E-02,6.35E-01,7.40E-04,8.22E-01,4.78E-01
7925201,ARID4B,3.64E-04,1.51E-02,4.26E-03,3.13E-02,2.92E-02,6.45E-01,1.54E-03,7.61E-01,5.62E-01
8062623,PLCG1,3.68E-04,1.52E-02,2.65E-03,3.12E-02,7.24E-02,6.93E-01,7.55E-04,9.65E-01,9.41E-01
7950307,UCP2,3.73E-04,1.54E-02,4.18E-02,4.89E-02,5.99E-03,6.35E-01,3.63E-04,1.15E-01,3.10E-01
7958331,RIC8B,3.76E-04,1.55E-02,1.28E-03,3.00E-02,1.15E-01,7.03E-01,1.14E-03,8.52E-01,7.69E-01
7995421,LONP2,3.77E-04,1.55E-02,4.63E-03,3.13E-02,6.04E-02,6.79E-01,1.20E-03,5.15E-01,7.49E-01
7897953,SNORA59A,3.81E-04,1.55E-02,4.46E-03,3.13E-02,1.82E-02,6.43E-01,5.93E-04,2.64E-01,5.56E-01
8005626,SNORA59A,3.81E-04,1.55E-02,4.46E-03,3.13E-02,1.82E-02,6.43E-01,5.93E-04,2.64E-01,5.56E-01
8020898,ZNF271,3.88E-04,1.57E-02,4.05E-03,3.13E-02,7.55E-02,6.93E-01,9.95E-04,5.04E-01,8.90E-01
8113059,MBLAC2,3.88E-04,1.57E-02,4.05E-03,3.13E-02,5.04E-02,6.69E-01,5.32E-04,9.19E-01,9.46E-01
8122317,HEBP2,3.90E-04,1.57E-02,1.01E-02,3.40E-02,3.48E-02,6.51E-01,1.24E-03,3.00E-01,5.80E-01
7992987,HMOX2,3.92E-04,1.58E-02,1.25E-02,3.52E-02,2.72E-02,6.45E-01,9.12E-04,3.27E-01,3.27E-01
7927033,ANKRD30A,3.96E-04,1.59E-02,1.19E-03,3.00E-02,1.74E-01,7.28E-01,1.15E-03,7.74E-01,6.20E-01
8036304,ZFP14,3.97E-04,1.59E-02,2.26E-03,3.11E-02,8.79E-02,6.94E-01,9.03E-04,9.51E-01,9.65E-01
7920839,RIT1,4.03E-04,1.61E-02,1.28E-03,3.00E-02,1.96E-01,7.36E-01,1.64E-03,3.87E-01,7.41E-01
8031815,ZNF776,4.04E-04,1.61E-02,3.51E-03,3.13E-02,9.21E-02,6.96E-01,1.33E-03,4.42E-01,9.98E-01
8015445,NT5C3L,4.13E-04,1.64E-02,1.84E-02,3.79E-02,1.25E-02,6.35E-01,2.94E-04,7.64E-01,5.14E-01
7984215,--,4.18E-04,1.65E-02,3.24E-02,4.47E-02,9.21E-03,6.35E-01,1.59E-04,3.90E-01,4.39E-01
8098707,HSP90AA4P,4.22E-04,1.66E-02,2.24E-02,3.98E-02,7.88E-03,6.35E-01,9.00E-04,8.83E-01,1.45E-01
8014037,CRLF3,4.22E-04,1.66E-02,3.23E-03,3.13E-02,8.07E-02,6.94E-01,1.61E-03,5.94E-01,7.87E-01
8034390,ZNF799,4.24E-04,1.67E-02,1.30E-03,3.00E-02,1.66E-01,7.26E-01,8.88E-04,8.31E-01,6.11E-01
7955425,ATF1,4.29E-04,1.68E-02,3.22E-03,3.13E-02,1.08E-01,7.01E-01,1.50E-03,4.22E-01,9.21E-01
8036737,RPS16,4.30E-04,1.68E-02,8.21E-03,3.32E-02,2.85E-02,6.45E-01,1.04E-03,8.04E-01,5.80E-01
7895953,--,4.31E-04,1.68E-02,1.18E-03,3.00E-02,2.05E-01,7.40E-01,9.93E-04,3.84E-01,7.40E-01
8085571,METTL6,4.33E-04,1.68E-02,3.34E-03,3.13E-02,1.23E-01,7.08E-01,9.45E-04,3.36E-01,8.76E-01
7977879,PSMB5,4.38E-04,1.70E-02,2.49E-02,4.10E-02,4.52E-03,6.11E-01,1.54E-03,8.56E-01,1.83E-01
8029377,ZNF224,4.41E-04,1.70E-02,2.79E-03,3.12E-02,1.01E-01,7.01E-01,1.44E-03,5.91E-01,9.25E-01
8146268,FNTA,4.42E-04,1.70E-02,4.38E-03,3.13E-02,5.64E-02,6.78E-01,1.56E-03,7.57E-01,8.05E-01
8076393,CENPM,4.44E-04,1.70E-02,2.44E-03,3.12E-02,5.11E-02,6.70E-01,1.27E-03,4.90E-01,8.94E-01
8099897,UGDH,4.45E-04,1.70E-02,4.05E-03,3.13E-02,6.12E-02,6.79E-01,1.23E-03,8.44E-01,8.08E-01
8030362,SNORD33,4.48E-04,1.71E-02,2.72E-03,3.12E-02,3.47E-02,6.50E-01,6.66E-04,2.40E-01,8.09E-01
8041015,SLC4A1AP,4.50E-04,1.72E-02,1.56E-02,3.65E-02,2.39E-02,6.45E-01,1.35E-03,3.07E-01,3.23E-01
8084986,FYTTD1,4.52E-04,1.72E-02,5.30E-03,3.13E-02,4.96E-02,6.67E-01,1.51E-03,7.34E-01,5.37E-01
8133961,RUNDC3B,4.56E-04,1.73E-02,6.13E-03,3.16E-02,1.70E-02,6.41E-01,2.28E-03,9.48E-01,6.14E-01
