Affymetrix ID,Gene,p.value.ASDvsControls ,FDR.ASDvsControls ,p.value.ASDvsControls.males,FDR.ASDvsControls.males,p.value.ASDvsControls.females,FDR.ASDvsControls.females,Two.way.ANOVA.p.Dx.,Two.way.ANOVA.p.Gender.,Two.way.ANOVA.p.Dx*Gender
8065569,BCL2L1,2.53E-05,8.09E-03,4.78E-02,5.17E-02,7.60E-04,5.98E-01,1.67E-05,8.59E-03,2.17E-02
8151788,RBM12B,2.57E-05,8.09E-03,5.43E-04,2.99E-02,3.00E-02,6.45E-01,1.05E-04,6.77E-01,8.56E-01
8171760,SCARNA9L,2.64E-05,8.09E-03,3.05E-03,3.13E-02,1.93E-03,5.98E-01,5.29E-05,6.08E-01,1.94E-01
8137693,COX19,2.83E-05,8.09E-03,4.43E-03,3.13E-02,9.36E-03,6.35E-01,8.27E-05,9.01E-02,3.12E-01
7945058,FAM118B,2.87E-05,8.09E-03,3.70E-03,3.13E-02,1.32E-02,6.40E-01,6.94E-05,5.19E-02,5.39E-01
8025998,ZNF136,2.88E-05,8.09E-03,9.79E-04,3.00E-02,2.07E-02,6.45E-01,9.51E-05,6.13E-01,7.32E-01
8176384,ZFY,2.92E-05,8.09E-03,1.76E-05,2.75E-02,2.96E-01,7.64E-01,2.05E-13,2.82E-50,1.48E-03
7893519,--,2.93E-05,8.09E-03,4.02E-03,3.13E-02,1.06E-02,6.35E-01,5.02E-05,1.51E-01,3.33E-01
8137232,GIMAP8,3.00E-05,8.09E-03,4.02E-04,2.75E-02,3.77E-02,6.59E-01,9.48E-05,8.43E-01,8.49E-01
7908614,CAMSAP2,3.01E-05,8.09E-03,3.67E-04,2.75E-02,1.19E-02,6.35E-01,1.55E-05,1.17E-01,6.33E-01
8099235,MRFAP1L1,3.08E-05,8.09E-03,6.27E-03,3.18E-02,5.60E-03,6.33E-01,7.75E-05,1.15E-01,2.43E-01
7894905,--,3.08E-05,8.09E-03,1.03E-03,3.00E-02,8.78E-02,6.94E-01,3.56E-05,9.90E-03,7.73E-01
8021183,SCARNA17,3.72E-05,9.42E-03,3.58E-03,3.13E-02,6.93E-03,6.35E-01,9.74E-05,5.18E-01,3.44E-01
7893547,--,3.73E-05,9.42E-03,1.32E-04,2.75E-02,8.67E-02,6.94E-01,1.31E-04,9.90E-01,8.17E-01
8150877,SNORD54,3.92E-05,9.42E-03,9.57E-05,2.75E-02,1.36E-01,7.20E-01,8.43E-05,9.62E-01,4.15E-01
