Affymetrix ID,Gene,p.value,FDR,p.value.AUTvsControl,FDR.AUTvsControl,p.value.PDDNOSvsControl,FDR.PDDNOSvsControl,p.value.ASPvsControl,FDR.ASPvsControl
7934393,PPP3CB,2.26E-04,7.88E-03,3.51E-04,5.60E-02,4.88E-03,2.89E-01,9.50E-01,1
7958749,SH2B3,2.26E-04,7.88E-03,3.77E-03,1.21E-01,1.64E-02,3.89E-01,3.97E-02,1
8027304,ZNF493,2.26E-04,7.88E-03,4.43E-03,1.27E-01,2.33E-03,2.41E-01,3.93E-01,1
8124553,ZKSCAN4,2.30E-04,7.97E-03,7.17E-04,6.73E-02,5.88E-03,3.01E-01,7.51E-01,1
8056102,CD302,2.32E-04,7.99E-03,8.66E-03,1.72E-01,3.72E-03,2.69E-01,1.07E-01,1
7933413,BMS1P1,2.36E-04,8.07E-03,2.27E-02,2.74E-01,1.27E-03,2.38E-01,7.12E-02,1
8178727,ATF6B,2.36E-04,8.07E-03,2.52E-02,2.89E-01,8.27E-04,2.23E-01,9.86E-02,1
7926851,WAC,2.39E-04,8.14E-03,7.21E-04,6.73E-02,5.53E-03,2.96E-01,7.97E-01,1
7924526,TP53BP2,2.48E-04,8.36E-03,1.95E-03,9.34E-02,1.10E-02,3.48E-01,2.57E-01,1
7969060,FNDC3A,2.48E-04,8.36E-03,1.38E-03,8.46E-02,1.01E-02,3.40E-01,3.82E-01,1
8019463,CSNK1D,2.49E-04,8.36E-03,6.89E-04,6.62E-02,6.28E-03,3.01E-01,7.87E-01,1
7980051,C14orf43,2.58E-04,8.57E-03,9.69E-03,1.80E-01,3.03E-03,2.54E-01,1.53E-01,1
8120758,SENP6,2.59E-04,8.57E-03,2.45E-03,1.04E-01,9.99E-03,3.40E-01,2.34E-01,1
7978997,MAP4K5,2.59E-04,8.57E-03,8.34E-04,7.26E-02,1.29E-02,3.68E-01,4.95E-01,1
7974533,PELI2,2.60E-04,8.57E-03,9.83E-03,1.81E-01,4.93E-03,2.89E-01,7.76E-02,1
8153959,DOCK8,2.63E-04,8.63E-03,5.41E-03,1.39E-01,2.02E-02,4.22E-01,1.93E-02,1
8115783,STK10,2.71E-04,8.81E-03,1.11E-02,1.92E-01,6.70E-03,3.02E-01,4.19E-02,1
8063814,LSM14B,2.71E-04,8.81E-03,8.40E-04,7.26E-02,1.06E-02,3.43E-01,5.91E-01,1
8096675,TET2,2.72E-04,8.81E-03,5.08E-03,1.35E-01,1.15E-02,3.56E-01,7.65E-02,1
7938592,FAR1,2.74E-04,8.85E-03,2.96E-03,1.08E-01,2.25E-02,4.33E-01,5.94E-02,1
8071069,IL17RA,2.80E-04,8.93E-03,1.01E-02,1.83E-01,1.42E-02,3.73E-01,1.22E-02,1
8165674,SH3KBP1,2.82E-04,8.93E-03,9.26E-03,1.76E-01,4.47E-03,2.74E-01,1.23E-01,1
8164701,SETX,2.82E-04,8.93E-03,1.57E-02,2.32E-01,2.34E-03,2.41E-01,1.10E-01,1
8119000,MAPK14,2.83E-04,8.93E-03,6.79E-03,1.53E-01,1.01E-02,3.40E-01,6.16E-02,1
8079392,CCR2,2.84E-04,8.93E-03,8.31E-03,1.69E-01,1.40E-02,3.73E-01,2.17E-02,1
8106354,IQGAP2,2.85E-04,8.93E-03,1.41E-03,8.47E-02,1.85E-02,4.09E-01,2.48E-01,1
8090351,ZXDC,2.85E-04,8.93E-03,2.84E-03,1.07E-01,1.01E-02,3.40E-01,2.39E-01,1
8114050,SEPT8,2.86E-04,8.93E-03,4.66E-03,1.30E-01,7.11E-03,3.05E-01,1.98E-01,1
8089000,CGGBP1,2.90E-04,9.01E-03,1.34E-03,8.43E-02,1.07E-02,3.44E-01,4.77E-01,1
8041913,KLRAQ1,2.94E-04,9.10E-03,6.70E-04,6.62E-02,8.90E-03,3.28E-01,7.90E-01,1
8151890,TP53INP1,2.97E-04,9.15E-03,2.01E-02,2.61E-01,9.00E-04,2.36E-01,2.37E-01,1
8099410,BOD1L,2.99E-04,9.15E-03,8.90E-03,1.74E-01,5.84E-03,3.01E-01,1.06E-01,1
7986767,C15orf49,3.00E-04,9.15E-03,2.60E-03,1.06E-01,1.81E-03,2.38E-01,8.49E-01,1
8067011,ADNP,3.01E-04,9.15E-03,5.12E-04,6.24E-02,4.65E-03,2.81E-01,9.75E-01,1
8053576,RNF103,3.02E-04,9.15E-03,1.13E-03,8.03E-02,3.86E-03,2.71E-01,8.77E-01,1
7980338,IRF2BPL,3.07E-04,9.23E-03,4.19E-03,1.24E-01,6.98E-03,3.04E-01,2.67E-01,1
8126402,TRERF1,3.08E-04,9.23E-03,3.38E-04,5.60E-02,1.00E-02,3.40E-01,9.31E-01,1
8143088,CNOT4,3.08E-04,9.23E-03,2.18E-03,9.77E-02,7.63E-03,3.12E-01,4.73E-01,1
8166876,DDX3X,3.12E-04,9.30E-03,3.73E-03,1.20E-01,1.18E-02,3.58E-01,1.69E-01,1
8052554,FAM161A,3.20E-04,9.51E-03,2.21E-03,9.80E-02,1.71E-03,2.38E-01,9.25E-01,1
8045514,SPOPL,3.25E-04,9.53E-03,6.05E-03,1.46E-01,8.82E-03,3.27E-01,1.41E-01,1
7986350,ARRDC4,3.27E-04,9.53E-03,1.01E-02,1.82E-01,4.28E-03,2.73E-01,1.60E-01,1
8133788,PTPN12,3.27E-04,9.53E-03,5.14E-03,1.35E-01,9.78E-03,3.40E-01,1.62E-01,1
8139430,PURB,3.28E-04,9.53E-03,1.10E-03,7.99E-02,2.92E-03,2.52E-01,9.70E-01,1
8099760,ARAP2,3.29E-04,9.53E-03,1.26E-03,8.21E-02,1.46E-02,3.73E-01,4.43E-01,1
7929511,ENTPD1,3.30E-04,9.53E-03,6.75E-03,1.53E-01,9.90E-03,3.40E-01,1.01E-01,1
8063607,RAB22A,3.31E-04,9.53E-03,6.36E-03,1.48E-01,2.50E-03,2.45E-01,4.75E-01,1
8019885,SMCHD1,3.31E-04,9.53E-03,1.97E-02,2.59E-01,1.06E-02,3.43E-01,6.97E-03,1
8123644,TUBB2A,3.38E-04,9.70E-03,4.85E-03,1.32E-01,1.22E-02,3.59E-01,1.34E-01,1
7952707,PRDM10,3.40E-04,9.72E-03,2.52E-03,1.05E-01,5.14E-03,2.93E-01,6.33E-01,1
8154151,PPAPDC2,3.42E-04,9.72E-03,1.03E-03,7.70E-02,5.20E-03,2.93E-01,9.01E-01,1
8140782,ABCB1,3.43E-04,9.72E-03,6.80E-03,1.53E-01,2.04E-03,2.41E-01,5.37E-01,1
8102862,MAML3,3.46E-04,9.72E-03,2.46E-03,1.04E-01,1.34E-02,3.70E-01,2.97E-01,1
8131614,AHR,3.47E-04,9.72E-03,6.69E-04,6.62E-02,2.49E-02,4.50E-01,4.76E-01,1
8037433,ZNF45,3.47E-04,9.72E-03,8.44E-04,7.26E-02,8.40E-03,3.21E-01,8.36E-01,1
7966003,APPL2,3.49E-04,9.72E-03,3.58E-03,1.18E-01,6.07E-03,3.01E-01,4.42E-01,1
7986383,IGF1R,3.49E-04,9.72E-03,1.10E-03,7.99E-02,2.08E-02,4.23E-01,3.86E-01,1
8052149,PSME4,3.53E-04,9.79E-03,9.47E-04,7.47E-02,3.22E-03,2.57E-01,9.82E-01,1
7966851,TAOK3,3.59E-04,9.94E-03,1.38E-03,8.46E-02,5.50E-03,2.96E-01,8.44E-01,1
8021312,WDR7,3.63E-04,1.00E-02,1.12E-03,8.03E-02,8.55E-03,3.21E-01,7.80E-01,1
8047248,PLCL1,3.65E-04,1.00E-02,5.32E-04,6.24E-02,9.89E-03,3.40E-01,9.17E-01,1
8105191,PARP8,3.67E-04,1.00E-02,4.38E-03,1.26E-01,6.75E-03,3.02E-01,3.60E-01,1
8014841,MED1,3.72E-04,1.00E-02,1.59E-03,8.83E-02,1.07E-02,3.43E-01,5.64E-01,1
7961767,KIAA0528,3.72E-04,1.00E-02,8.91E-04,7.32E-02,1.63E-02,3.89E-01,6.30E-01,1
8026365,ZNF333,3.76E-04,1.00E-02,1.57E-02,2.32E-01,4.99E-03,2.89E-01,8.80E-02,1
7970602,PARP4,3.77E-04,1.00E-02,5.44E-04,6.28E-02,2.83E-02,4.60E-01,5.54E-01,1
7957260,GLIPR1,3.78E-04,1.00E-02,2.71E-03,1.07E-01,1.43E-02,3.73E-01,3.00E-01,1
7925565,HNRNPU,3.79E-04,1.00E-02,1.23E-03,8.19E-02,8.50E-03,3.21E-01,7.72E-01,1
7907773,TOR1AIP1,3.79E-04,1.00E-02,8.91E-03,1.74E-01,4.33E-03,2.73E-01,2.57E-01,1
7905444,SNX27,3.79E-04,1.00E-02,2.11E-02,2.67E-01,5.00E-03,2.89E-01,4.68E-02,1
8015152,KRT40,3.79E-04,1.00E-02,3.45E-03,1.16E-01,8.87E-03,3.28E-01,3.73E-01,1
8093961,KIAA0232,3.80E-04,1.00E-02,3.05E-03,1.10E-01,7.83E-03,3.16E-01,4.60E-01,1
8056545,STK39,3.81E-04,1.00E-02,5.31E-04,6.24E-02,6.55E-03,3.02E-01,9.83E-01,1
8041236,SPAST,3.83E-04,1.00E-02,1.27E-03,8.25E-02,1.54E-02,3.81E-01,5.21E-01,1
8168345,ACRC,3.86E-04,1.01E-02,2.76E-04,5.38E-02,1.35E-02,3.71E-01,9.69E-01,1
8063785,C20orf197,3.88E-04,1.01E-02,1.21E-03,8.19E-02,1.75E-02,3.99E-01,5.09E-01,1
8106784,RASA1,3.93E-04,1.02E-02,8.47E-04,7.26E-02,8.05E-03,3.19E-01,9.05E-01,1
7902822,PKN2,3.93E-04,1.02E-02,7.34E-03,1.57E-01,1.02E-02,3.40E-01,1.33E-01,1
8168875,ARMCX3,3.94E-04,1.02E-02,8.29E-04,7.26E-02,2.16E-02,4.26E-01,5.70E-01,1
8078738,OXSR1,3.96E-04,1.02E-02,6.77E-04,6.62E-02,1.36E-02,3.71E-01,8.23E-01,1
8052233,C2orf63,4.00E-04,1.02E-02,1.99E-03,9.41E-02,2.76E-03,2.52E-01,9.46E-01,1
8025964,ZNF439,4.03E-04,1.03E-02,2.69E-04,5.31E-02,1.29E-02,3.68E-01,9.85E-01,1
7943314,JRKL,4.04E-04,1.03E-02,2.03E-03,9.51E-02,7.55E-03,3.12E-01,6.81E-01,1
8041179,CLIP4,4.06E-04,1.03E-02,1.79E-03,9.20E-02,1.49E-02,3.73E-01,4.54E-01,1
7954511,STK38L,4.08E-04,1.03E-02,4.51E-03,1.28E-01,5.59E-03,2.96E-01,4.83E-01,1
7933115,SEPT7L,4.10E-04,1.03E-02,3.34E-02,3.27E-01,1.47E-03,2.38E-01,1.24E-01,1
7935320,TM9SF3,4.12E-04,1.03E-02,2.27E-04,5.31E-02,2.02E-02,4.22E-01,9.46E-01,1
7965652,CDK17,4.16E-04,1.04E-02,2.85E-03,1.07E-01,1.17E-02,3.58E-01,4.03E-01,1
7935403,ARHGAP19,4.17E-04,1.04E-02,2.72E-03,1.07E-01,1.36E-03,2.38E-01,9.88E-01,1
7944667,SORL1,4.19E-04,1.04E-02,1.26E-02,2.08E-01,7.37E-03,3.09E-01,9.99E-02,1
8107474,DMXL1,4.25E-04,1.05E-02,2.64E-04,5.31E-02,2.29E-02,4.36E-01,9.08E-01,1
8064868,GPCPD1,4.28E-04,1.05E-02,3.15E-03,1.12E-01,2.44E-03,2.44E-01,9.02E-01,1
8132013,CHN2,4.29E-04,1.05E-02,2.74E-03,1.07E-01,1.42E-02,3.73E-01,3.69E-01,1
8102006,MANBA,4.31E-04,1.06E-02,2.68E-04,5.31E-02,1.45E-02,3.73E-01,9.87E-01,1
8050190,ADAM17,4.33E-04,1.06E-02,1.02E-03,7.69E-02,8.72E-03,3.24E-01,8.84E-01,1
7993433,PDXDC1,4.36E-04,1.06E-02,1.33E-03,8.43E-02,6.65E-03,3.02E-01,8.85E-01,1
7958532,UBE3B,4.36E-04,1.06E-02,5.32E-04,6.24E-02,3.83E-03,2.71E-01,1.00E+00,1
8025973,ZNF700,4.42E-04,1.07E-02,8.91E-04,7.32E-02,1.63E-02,3.89E-01,7.36E-01,1
8091863,SLITRK3,4.44E-04,1.07E-02,2.18E-02,2.70E-01,1.46E-03,2.38E-01,3.02E-01,1
8045381,CCNT2,4.44E-04,1.07E-02,2.27E-03,9.95E-02,1.48E-02,3.73E-01,4.33E-01,1
7942603,MOGAT2,4.45E-04,1.07E-02,5.90E-02,4.21E-01,1.58E-03,2.38E-01,3.59E-02,1
7948455,MS4A6A,4.48E-04,1.07E-02,4.25E-03,1.24E-01,2.33E-02,4.41E-01,1.23E-01,1
7995479,PAPD5,4.49E-04,1.07E-02,4.42E-04,5.74E-02,2.21E-02,4.30E-01,8.33E-01,1
8022531,NPC1,4.53E-04,1.07E-02,4.75E-03,1.32E-01,7.43E-03,3.11E-01,4.31E-01,1
8059413,DOCK10,4.55E-04,1.08E-02,9.56E-04,7.50E-02,1.71E-02,3.94E-01,7.24E-01,1
7966046,MTERFD3,4.56E-04,1.08E-02,1.98E-03,9.41E-02,7.76E-03,3.15E-01,7.58E-01,1
8036820,ZNF780A,4.63E-04,1.09E-02,2.96E-03,1.08E-01,1.43E-02,3.73E-01,3.91E-01,1
7958216,KIAA1033,4.65E-04,1.09E-02,1.37E-03,8.46E-02,1.55E-02,3.82E-01,6.40E-01,1
8174893,THOC2,4.65E-04,1.09E-02,3.87E-03,1.22E-01,9.61E-03,3.40E-01,4.35E-01,1
8166826,USP9X,4.66E-04,1.09E-02,3.54E-03,1.17E-01,3.53E-03,2.69E-01,8.26E-01,1
8070269,DSCR3,4.68E-04,1.09E-02,4.78E-03,1.32E-01,3.62E-03,2.69E-01,7.11E-01,1
8113733,CEP120,4.68E-04,1.09E-02,9.47E-03,1.78E-01,7.53E-03,3.12E-01,2.08E-01,1
8176624,DDX3Y,4.73E-04,1.09E-02,2.39E-04,5.31E-02,3.95E-02,5.04E-01,7.99E-01,1
8169750,STAG2,4.73E-04,1.09E-02,9.79E-04,7.59E-02,1.46E-02,3.73E-01,7.78E-01,1
7968761,NAA16,4.74E-04,1.09E-02,1.25E-03,8.20E-02,1.28E-02,3.68E-01,7.63E-01,1
7924874,TRIM17,4.77E-04,1.09E-02,2.45E-03,1.04E-01,5.49E-03,2.96E-01,8.28E-01,1
8115524,CLINT1,4.78E-04,1.09E-02,1.40E-03,8.47E-02,1.48E-02,3.73E-01,6.84E-01,1
7915286,PPT1,4.79E-04,1.09E-02,5.34E-03,1.38E-01,1.27E-02,3.67E-01,2.47E-01,1
8058161,ORC2,4.82E-04,1.09E-02,2.82E-03,1.07E-01,4.09E-03,2.73E-01,8.76E-01,1
7936904,CTBP2,4.83E-04,1.09E-02,5.51E-03,1.40E-01,1.93E-02,4.17E-01,1.35E-01,1
7925048,EGLN1,4.88E-04,1.10E-02,9.63E-03,1.79E-01,8.24E-03,3.19E-01,2.00E-01,1
7984319,MAP2K1,4.90E-04,1.10E-02,1.01E-03,7.69E-02,8.27E-03,3.19E-01,9.44E-01,1
8116227,CLK4,4.91E-04,1.10E-02,8.89E-04,7.32E-02,2.41E-02,4.44E-01,6.39E-01,1
7925201,ARID4B,4.98E-04,1.11E-02,2.16E-02,2.69E-01,6.04E-03,3.01E-01,7.72E-02,1
7960165,ZNF268,4.98E-04,1.11E-02,8.56E-04,7.30E-02,5.85E-03,3.01E-01,9.94E-01,1
7936683,TIAL1,5.00E-04,1.11E-02,3.88E-03,1.22E-01,3.71E-03,2.69E-01,8.17E-01,1
7974473,FBXO34,5.04E-04,1.12E-02,1.56E-03,8.81E-02,7.71E-03,3.14E-01,8.91E-01,1
8110486,ZNF879,5.10E-04,1.13E-02,1.89E-03,9.25E-02,8.04E-03,3.19E-01,8.23E-01,1
8017634,DDX5,5.12E-04,1.13E-02,1.38E-03,8.46E-02,3.02E-02,4.71E-01,4.24E-01,1
8137437,GALNTL5,5.15E-04,1.13E-02,1.87E-01,7.24E-01,7.34E-04,2.21E-01,2.16E-03,1
8011018,CRK,5.16E-04,1.13E-02,6.32E-03,1.48E-01,1.17E-02,3.58E-01,2.59E-01,1
8073943,ZBED4,5.23E-04,1.14E-02,4.78E-03,1.32E-01,6.06E-03,3.01E-01,6.00E-01,1
8111339,MTMR12,5.24E-04,1.14E-02,2.85E-03,1.07E-01,4.99E-03,2.89E-01,8.59E-01,1
7985605,ZNF592,5.28E-04,1.15E-02,4.37E-03,1.26E-01,8.63E-03,3.22E-01,5.19E-01,1
8022488,ABHD3,5.32E-04,1.15E-02,2.74E-03,1.07E-01,3.31E-02,4.80E-01,1.98E-01,1
7975416,PCNX,5.32E-04,1.15E-02,4.96E-02,3.91E-01,2.24E-03,2.41E-01,6.00E-02,1
8078187,PLCL2,5.36E-04,1.15E-02,2.53E-04,5.31E-02,1.70E-02,3.94E-01,9.99E-01,1
8152222,AZIN1,5.37E-04,1.15E-02,4.39E-03,1.26E-01,1.15E-02,3.55E-01,4.22E-01,1
7965606,HAL,5.40E-04,1.15E-02,2.86E-02,3.04E-01,3.69E-03,2.69E-01,1.12E-01,1
7928558,ZMIZ1,5.42E-04,1.16E-02,2.77E-03,1.07E-01,1.83E-02,4.07E-01,4.18E-01,1
8081431,ALCAM,5.45E-04,1.16E-02,6.74E-04,6.62E-02,3.95E-02,5.04E-01,5.89E-01,1
8148049,NOV,5.48E-04,1.16E-02,8.37E-02,4.97E-01,1.37E-03,2.38E-01,3.03E-02,1
8106141,FCHO2,5.49E-04,1.16E-02,1.05E-02,1.87E-01,5.51E-03,2.96E-01,3.36E-01,1
8028991,CYP2S1,5.49E-04,1.16E-02,3.68E-02,3.43E-01,2.89E-03,2.52E-01,9.41E-02,1
8161988,UBQLN1,5.63E-04,1.18E-02,5.19E-04,6.24E-02,1.58E-02,3.84E-01,9.73E-01,1
8081256,TBC1D23,5.65E-04,1.18E-02,6.40E-03,1.49E-01,9.98E-03,3.40E-01,3.61E-01,1
8056977,NFE2L2,5.66E-04,1.18E-02,6.90E-03,1.53E-01,2.15E-02,4.26E-01,1.21E-01,1
8104506,TRIO,5.66E-04,1.18E-02,5.90E-04,6.44E-02,1.27E-02,3.67E-01,9.88E-01,1
7956910,CAND1,5.67E-04,1.18E-02,1.67E-03,9.04E-02,1.00E-02,3.40E-01,8.60E-01,1
8028266,ZNF540,5.70E-04,1.18E-02,6.39E-04,6.62E-02,7.32E-03,3.08E-01,1.00E+00,1
7915160,RRAGC,5.75E-04,1.18E-02,3.85E-03,1.22E-01,4.11E-03,2.73E-01,8.71E-01,1
8091658,CCNL1,5.76E-04,1.18E-02,5.97E-03,1.45E-01,1.97E-02,4.20E-01,1.76E-01,1
8129804,MAP3K5,5.76E-04,1.18E-02,8.29E-03,1.69E-01,1.94E-02,4.17E-01,1.13E-01,1
8139632,FIGNL1,5.78E-04,1.19E-02,2.90E-03,1.08E-01,1.31E-02,3.70E-01,5.79E-01,1
8094599,KLF3,5.81E-04,1.19E-02,3.82E-03,1.21E-01,9.45E-03,3.39E-01,6.02E-01,1
8150714,PCMTD1,5.87E-04,1.19E-02,3.30E-03,1.14E-01,2.71E-02,4.52E-01,2.59E-01,1
8088247,ARHGEF3,5.88E-04,1.19E-02,5.91E-04,6.44E-02,3.67E-02,4.95E-01,7.13E-01,1
8037856,ZC3H4,5.89E-04,1.19E-02,1.18E-03,8.18E-02,5.19E-03,2.93E-01,9.98E-01,1
8172504,GRIPAP1,5.89E-04,1.19E-02,5.47E-02,4.09E-01,2.55E-03,2.45E-01,5.43E-02,1
8108217,TGFBI,5.92E-04,1.19E-02,2.82E-03,1.07E-01,3.31E-02,4.80E-01,2.47E-01,1
8096781,SEC24B,5.94E-04,1.19E-02,1.80E-03,9.20E-02,1.36E-02,3.71E-01,7.59E-01,1
8012961,NCOR1,5.94E-04,1.19E-02,6.78E-03,1.53E-01,3.68E-03,2.69E-01,7.24E-01,1
8162236,SEMA4D,5.96E-04,1.19E-02,7.44E-04,6.86E-02,1.52E-02,3.78E-01,9.45E-01,1
7985166,IREB2,5.97E-04,1.19E-02,3.69E-02,3.43E-01,3.87E-03,2.71E-01,7.88E-02,1
7980680,FOXN3,5.97E-04,1.19E-02,2.38E-03,1.02E-01,6.30E-03,3.01E-01,9.08E-01,1
8111677,LIFR,6.02E-04,1.20E-02,4.05E-02,3.57E-01,1.61E-03,2.38E-01,1.95E-01,1
7942520,LOC100287896,6.06E-04,1.20E-02,4.87E-03,1.33E-01,3.52E-03,2.69E-01,8.72E-01,1
8063739,PHACTR3,6.07E-04,1.20E-02,1.72E-02,2.42E-01,2.32E-03,2.41E-01,4.63E-01,1
7908553,PTPRC,6.09E-04,1.20E-02,2.91E-03,1.08E-01,5.06E-02,5.37E-01,1.24E-01,1
8034334,ZNF20,6.10E-04,1.20E-02,6.30E-03,1.48E-01,6.23E-03,3.01E-01,5.89E-01,1
8107942,RAD50,6.14E-04,1.20E-02,1.65E-02,2.38E-01,4.56E-03,2.77E-01,2.89E-01,1
8046333,CYBRD1,6.14E-04,1.20E-02,2.58E-03,1.06E-01,3.23E-02,4.79E-01,3.03E-01,1
7978739,TRAPPC6B,6.17E-04,1.20E-02,3.25E-03,1.14E-01,2.13E-02,4.26E-01,3.87E-01,1
8045090,UGGT1,6.23E-04,1.21E-02,6.12E-02,4.27E-01,3.09E-03,2.56E-01,3.49E-02,1
7964555,AVIL,6.36E-04,1.23E-02,2.21E-02,2.71E-01,2.81E-03,2.52E-01,3.26E-01,1
8014551,SYNRG,6.43E-04,1.24E-02,2.01E-02,2.61E-01,5.29E-03,2.94E-01,2.07E-01,1
7956670,USP15,6.44E-04,1.24E-02,5.19E-02,3.97E-01,6.03E-03,3.01E-01,1.93E-02,1
8062492,RALGAPB,6.46E-04,1.24E-02,1.42E-02,2.20E-01,4.35E-03,2.73E-01,3.91E-01,1
8011324,OR1G1,6.46E-04,1.24E-02,7.24E-03,1.56E-01,1.34E-02,3.70E-01,2.90E-01,1
8162352,NOL8,6.48E-04,1.24E-02,8.76E-04,7.32E-02,2.33E-02,4.41E-01,8.42E-01,1
8057377,CCDC141,6.50E-04,1.24E-02,7.05E-04,6.71E-02,1.02E-02,3.40E-01,9.98E-01,1
7988286,SPG11,6.50E-04,1.24E-02,2.28E-03,9.96E-02,1.59E-02,3.86E-01,6.73E-01,1
8120043,RUNX2,6.50E-04,1.24E-02,8.93E-03,1.74E-01,2.88E-03,2.52E-01,7.54E-01,1
7943231,ANKRD49,6.53E-04,1.24E-02,2.10E-03,9.68E-02,1.74E-02,3.99E-01,6.81E-01,1
7917604,ZNF644,6.55E-04,1.24E-02,1.71E-03,9.09E-02,1.50E-02,3.75E-01,8.01E-01,1
7906330,CD1D,6.65E-04,1.25E-02,4.03E-03,1.24E-01,4.01E-02,5.04E-01,1.48E-01,1
8043945,MAP4K4,6.67E-04,1.25E-02,9.76E-03,1.80E-01,1.51E-02,3.76E-01,1.80E-01,1
7925257,LYST,6.67E-04,1.25E-02,4.58E-03,1.29E-01,2.20E-02,4.30E-01,3.04E-01,1
8095760,THAP6,6.69E-04,1.25E-02,5.09E-03,1.35E-01,3.93E-03,2.71E-01,8.74E-01,1
7952022,AMICA1,6.80E-04,1.27E-02,1.73E-02,2.42E-01,2.41E-02,4.44E-01,2.70E-02,1
7939341,CD44,6.82E-04,1.27E-02,1.78E-03,9.20E-02,4.59E-02,5.25E-01,3.41E-01,1
7946610,EIF4G2,6.83E-04,1.27E-02,2.75E-03,1.07E-01,2.66E-02,4.52E-01,4.23E-01,1
8099364,ZNF518B,6.85E-04,1.27E-02,3.88E-03,1.22E-01,3.65E-03,2.69E-01,9.55E-01,1
8083092,ZBTB38,6.87E-04,1.27E-02,6.43E-03,1.49E-01,1.35E-02,3.71E-01,3.65E-01,1
7931951,SFMBT2,6.89E-04,1.27E-02,5.49E-04,6.30E-02,3.04E-02,4.72E-01,8.95E-01,1
8035905,ANKRD27,6.91E-04,1.27E-02,1.67E-03,9.04E-02,9.16E-03,3.35E-01,9.60E-01,1
7923659,PPP1R15B,6.96E-04,1.28E-02,5.16E-03,1.36E-01,1.84E-02,4.07E-01,3.50E-01,1
8019018,CBX4,7.00E-04,1.28E-02,6.93E-03,1.53E-01,1.05E-02,3.43E-01,4.47E-01,1
8056798,SP3,7.06E-04,1.29E-02,2.87E-03,1.07E-01,3.06E-02,4.73E-01,3.78E-01,1
7903049,CCDC18,7.07E-04,1.29E-02,6.78E-03,1.53E-01,6.18E-03,3.01E-01,6.68E-01,1
8066848,PREX1,7.17E-04,1.30E-02,4.37E-03,1.26E-01,9.92E-03,3.40E-01,6.81E-01,1
7959314,SETD1B,7.22E-04,1.31E-02,1.56E-03,8.81E-02,1.36E-02,3.71E-01,9.04E-01,1
7966268,GIT2,7.26E-04,1.31E-02,4.09E-03,1.24E-01,6.25E-03,3.01E-01,8.68E-01,1
8068974,TRAPPC10,7.33E-04,1.32E-02,7.93E-04,7.07E-02,3.19E-02,4.78E-01,8.18E-01,1
8065580,DUSP15,7.36E-04,1.33E-02,5.42E-03,1.39E-01,3.13E-02,4.73E-01,1.90E-01,1
8147221,OSGIN2,7.37E-04,1.33E-02,3.84E-02,3.48E-01,3.02E-03,2.54E-01,1.82E-01,1
8129590,STX7,7.39E-04,1.33E-02,4.23E-03,1.24E-01,1.02E-02,3.40E-01,7.09E-01,1
8139832,ZNF117,7.42E-04,1.33E-02,3.84E-02,3.48E-01,1.54E-02,3.81E-01,1.10E-02,1
8005814,NLK,7.47E-04,1.33E-02,4.85E-04,6.07E-02,1.80E-02,4.05E-01,9.99E-01,1
7943288,SRSF8,7.58E-04,1.35E-02,4.75E-04,6.01E-02,2.43E-02,4.44E-01,9.84E-01,1
8111552,NADKD1,7.61E-04,1.35E-02,1.62E-02,2.37E-01,3.99E-03,2.72E-01,4.78E-01,1
8150599,PRKDC,7.62E-04,1.35E-02,1.17E-02,1.99E-01,8.51E-03,3.21E-01,3.61E-01,1
8078214,RAB5A,7.62E-04,1.35E-02,8.55E-03,1.71E-01,2.10E-02,4.24E-01,1.93E-01,1
7945666,CTSD,7.65E-04,1.35E-02,3.08E-02,3.15E-01,9.19E-03,3.35E-01,6.61E-02,1
8100714,YTHDC1,7.69E-04,1.35E-02,1.06E-03,7.84E-02,2.96E-02,4.68E-01,7.91E-01,1
8175492,ATP11C,7.70E-04,1.35E-02,1.33E-03,8.43E-02,1.65E-02,3.91E-01,9.20E-01,1
7932160,FAM107B,7.73E-04,1.35E-02,1.21E-03,8.19E-02,1.21E-02,3.59E-01,9.83E-01,1
8136293,EXOC4,7.73E-04,1.35E-02,2.95E-03,1.08E-01,4.17E-03,2.73E-01,9.92E-01,1
8051998,MCFD2,7.76E-04,1.35E-02,1.18E-03,8.18E-02,1.75E-02,4.00E-01,9.32E-01,1
7971208,KBTBD6,7.79E-04,1.35E-02,4.48E-03,1.28E-01,3.83E-03,2.71E-01,9.65E-01,1
8017711,GNA13,7.80E-04,1.35E-02,2.51E-03,1.05E-01,2.11E-02,4.25E-01,6.57E-01,1
7957177,RAB21,7.82E-04,1.36E-02,7.50E-03,1.58E-01,1.25E-02,3.64E-01,4.28E-01,1
7950197,ARAP1,7.87E-04,1.36E-02,7.21E-03,1.55E-01,1.34E-02,3.70E-01,4.27E-01,1
7925763,SH3BP5L,7.93E-04,1.37E-02,1.51E-03,8.67E-02,2.82E-03,2.52E-01,9.88E-01,1
8107129,SLCO4C1,7.96E-04,1.37E-02,4.13E-02,3.59E-01,1.33E-02,3.70E-01,1.72E-02,1
8046861,ITGAV,8.01E-04,1.37E-02,2.60E-03,1.06E-01,2.28E-02,4.35E-01,6.26E-01,1
8104350,KIAA0947,8.18E-04,1.40E-02,1.01E-03,7.69E-02,1.30E-02,3.68E-01,9.94E-01,1
