Gene,logFC,logCPM,LR,PValue,trended.disp,tagwise.disp,ctrl0,ctrl1,ctrl2,ctrl3,G0,G1,G2,G3
RING1,-0.169258958,6.20150685,44.34184927,2.76E-11,0.001881728,0.002482686,2018,1523,1791,1811,1391,1645,1202,1655
COMMD9,-0.22223421,5.401528408,44.26472157,2.87E-11,0.002025707,0.001765243,1193,1132,954,923,915,985,589,868
PIGN,0.191213102,5.823920463,44.15496468,3.03E-11,0.001905826,0.002267403,1554,1283,1137,958,1626,1420,1032,1099
FANCB,0.307414781,4.466716489,43.99009963,3.30E-11,0.003173012,0.007357697,537,533,372,377,599,548,454,481
SFXN1,-0.106419769,7.518580698,43.98330062,3.31E-11,0.001650571,0.001356801,5520,3822,4338,3946,4431,3591,3160,3852
NFKBIL1,0.271868027,4.819784262,43.97188838,3.33E-11,0.002533223,0.00338303,624,556,655,517,631,783,499,720
EIF1B,-0.151311811,6.48553396,43.87658536,3.50E-11,0.001877626,0.001539275,2800,2291,2047,1662,2073,2208,1324,1724
KIAA2018,0.123303054,7.063380054,43.33697172,4.61E-11,0.00180261,0.002480963,3728,3113,2456,2574,3475,3211,2320,2984
ALG10B,0.158476274,6.332835619,43.13002951,5.12E-11,0.00188016,0.002276678,2180,1826,1543,1525,2193,2033,1414,1661
UGGT2,0.133784739,6.801400804,43.0244504,5.41E-11,0.001854221,0.001489632,3513,2575,2100,1820,3336,2797,1802,2176
TRIM27,-0.119739509,7.146441136,43.01144385,5.44E-11,0.001780251,0.001325406,4066,3079,3600,2923,3150,3132,2369,2919
THAP9-AS1,0.153632258,6.404229124,42.95427189,5.60E-11,0.00187928,0.001375394,2476,1949,1577,1497,2387,2212,1304,1829
ADAM12,-0.363025681,3.924375143,42.90995733,5.73E-11,0.004714564,0.005419995,715,333,284,291,459,259,214,216
ATAD5,0.13102728,6.881636643,42.86856879,5.85E-11,0.001841645,0.001633948,2936,2550,2396,2484,2901,2766,2038,2834
LATS2,0.100633796,7.623786093,42.6698196,6.48E-11,0.00160659,0.001419789,6060,3527,4158,4014,5317,4291,3266,4647
CHML,0.104985906,7.480342813,42.16961209,8.37E-11,0.001665851,0.001450301,5350,3931,3403,3379,4882,4389,2947,3748
XRCC4,0.301825748,4.454234796,42.16093524,8.41E-11,0.00320113,0.005281171,506,436,457,415,655,493,373,543
SNX18,-0.125514017,6.946357007,42.10615004,8.65E-11,0.001829372,0.001282163,4268,3396,2356,2123,3382,3191,1597,2151
DENND5B,0.119351663,7.127952057,42.09062036,8.71E-11,0.001785459,0.001400563,3633,2805,3037,2884,3380,3057,2605,3342
TPP1,-0.134856599,6.749857057,42.06975586,8.81E-11,0.001860701,0.002167552,3464,3129,2044,1895,2566,2904,1620,1826
RAB8A,0.104841381,7.486344242,42.01716669,9.05E-11,0.001663479,0.001732122,5006,3564,3902,3571,4392,4357,2898,4317
EIF3K,-0.134021242,6.784858052,41.98819338,9.18E-11,0.001856439,0.002783969,3071,2322,2784,2486,2402,2393,1585,2622
RPL13A,-0.151250535,6.417810513,41.89191669,9.65E-11,0.001879066,0.002064688,2670,2094,1860,1757,1928,2146,1141,1808
NRSN2,-0.160009688,6.25689902,41.76297665,1.03E-10,0.001880964,0.001621697,2332,1913,1729,1528,1676,1902,1128,1522
ERAP1,0.125877,6.95765351,41.75666875,1.03E-10,0.001827041,0.001385476,3393,2562,2761,2298,3020,2894,2336,2803
KBTBD2,0.108002051,7.396127672,41.64647528,1.09E-10,0.001698055,0.001590651,4190,3863,3386,3482,3948,4039,2851,4134
PPP1R9A,0.234441709,5.191678675,41.57795559,1.13E-10,0.002149646,0.00375756,781,663,809,792,765,757,862,908
ZNF549,0.220631219,5.302190985,41.11103814,1.44E-10,0.002077676,0.001710034,1065,967,744,624,1089,1147,659,775
GRIN2B,0.417917079,3.498210751,40.9641495,1.55E-10,0.006282951,0.005363256,270,179,199,235,306,235,242,304
BTG2,-0.202106417,5.545211,40.65729015,1.81E-10,0.00196873,0.004005661,1431,1371,988,842,912,1194,693,956
LNX2,-0.182190346,5.822282365,40.58756773,1.88E-10,0.001906051,0.001660832,2075,1545,1115,946,1537,1374,778,931
TMEM98,-0.114144095,7.197759904,40.45652351,2.01E-10,0.001765124,0.001291794,3936,3358,3525,3239,3092,3307,2325,3322
ELK4,0.136636262,6.663684924,40.33412417,2.14E-10,0.00186886,0.002333041,2852,2205,1865,2040,2737,2410,1752,2223
LGALS3BP,-0.324240667,4.152324137,39.97458541,2.57E-10,0.00399057,0.002935019,802,328,408,337,504,287,259,306
PAFAH2,0.31223048,4.277983067,39.65977678,3.02E-10,0.003637027,0.003176824,449,368,436,343,534,456,400,423
GOLGA8A,0.119667429,7.020986986,39.56497862,3.17E-10,0.001812964,0.003675303,3755,2891,2385,2513,3308,3130,2441,2707
IGDCC4,-0.10917397,7.276005535,39.46677908,3.34E-10,0.00174024,0.001622972,5319,3313,3408,3018,4017,3145,2599,3028
DTX3,-0.151118143,6.338311035,39.31435594,3.61E-10,0.001880102,0.00316794,2278,1894,1916,1788,1649,2121,1125,1712
LOXL1,-0.147765843,6.39713318,39.28853897,3.66E-10,0.001879385,0.002279109,2861,1641,2061,1727,2071,1757,1274,1760
LTN1,0.115123677,7.110043235,39.11046582,4.00E-10,0.001790379,0.002452498,3875,3212,2755,2523,3900,3401,2410,2629
AGBL5,-0.129813482,6.771410319,38.8768727,4.51E-10,0.001858146,0.00175631,2880,2423,2727,2474,2214,2554,1724,2409
KLF13,0.119713498,6.996998004,38.86605157,4.54E-10,0.001818495,0.001537973,3355,2805,2648,2498,2879,3348,2247,2926
ARRB1,-0.130403404,6.739104264,38.81947837,4.65E-10,0.001861895,0.002036111,3681,2276,2321,2160,2729,2027,1658,2354
PCSK1N,-0.309381466,4.260203399,38.75337798,4.81E-10,0.003684944,0.008037296,602,561,458,338,297,525,297,351
ZZEF1,0.117673575,7.02975972,38.72325314,4.88E-10,0.001810882,0.002091397,3799,3144,2421,2316,3478,3317,2236,2698
UNC5B,-0.358749795,3.808582196,38.64922409,5.07E-10,0.00511793,0.008520765,452,611,215,188,311,413,173,181
SPECC1,0.135188362,6.641797821,38.6073271,5.18E-10,0.001870461,0.001514757,2575,2058,2118,2016,2299,2313,1785,2523
APPL1,0.141995347,6.480721117,38.59537221,5.21E-10,0.001877753,0.001762458,2508,2068,1759,1596,2498,2415,1452,1726
ATR,0.139500704,6.527375486,38.37213595,5.85E-10,0.001876326,0.002602221,2675,2128,1765,1627,2634,2274,1650,1752
GAB2,0.195293568,5.557969358,38.3632994,5.87E-10,0.001964591,0.002125247,1287,993,923,880,1208,1336,771,1022
SLC25A37,-0.168349218,5.991751238,38.33107094,5.97E-10,0.001889364,0.001595921,1867,1690,1438,1244,1368,1535,992,1254
HIF3A,-0.273615569,4.569682618,38.05378414,6.88E-10,0.002955248,0.003586394,943,577,530,399,584,502,357,411
RHNO1,-0.142503752,6.475005279,38.02391442,6.99E-10,0.001877898,0.001783959,2234,2067,2278,1990,1847,1910,1431,2001
FBXO22,-0.125519177,6.81868892,37.80358397,7.82E-10,0.001851764,0.001789298,3257,2775,2630,2275,2769,2527,1810,2140
OTUD4,0.138646879,6.531020567,37.76284707,7.99E-10,0.001876195,0.001491495,2513,1943,1991,1726,2437,2184,1696,1957
NSRP1,0.143288655,6.435085572,37.74687536,8.05E-10,0.001878763,0.002784444,2262,1842,1768,1736,2096,2389,1536,1762
GPR37,-0.184571408,5.663635084,37.70267093,8.24E-10,0.001935366,0.002711739,2129,1228,902,882,1425,1298,592,865
RBM6,0.103008067,7.373226213,37.51319624,9.08E-10,0.00170645,0.001418125,4548,3595,3445,3253,4120,4312,2770,3558
TFAM,0.102090757,7.404533812,37.39783709,9.63E-10,0.001694933,0.001616649,4265,3403,3808,3606,4216,3835,2883,4032
DOCK10,0.231816092,5.001268872,36.97598305,1.20E-09,0.002315267,0.002201267,1081,566,564,566,1093,647,540,701
KIAA1430,0.122380633,6.848215694,36.86651378,1.27E-09,0.001847245,0.002037113,3331,2379,2275,2299,3273,2735,1936,2378
INO80D,0.14867653,6.296753801,36.83319973,1.29E-09,0.001880532,0.003227087,1969,1890,1383,1610,1876,1907,1355,1958
GAK,0.112886387,7.085264398,36.80520033,1.31E-09,0.001796981,0.00128935,3692,2915,2928,2560,3252,3401,2374,3061
PPIE,0.181276309,5.721472687,36.77544786,1.33E-09,0.001922844,0.001562245,1338,1079,1109,1042,1297,1342,901,1261
TRMT5,-0.160010759,6.066739681,36.75711232,1.34E-09,0.001885427,0.002229136,2138,1678,1485,1319,1751,1630,970,1116
HLA-A,-0.17769696,5.781126486,36.6732162,1.40E-09,0.00191219,0.002284313,1565,1214,1414,1193,1128,1164,847,1262
SLC35B2,0.103693598,7.318787507,36.50533386,1.52E-09,0.001725748,0.001876382,4007,3584,3636,3015,3762,4095,2604,3726
RAPH1,0.130763164,6.625908052,36.45387552,1.56E-09,0.001871516,0.001937793,3123,2295,1691,1753,2942,2643,1523,1871
FAM105B,0.1366398,6.516203691,36.33999325,1.66E-09,0.00187671,0.001607377,2485,2000,1916,1695,2403,2236,1662,1898
ISOC2,-0.223438344,5.107639525,36.30928681,1.68E-09,0.002215708,0.002169368,1031,705,860,830,737,699,508,769
PLBD2,-0.134426124,6.546977657,36.17829494,1.80E-09,0.001875581,0.001592434,2810,2690,1932,1677,2085,2511,1397,1730
PCIF1,-0.183625494,5.656280587,36.13137087,1.84E-09,0.001937125,0.001964641,1434,1349,1115,1055,986,1349,743,992
ZFHX4,-0.183742468,5.624218418,35.89490486,2.08E-09,0.001945256,0.001892171,1684,1381,989,875,1221,1365,672,767
NPIP,0.122484493,6.807443349,35.89321608,2.08E-09,0.001853378,0.002150148,3185,2496,2182,2104,2699,3121,1918,2323
CUX2,-0.386524313,3.491706655,35.87002154,2.11E-09,0.006308223,0.004727192,401,379,221,190,276,272,123,178
KCTD2,-0.141892128,6.385679704,35.71147768,2.29E-09,0.001879543,0.001468323,2390,1974,1863,1872,1791,1979,1289,1762
SLC15A4,0.207789585,5.28490015,35.70690643,2.29E-09,0.002087902,0.001763932,995,844,836,674,945,1043,701,886
USP54,0.131739266,6.592688463,35.49385485,2.56E-09,0.001873453,0.001333421,2414,2171,2063,1844,2171,2510,1718,2232
LOC728392,-0.139769727,6.415685249,35.34299824,2.76E-09,0.001879101,0.002405842,2012,2601,1917,1671,1432,2424,1257,1891
SAT1,-0.257249927,4.630544697,35.18003253,3.01E-09,0.002838545,0.002897732,780,832,452,445,532,688,293,462
ZZZ3,0.124203032,6.735670388,35.15995894,3.04E-09,0.001862265,0.0014923,3016,2383,2105,1999,2899,2715,1764,2198
ZNF581,-0.282468312,4.383156215,35.14074642,3.07E-09,0.003368254,0.002820685,619,521,517,457,419,503,297,393
TICRR,0.119142119,6.86757948,35.05010226,3.21E-09,0.001844062,0.001446027,2963,2517,2518,2318,2672,2903,2182,2603
BLOC1S6,-0.10662592,7.172497804,34.89404387,3.48E-09,0.001772692,0.001259369,4090,3510,3283,2982,3346,3415,2236,2932
RYBP,0.106952162,7.144172433,34.73581432,3.78E-09,0.001780897,0.001444536,4212,3292,2631,2592,3931,3541,2246,2974
B3GNT9,-0.283938932,4.354768652,34.71836326,3.81E-09,0.003438298,0.004514724,598,484,524,460,359,492,291,435
C1QTNF4,-0.140757101,6.355916665,34.65460397,3.94E-09,0.001879909,0.002510158,2763,1619,2062,1605,2021,1794,1276,1588
SEMA3D,0.439340754,3.060111313,34.59309886,4.06E-09,0.00797415,0.004238628,298,142,117,114,322,213,127,171
PTPN23,0.100371585,7.327880814,34.58340024,4.08E-09,0.00172259,0.001491449,4770,3467,3254,2956,4083,3944,2768,3500
AKT1S1,-0.133221411,6.505912263,34.34317296,4.62E-09,0.001877039,0.002075904,2687,2064,2195,1886,2036,2216,1361,1833
SMOX,-0.219584683,5.059107708,34.32415503,4.67E-09,0.002258798,0.002539703,1039,864,773,664,739,862,439,624
CYGB,-0.516965441,2.585451987,34.31767574,4.68E-09,0.009471807,0.008155662,261,224,97,85,184,141,45,63
HIST2H2BE,-0.374237624,3.525593583,34.14227153,5.12E-09,0.006176791,0.003549738,425,296,293,202,272,248,158,181
FDXACB1,-0.540856271,2.501150509,34.13691721,5.14E-09,0.009660878,0.006109457,167,161,148,135,110,123,63,95
COL9A2,-0.195712782,5.386137481,34.00299652,5.50E-09,0.002033036,0.002946707,1217,1194,878,832,849,995,632,881
MPHOSPH8,0.11442626,6.930594448,33.8932088,5.82E-09,0.001832531,0.001363844,3177,2695,2719,2256,2898,3186,2247,2498
PIGT,-0.10417909,7.195138182,33.87046128,5.89E-09,0.001765921,0.001283937,4193,3718,3174,2985,3316,3639,2303,2893
ANAPC13,-0.121968594,6.739848014,33.84782067,5.96E-09,0.001861814,0.002095226,3055,2555,2536,2185,2440,2426,1554,2379
SLC43A2,-0.149589824,6.150576789,33.83266468,6.01E-09,0.001882738,0.001367509,2002,1924,1545,1443,1548,1797,1061,1398
SGK494,0.193880946,5.416585692,33.81814912,6.05E-09,0.002018781,0.004505945,1082,945,853,792,1096,995,900,869
SLC41A3,0.158425075,5.979676364,33.74484376,6.28E-09,0.001890165,0.002138036,1643,1389,1370,1132,1582,1619,1024,1496
RABEP2,0.208166703,5.187963132,33.57759348,6.85E-09,0.00215235,0.001956073,961,808,703,657,880,991,630,857
CDK19,0.107648589,7.066027213,33.32612307,7.79E-09,0.001801939,0.00206477,3963,3330,2626,2148,3630,3409,2231,2738
GSTA4,-0.141338281,6.29161194,33.29449084,7.92E-09,0.001880585,0.001536266,2349,1793,1831,1653,1799,1749,1166,1683
S100A13,-0.150443673,6.112377766,33.24912304,8.11E-09,0.001883777,0.002701682,1951,1690,1589,1489,1466,1517,974,1682
TRAPPC11,0.117824702,6.809283241,33.2420215,8.14E-09,0.001853118,0.001954576,3056,2761,2120,2048,2892,2860,1878,2429
BRCA2,0.105414637,7.132456404,33.23166375,8.18E-09,0.001784202,0.002199421,3865,3248,2787,2660,3785,3378,2453,2862
LTA4H,-0.124740505,6.631034941,32.81315231,1.01E-08,0.001871185,0.001559336,3009,2349,2233,2009,2228,2369,1614,1924
THOP1,0.120835696,6.724073142,32.43308716,1.23E-08,0.001863475,0.001877266,2472,1893,2645,2282,2327,2377,1960,2648
ATP5SL,-0.136412632,6.363661105,32.3020943,1.32E-08,0.001879819,0.001874992,2141,1807,2076,1893,1624,1815,1279,1968
CCDC88C,0.141159348,6.273274584,32.2802563,1.33E-08,0.00188078,0.002700983,1903,1217,1819,1792,1666,1668,1531,1971
SUSD5,-0.358472994,3.570569668,32.26036852,1.35E-08,0.006003412,0.004403934,409,329,274,226,237,294,167,196
ACTA2,-0.153185119,6.007794833,32.16292685,1.42E-08,0.001888376,0.001686812,2265,1141,1597,1353,1834,1034,1027,1300
LPPR2,-0.169693907,5.683982104,32.06410892,1.49E-08,0.0019307,0.001638968,1741,1541,1022,825,1290,1496,641,814
CDH8,-0.225180213,4.892699764,31.93402878,1.59E-08,0.0024377,0.002838741,879,755,710,615,587,710,418,639
ERI2,0.14703866,6.113262746,31.78807104,1.72E-08,0.00188375,0.002039651,1823,1625,1363,1267,1712,1772,1267,1479
AP4M1,0.203369719,5.163312671,31.62204881,1.87E-08,0.002170784,0.002189493,971,773,731,623,955,921,579,847
FZR1,-0.11108031,6.90516636,31.39072652,2.11E-08,0.001837398,0.001419388,3460,2738,2951,2391,2631,2800,1962,2459
SERINC5,-0.168975371,5.683497227,31.38084956,2.12E-08,0.001930808,0.003662797,1775,1364,1099,861,1333,1081,848,899
PHF19,-0.154919761,5.941430253,31.26749634,2.25E-08,0.001893054,0.001789162,1706,1536,1487,1251,1232,1528,948,1277
LRRC10B,-0.554112312,2.340777285,31.24859834,2.27E-08,0.009946446,0.023255303,61,139,175,156,46,148,58,90
OARD1,0.208401242,5.094392057,31.17251462,2.36E-08,0.002227096,0.002512755,745,770,665,713,777,850,630,860
MDFIC,0.124394659,6.551223938,31.16428295,2.37E-08,0.001875408,0.001961407,2714,2396,1678,1593,2549,2593,1535,1798
MAST1,0.384206535,3.341093749,31.07333015,2.48E-08,0.006896729,0.006847755,218,220,184,177,210,311,226,221
FBXO3,-0.187041191,5.373378631,31.04427399,2.52E-08,0.002039306,0.00158245,1350,1073,868,829,1029,984,572,770
ZNF428,0.100132464,7.182533256,30.98703308,2.60E-08,0.001769714,0.001511644,3634,3306,3062,2937,3230,3999,2304,3403
ULK3,0.152536785,5.977006732,30.94957847,2.65E-08,0.001890349,0.001520621,1561,1246,1405,1279,1435,1543,1142,1526
RBBP8,0.118185478,6.698606015,30.94482151,2.65E-08,0.001865928,0.001442819,2853,2225,2151,2025,2671,2659,1726,2237
MTBP,0.181133335,5.474299832,30.91514842,2.70E-08,0.001994373,0.002086214,1087,1014,919,828,1141,1118,783,998
IKZF2,0.203661064,5.12069662,30.86100728,2.77E-08,0.002204751,0.003712781,1064,599,776,603,1102,832,627,624
BBC3,-0.15835605,5.85844192,30.7567315,2.92E-08,0.001901399,0.002863064,1616,1457,1284,1265,1121,1271,898,1408
IL1A,-0.576005522,2.211346007,30.72871123,2.97E-08,0.010119716,0.010880271,147,86,129,134,76,43,85,100
CDCA2,0.114518441,6.777975466,30.71462346,2.99E-08,0.001857324,0.001615445,2973,2395,2393,2038,2822,2741,1772,2474
KAT6B,0.115904566,6.742636012,30.71326137,2.99E-08,0.001861509,0.001655708,2982,2537,2078,1954,2701,2856,1851,2180
C1orf159,0.194656966,5.254774297,30.55272156,3.25E-08,0.00210661,0.001698521,928,791,856,707,900,963,704,902
LIG3,0.109080864,6.912287164,30.47326019,3.39E-08,0.001836064,0.001325375,3337,2470,2575,2359,2923,2891,2092,2797
PAN2,0.148676796,6.013411435,30.39776334,3.52E-08,0.00188805,0.001655573,1753,1468,1256,1199,1589,1680,1125,1441
CCDC167,0.190232023,5.32255978,30.36008214,3.59E-08,0.002066094,0.00182054,912,688,898,914,882,867,716,1148
PIM1,0.130389088,6.403794011,30.35100293,3.61E-08,0.001879287,0.001415854,1953,1737,1729,1968,1816,2090,1421,2232
ZNF337,-0.154198614,5.900669612,30.28346531,3.73E-08,0.001896772,0.002115467,1820,1622,1213,1182,1336,1443,916,1183
SERINC2,-0.113308561,6.791048498,30.2662991,3.77E-08,0.001855624,0.001383617,3562,2334,2659,2177,2670,2327,1840,2260
ZFP90,-0.129951518,6.382135025,30.26491721,3.77E-08,0.00187959,0.002231932,2602,2482,1608,1453,2087,2147,1218,1467
ST3GAL2,-0.100699102,7.132641455,30.21729405,3.86E-08,0.00178415,0.001335028,3993,3430,3215,2802,3009,3434,2330,2829
SLC16A9,-0.16770885,5.665223557,30.17071879,3.96E-08,0.001934991,0.002056689,1359,1352,1146,1086,1098,1189,812,989
VPS28,0.128929718,6.415697787,30.14439971,4.01E-08,0.001879101,0.001601286,2159,1880,1840,1651,1936,2254,1420,2042
COIL,0.119497784,6.626597306,30.12793756,4.04E-08,0.001871472,0.001381107,2724,2156,2094,1841,2588,2519,1630,2111
AP5S1,-0.327347957,3.742152989,30.094375,4.12E-08,0.005358376,0.003002997,422,320,329,301,278,280,198,254
PINK1,-0.202422889,5.097574464,30.08328037,4.14E-08,0.002224335,0.001882454,1117,956,705,642,778,916,462,610
ANKRD26,0.148842312,5.993466114,29.98732714,4.35E-08,0.001889254,0.002228358,1736,1380,1384,1118,1659,1660,1230,1165
ZNF211,-0.194416539,5.213335581,29.9501429,4.43E-08,0.002134269,0.002144125,1145,1035,795,714,913,920,534,621
LAMA4,-0.126913222,6.438667724,29.91023024,4.53E-08,0.001878695,0.002496642,2548,2651,1667,1540,1835,2420,1310,1632
ELL2,-0.276021179,4.207941543,29.87090787,4.62E-08,0.003829849,0.006470953,657,431,369,418,419,308,245,467
ATP6V1F,-0.129923059,6.365078247,29.85723245,4.65E-08,0.001879802,0.002438944,2590,2101,1799,1553,1945,2013,1109,1760
PRDM4,0.115039902,6.727860801,29.85648747,4.65E-08,0.001863086,0.001415835,2771,2296,2222,2129,2634,2598,1700,2537
CEP95,0.111353082,6.819008185,29.84678215,4.68E-08,0.001851718,0.001341415,3015,2643,2230,2167,2718,3053,1885,2440
TXNDC15,-0.126297364,6.433777771,29.8397294,4.69E-08,0.001878787,0.001745403,2932,2325,1824,1433,2321,2275,1129,1488
ANGPTL4,-0.362522246,3.410145531,29.77628619,4.85E-08,0.006626458,0.0102825,438,321,182,181,286,220,157,140
DSEL,0.115018819,6.716280616,29.59340165,5.33E-08,0.001864255,0.002504094,2918,2460,2084,1890,2520,2560,1890,2406
PIK3C3,0.131879244,6.30252536,29.49471492,5.61E-08,0.001880473,0.001763647,2306,1898,1443,1397,2244,2111,1254,1540
DCXR,-0.174376149,5.519976429,29.46108552,5.71E-08,0.001977333,0.00269167,1270,978,1156,1076,930,1052,684,1015
MYO6,0.102972748,7.035202503,29.44068579,5.77E-08,0.001809574,0.002624506,3720,2624,2782,2577,3318,2574,2497,3160
GLE1,0.124475875,6.468204073,29.33125856,6.10E-08,0.001878064,0.001356936,2521,1907,1838,1634,2397,2218,1461,1871
EIF2B5,-0.137192579,6.199597097,29.25500218,6.35E-08,0.00188176,0.00144202,2096,1612,1764,1638,1642,1594,1196,1537
HK2,0.142845814,6.089797425,29.19210539,6.55E-08,0.001884532,0.001834264,1623,1201,1716,1406,1542,1451,1287,1755
CEP68,-0.138966689,6.149410091,29.0074705,7.21E-08,0.001882766,0.0018606,2107,1509,1641,1611,1502,1561,1155,1552
METTL3,-0.100172754,7.085644642,28.93880725,7.47E-08,0.001796881,0.00145466,3731,3204,3230,2829,2897,3354,2131,2857
MFAP2,-0.144715127,6.033190418,28.63913884,8.72E-08,0.00188698,0.001471995,1637,1325,1693,1618,1264,1292,1174,1510
CMBL,-0.113384436,6.708613824,28.58340648,8.97E-08,0.001864997,0.001587575,2945,2709,2343,2057,2226,2544,1653,2209
SLX4,0.144487295,6.002942448,28.54976915,9.13E-08,0.001888665,0.001399526,1727,1514,1370,1058,1642,1727,1136,1274
DDX59,0.176149745,5.431623074,28.48552403,9.44E-08,0.002012099,0.001580888,1138,936,794,875,1084,1097,700,1060
CA14,-0.122028636,6.488829407,28.37597394,9.99E-08,0.001877537,0.001380173,2393,2305,2129,1819,1887,2315,1416,1757
ZNF772,-0.166275026,5.592197189,28.34389574,1.02E-07,0.001954161,0.003689126,1387,1334,983,1017,1175,1119,747,867
ZNF624,-0.195687917,5.101515194,28.20956582,1.09E-07,0.002220938,0.002308671,1073,1017,697,629,777,906,434,670
HIGD2A,-0.143617835,6.008220481,28.09243042,1.16E-07,0.001888351,0.002410371,1794,1446,1609,1386,1366,1362,972,1526
PAK1,0.101791373,7.011057572,28.04641026,1.18E-07,0.001815282,0.001304363,3163,2348,3061,2828,2782,2746,2508,3237
NDUFS8,-0.130102552,6.284920041,27.94180015,1.25E-07,0.001880655,0.002182457,2219,1557,1968,1791,1806,1585,1175,1787
QPCTL,-0.227503213,4.674438972,27.88182748,1.29E-07,0.002759968,0.004545086,771,524,725,531,521,563,389,527
YY1AP1,-0.110446763,6.74257463,27.88086339,1.29E-07,0.001861515,0.001439844,3175,2586,2371,2193,2436,2591,1563,2291
SMTN,-0.166716255,5.557089424,27.83261379,1.32E-07,0.001964872,0.002603522,1466,1176,1106,881,1063,1024,735,983
FBXO9,-0.146739373,5.921654692,27.80353002,1.34E-07,0.001894771,0.001409793,1840,1522,1369,1191,1424,1423,941,1156
CDC14B,-0.147822481,5.898297066,27.73993866,1.39E-07,0.001897011,0.001630977,1762,1562,1340,1159,1394,1451,946,1069
C1orf63,-0.200944647,4.988211309,27.72323571,1.40E-07,0.002328824,0.003094521,940,1127,604,510,788,1029,353,428
RMDN1,0.138071566,6.084132519,27.72287618,1.40E-07,0.00188474,0.001599742,1890,1568,1318,1246,1868,1766,1034,1481
CEP164,0.129819786,6.26389019,27.59884687,1.49E-07,0.001880884,0.002070416,2078,1917,1551,1263,1811,2102,1381,1606
AGTPBP1,0.105836568,6.848489841,27.56040272,1.52E-07,0.001847201,0.001289448,3152,2723,2355,2089,2941,2991,1934,2414
CARD8,-0.10810732,6.796275871,27.53042961,1.55E-07,0.001854922,0.001462468,2976,2953,2642,2077,2264,2804,1878,2206
SPRED3,-0.179261401,5.343109041,27.52195365,1.55E-07,0.002054906,0.002068509,1071,1158,1009,731,751,1043,697,756
HSDL2,-0.112060145,6.677052274,27.50880478,1.56E-07,0.001867794,0.001317888,3155,2608,2195,1959,2489,2582,1548,1875
SELT,-0.114375448,6.620291476,27.46145059,1.60E-07,0.001871869,0.001587085,2936,2528,2283,1778,2308,2355,1546,1915
PDGFD,0.130272847,6.244532023,27.43834006,1.62E-07,0.001881113,0.001629203,2435,1271,1574,1492,2276,1381,1373,1733
ATG2B,0.104499624,6.875690112,27.39752775,1.66E-07,0.001842678,0.001899152,3349,2783,2337,2078,3171,2923,2059,2305
NFATC4,-0.121882874,6.428378387,27.39493917,1.66E-07,0.001878885,0.001282828,2672,2246,1901,1565,2085,2190,1314,1532
C9orf78,0.126765665,6.314683398,27.34140841,1.71E-07,0.001880348,0.001910961,2082,1920,1634,1428,1966,2156,1223,1833
LARGE,-0.105965196,6.83056388,27.32447177,1.72E-07,0.001849995,0.001294302,3542,2749,2459,2244,2737,2659,1717,2342
TSPO,-0.307927668,3.717393843,27.17970621,1.85E-07,0.00544948,0.008399273,582,329,246,231,373,361,111,193
OXA1L,-0.108840834,6.74912193,27.14857006,1.88E-07,0.001860785,0.001280731,3164,2566,2396,2229,2435,2592,1644,2233
CCDC90B,-0.103762813,6.870897405,27.11672817,1.92E-07,0.0018435,0.00146669,3667,3087,2420,2177,3012,2945,1590,2258
DUSP14,-0.152567862,5.77076533,27.0439862,1.99E-07,0.001913887,0.00156086,1590,1372,1246,1119,1213,1307,800,1129
RPL22L1,-0.207905989,4.85417008,27.04149743,1.99E-07,0.002486762,0.002566819,1043,748,562,567,782,720,311,538
CWC22,0.118115737,6.510593307,26.97455957,2.06E-07,0.001876892,0.001544412,2350,1822,2055,1854,2211,2174,1550,2173
HEATR3,-0.168906435,5.470529301,26.96510755,2.07E-07,0.001995867,0.001505159,1401,1093,1045,838,1065,1033,684,803
TET2,-0.10452677,6.844418138,26.93457203,2.10E-07,0.001847849,0.001613354,3338,3316,2164,2253,2751,3108,1610,2159
AGO2,0.119062954,6.485248982,26.92307502,2.12E-07,0.001877634,0.002031387,2442,1910,1810,1778,2221,2089,1666,1985
SGSM2,-0.119286242,6.480011459,26.90924271,2.13E-07,0.001877771,0.001807342,2612,2024,2060,1893,1866,2071,1496,1880
PHLDA3,-0.122692779,6.382171854,26.81932634,2.23E-07,0.001879589,0.001610826,2660,1907,1920,1625,1966,1946,1281,1678
LMAN2L,-0.135724904,6.08541047,26.76395869,2.30E-07,0.001884693,0.002571409,1980,1756,1640,1259,1651,1750,947,1238
ACSL4,0.10463617,6.838244629,26.6692644,2.41E-07,0.001848816,0.001467814,3233,2437,2440,2143,3040,2586,2028,2489
IFT172,0.166008408,5.497406392,26.56498837,2.55E-07,0.001985511,0.002375805,1331,1030,891,723,1243,1137,857,856
LRRCC1,0.163882001,5.546036387,26.5440004,2.58E-07,0.001968458,0.002397818,1104,1026,1010,921,1128,1270,842,973
LRBA,0.119333617,6.436985864,26.4046148,2.77E-07,0.001878727,0.003669803,2588,2009,1563,1594,2560,1951,1491,1764
DCN,0.368366876,3.190479105,26.28503046,2.95E-07,0.007481972,0.006860648,344,33,236,148,420,40,185,214
RHBDD3,-0.151878332,5.759762534,26.2816522,2.95E-07,0.001915757,0.002833394,1358,1150,1473,1256,1121,1189,849,1197
PDIK1L,0.196657912,4.998076136,26.24364891,3.01E-07,0.002318553,0.002129103,804,730,574,636,808,814,518,796
