Gene,logFC,logCPM,LR,PValue,trended.disp,tagwise.disp,ctrl0,ctrl1,ctrl2,ctrl3,C0,C1,C3
ARHGAP33,0.250594927,6.843321131,121.5354581,2.92E-28,0.002986213,0.003764805,2791,2513,2370,2122,2823,3484,2432
MTSS1L,0.186420239,7.692010876,120.1868282,5.76E-28,0.002453256,0.003550928,5636,3745,4686,4210,5790,5090,4369
ALDH16A1,0.284189652,6.477590463,119.7218167,7.28E-28,0.003094993,0.002781578,2109,1697,1956,1821,2470,2217,2078
KXD1,0.259373206,6.697528787,114.9579279,8.04E-27,0.003038852,0.003665889,2660,1812,2470,2073,2793,2558,2378
RAP1B,-0.191400413,7.487182612,113.0254372,2.13E-26,0.002609432,0.002658496,5955,4549,3721,3331,5225,3673,3032
ADAM15,0.203208687,7.316678742,111.5717217,4.43E-26,0.002728398,0.003052633,4480,3180,3465,2897,4696,4176,3110
APPBP2,-0.185391275,7.564393372,110.9547398,6.05E-26,0.002552073,0.00238052,6193,4655,4116,3598,5471,3884,3154
TAOK1,-0.109293822,9.083377021,110.4499055,7.81E-26,0.001284865,0.001575686,15953,13542,11315,10771,14911,11686,10216
HEXIM1,-0.280624808,6.401436479,110.28878,8.47E-26,0.003109665,0.002666971,2560,2078,1990,1832,1995,1817,1444
ZNF84,-0.183146179,7.572138398,109.5429738,1.23E-25,0.002546213,0.003093964,5692,5115,3723,3780,5005,4048,3624
SMG5,0.162999418,7.892062429,106.3612415,6.14E-25,0.002290289,0.002251826,6303,4841,5128,4711,6559,5947,5010
HDHD1,-0.329862429,5.930913359,106.0547859,7.17E-25,0.003183562,0.002695735,1849,1251,1652,1483,1375,1040,1179
GIT1,0.179434165,7.619907675,105.4618578,9.67E-25,0.002509661,0.002382628,5036,3957,4459,3903,5202,4895,4320
TET2,-0.231455008,6.832518328,105.1067571,1.16E-24,0.002990593,0.002856551,3338,3316,2164,2253,2907,2631,1955
COPZ1,0.15973158,7.914305061,104.6740261,1.44E-24,0.002271689,0.001859063,6462,5106,4962,4702,6955,5787,5185
ZNF260,-0.193096009,7.356966783,103.6427992,2.42E-24,0.002701328,0.003454694,4959,4342,3519,3161,4395,3348,3007
PI4K2B,-0.392465265,5.358900667,103.0404029,3.28E-24,0.003367492,0.002884747,1222,1108,1007,881,881,838,697
ZNF638,-0.122003491,8.634402984,101.516771,7.09E-24,0.001651957,0.001582963,12464,10021,8311,7358,11431,8892,6701
PPP4R1,-0.115515845,8.810959674,100.7303904,1.05E-23,0.001503631,0.001333164,12961,10376,9956,9604,11737,9632,8623
CHD6,-0.157091176,7.885736782,99.96091829,1.55E-23,0.002295564,0.002062486,7222,6200,4787,4507,6089,5492,4286
SZRD1,0.111431543,8.903928702,99.4708084,1.99E-23,0.001427405,0.001562547,12785,9674,10718,9841,12616,11437,10381
ZNF91,-0.237813416,6.679435149,98.72701225,2.90E-23,0.00304443,0.002903083,3175,2739,2156,2035,2781,2190,1676
MYO19,0.242804085,6.618958657,98.18661046,3.81E-23,0.003061703,0.003838546,2557,1808,1993,2051,2790,2519,2181
PAQR4,0.239120105,6.689879574,97.80904149,4.61E-23,0.003041234,0.003422038,2318,2042,2243,2230,2485,2781,2427
KIF20A,0.15928274,7.843112702,97.61640711,5.08E-23,0.002330922,0.002020664,6429,4517,5321,4323,6801,5345,4655
MYBBP1A,0.223537343,6.855939513,97.54532691,5.26E-23,0.002981001,0.00276117,3165,2184,2546,2226,3485,2799,2432
CSNK1A1,-0.111963424,8.836429402,95.54393278,1.45E-22,0.001482604,0.001367812,12832,10844,10536,9535,11654,9770,8901
ZNF561,-0.179913356,7.42345823,95.32223646,1.62E-22,0.002655208,0.003004322,5571,4604,3576,2970,4658,3815,2966
