Gene,logFC,logCPM,LR,PValue,trended.disp,tagwise.disp,ctrl0,ctrl1,ctrl2,ctrl3,C0,C1,C3
CHD2,-0.101102015,8.373472002,58.43371767,2.10E-14,0.001876769,0.001554403,9841,8465,6424,6509,8799,7951,6082
GNA13,-0.106765382,8.222079851,58.17926261,2.39E-14,0.002008259,0.001870824,8952,7233,6135,6025,8268,6426,5641
HSDL1,-0.151706893,7.228654467,57.69737609,3.06E-14,0.002785077,0.003095071,4175,3874,3414,3025,3877,3145,2817
CARM1,0.127278766,7.731805788,57.67231715,3.10E-14,0.002421543,0.003456298,5930,4135,4835,4213,5698,5374,4311
SOCS4,-0.146993575,7.291385227,57.41691799,3.53E-14,0.002745039,0.004137231,4265,4368,3293,3084,4221,3399,2828
PPM1D,-0.168626142,6.908188385,57.27248632,3.79E-14,0.002958349,0.003563925,3631,2928,2699,2395,3078,2354,2423
POLD2,0.144870158,7.362393704,57.22408968,3.89E-14,0.00269763,0.003371621,4326,3063,3843,3478,4330,3966,3559
ZNF92,-0.214985182,6.190063172,56.94433938,4.48E-14,0.003143371,0.003490824,2016,2005,1535,1540,1836,1576,1320
MTHFD1,0.126586168,7.71566897,56.6240411,5.28E-14,0.00243445,0.002243966,5577,4302,4638,4298,5999,4903,4362
CLU,0.185864297,6.593357094,56.28776176,6.26E-14,0.003068422,0.004348328,2753,1878,2114,1772,2628,2567,1989
ZHX2,-0.229095762,6.006382794,55.84782536,7.83E-14,0.00317091,0.002868673,1869,1641,1510,1316,1441,1459,1167
TBCD,0.120607073,7.847836405,55.83421244,7.88E-14,0.00232702,0.00201703,6074,4534,5244,4822,6243,5230,5075
LMF2,0.145637798,7.289679167,55.80930479,7.99E-14,0.002746151,0.004047232,4198,3232,3434,3050,4051,4301,3096
FLOT2,0.121310728,7.835244733,55.45983516,9.54E-14,0.002337412,0.003030173,5839,4408,5378,4891,5689,5585,4985
IGDCC4,-0.144892745,7.272938062,55.39835034,9.84E-14,0.002756998,0.002211753,5319,3313,3408,3018,4577,3104,2682
LMBRD1,-0.25261019,5.652745738,54.8854331,1.28E-13,0.003247531,0.004498488,1557,1459,1016,919,1308,1067,884
SASH1,-0.111756745,7.992243345,54.75398675,1.37E-13,0.002205925,0.002091718,7977,6107,5071,5032,7230,5355,4846
PPRC1,0.138038585,7.423922922,54.73262672,1.38E-13,0.00265488,0.002852744,4429,3336,3774,3709,4582,4128,3751
POLR2E,0.110637665,8.074468285,54.62481848,1.46E-13,0.002135717,0.002749618,7197,5182,6393,5620,7028,6472,5675
BAX,-0.113110523,8.007916938,54.61319377,1.47E-13,0.002192601,0.00184267,7375,5757,6087,5480,6519,5252,5202
STC1,-0.326473161,4.874058126,54.5604131,1.51E-13,0.003776428,0.009639762,1025,887,505,491,722,604,564
VPS28,0.193266535,6.432626658,54.2657162,1.75E-13,0.003103883,0.002687593,2159,1880,1840,1651,2281,2295,1851
SENP6,-0.102733751,8.232897429,54.2205952,1.79E-13,0.001998874,0.002620458,8738,7593,6155,5989,8317,6325,5858
UHMK1,-0.130782362,7.567140591,54.07064257,1.93E-13,0.002549997,0.002421132,5329,4597,4361,3939,4834,3955,3707
PKMYT1,0.213807338,6.178189223,53.98493073,2.02E-13,0.003145112,0.004153849,1554,1438,1722,1597,1731,1933,1601
DHX36,-0.135786766,7.44074336,53.97341252,2.03E-13,0.002642939,0.002372935,5215,4019,3822,3634,4631,3480,3434
RBPMS,0.141824842,7.280378366,53.92047822,2.09E-13,0.002752193,0.002500396,4689,3291,3122,2723,4680,3934,3021
GLCCI1,-0.246256604,5.753602932,53.76455851,2.26E-13,0.003220263,0.003126798,1316,1601,1242,1122,1077,1279,1017
CDK2AP2,0.23844029,5.815253822,53.74705366,2.28E-13,0.003206116,0.004040342,1487,1132,1241,1027,1538,1570,1138
ZNF772,-0.255910241,5.588649127,53.45939216,2.64E-13,0.003268024,0.003905878,1387,1334,983,1017,1243,999,848
XPO6,0.109147038,8.042021956,53.42485813,2.69E-13,0.002163509,0.002088595,7609,5342,5615,5158,7774,6247,5226
CNTNAP1,0.17334217,6.67977314,53.23893225,2.95E-13,0.003044328,0.006016584,3455,1715,2131,1835,3336,2551,1878
MAPK8IP3,0.11570799,7.863088999,52.87177008,3.56E-13,0.002314392,0.002686972,6304,5125,4873,4464,6053,6291,4662
TUBB6,0.102585954,8.193364647,52.39386861,4.54E-13,0.002033151,0.001752237,8436,6188,6227,5522,8396,6983,5944
DUT,0.141194845,7.285699892,52.28658955,4.80E-13,0.002748741,0.002550728,4138,3207,3465,3124,4506,3708,3172
GPT2,0.15683751,6.953808313,52.20245721,5.01E-13,0.002937196,0.00455668,3593,2489,2575,2345,3678,3347,2236
FBXO22,-0.166517752,6.81194301,51.86627695,5.94E-13,0.002998727,0.002598577,3257,2775,2630,2275,2866,2350,2086
MICALL1,0.126688979,7.537808188,51.3829279,7.60E-13,0.002572045,0.002448809,5294,4256,3668,3290,5251,5068,3514
LRP10,-0.168773909,6.694287421,50.95332464,9.46E-13,0.003039866,0.002886238,3395,2748,2093,1808,2739,2704,1534
VPS4A,0.120757565,7.709514637,50.85364926,9.95E-13,0.002439356,0.002691522,5601,4046,4763,4369,5481,4989,4567
MAST2,0.127864005,7.482501191,50.79351343,1.03E-12,0.002612845,0.002504741,5512,3764,3442,3190,5447,4526,3445
DNAJB6,-0.139035505,7.302138568,50.60869601,1.13E-12,0.002737998,0.002353798,4683,3424,3781,3414,4085,3281,2948
CRTAP,0.115943775,7.764489473,50.47430037,1.21E-12,0.002395213,0.002087703,6730,4626,4394,3775,6693,5222,4232
ZFHX4,-0.241307662,5.640614819,50.32209541,1.30E-12,0.003251205,0.002925427,1684,1381,989,875,1367,1231,688
B4GALT2,0.145476202,7.14538804,50.30334744,1.32E-12,0.002835347,0.003655435,3838,2817,3154,2816,3829,3677,2831
CPSF1,0.101979432,8.157537512,49.70991885,1.78E-12,0.002064155,0.002953247,7358,6017,6318,5951,7233,7500,5756
TRAF7,0.124765787,7.59069346,49.65845017,1.83E-12,0.002532097,0.002976578,5041,3846,4582,3914,5012,4800,3965
RNH1,0.141760204,7.191163336,49.5842087,1.90E-12,0.002808131,0.003083051,3970,3087,3175,2786,3964,3884,2870
ZNF512B,-0.14600446,7.11414857,49.46952575,2.01E-12,0.002853313,0.005578843,4269,3002,3220,2964,3517,3395,2210
ZDHHC20,-0.109567074,7.906611309,49.36478867,2.13E-12,0.002278132,0.003586928,7174,6279,4915,4458,6819,5009,4539
MEIS3,0.14465794,7.141962418,49.3614051,2.13E-12,0.002837342,0.003632648,3641,2996,3190,2759,3581,3890,2791
UBE2C,0.126837988,7.532903761,49.30362563,2.19E-12,0.002575705,0.002331561,4967,3776,4538,3552,5229,4373,3636
ANKRD13B,0.205416973,6.139200146,49.26309916,2.24E-12,0.003150814,0.005305449,1858,1291,1650,1406,1830,1872,1482
SIPA1,0.197359424,6.240006716,49.2324951,2.27E-12,0.003135969,0.004292721,2065,1451,1734,1431,2102,1998,1495
THOP1,0.170525399,6.700960506,48.95162408,2.62E-12,0.003037772,0.003056806,2472,1893,2645,2282,2609,2399,2379
CXXC4,-0.370637611,4.538580174,48.86587776,2.74E-12,0.00429925,0.004300672,382,769,658,536,291,546,462
FBN3,0.444963023,3.714563247,48.68610772,3.00E-12,0.006497463,0.009736557,460,248,123,176,531,451,201
PLEKHA8,-0.11354607,7.810362738,48.64457554,3.07E-12,0.002357857,0.002164881,6688,5251,5069,4519,6047,4622,4327
C4orf27,0.224155076,5.84962242,48.60580363,3.13E-12,0.003198926,0.002839738,1578,1060,1279,1116,1774,1190,1354
PCDH20,0.393874708,4.311046579,48.52970199,3.25E-12,0.004785757,0.00636208,491,225,549,428,561,390,529
BTG2,-0.246018588,5.560523658,48.34634696,3.57E-12,0.0032779,0.005514286,1431,1371,988,842,1094,1045,896
HGS,0.125134404,7.521658717,48.1326152,3.98E-12,0.002584065,0.003627587,4884,3749,4150,3699,4799,4837,3642
SLC35B2,0.134342569,7.317543653,47.88495853,4.52E-12,0.002727824,0.002378515,4007,3584,3636,3015,4016,4024,3462
COPS5,-0.187921695,6.314449575,47.22167319,6.34E-12,0.003124446,0.002888865,2375,1977,1788,1632,2119,1653,1408
FBRSL1,0.144080144,7.100964805,47.16883499,6.51E-12,0.002860742,0.005228987,3587,2499,3222,2971,3548,3492,2838
TRMT1,0.184189324,6.385573018,47.03232863,6.98E-12,0.003112498,0.003806765,2167,1693,1993,1589,2272,2229,1610
CLDN12,-0.219342882,5.871864854,46.88567468,7.53E-12,0.003194508,0.004191043,1796,1559,1408,1054,1536,1175,1023
COPS7A,0.19697941,6.148084871,46.82981442,7.74E-12,0.003149514,0.002600772,1912,1510,1472,1303,2123,1758,1460
PTTG1,0.163563904,6.734667752,46.77156789,7.98E-12,0.00302677,0.00257067,2485,2133,2512,2302,2809,2327,2517
BDH2,-0.209328752,5.96763972,46.75369703,8.05E-12,0.003177245,0.006047641,1830,1749,1282,1231,1754,1214,1135
CDK17,-0.146404769,7.020999558,46.72415545,8.17E-12,0.0029038,0.003971396,3728,3244,2911,2644,3529,2509,2529
PDCD4,-0.149611238,6.885882798,46.61523324,8.64E-12,0.002968228,0.003919039,4011,3094,2128,2101,3691,2408,2069
CYC1,0.153865116,6.900192331,46.57325039,8.83E-12,0.002961926,0.004278323,2934,2313,2860,2566,3137,3025,2421
ZNF217,-0.1072701,7.891586331,46.54874886,8.94E-12,0.002290687,0.002559031,6885,5558,4794,5162,6441,4693,4981
FAM91A1,-0.152778433,6.845066153,46.53122644,9.02E-12,0.002985498,0.002577593,3837,2834,2281,2150,3449,2432,1930
CENPT,0.186943464,6.316306113,46.49787853,9.17E-12,0.003124148,0.003466317,2087,1691,1844,1446,2171,2192,1508
SH3BP5-AS1,-0.286747288,5.043387396,46.34569872,9.91E-12,0.00359516,0.003665143,934,994,631,679,810,762,540
PPIP5K1,0.285983549,5.026349788,46.34105764,9.94E-12,0.003611278,0.004698195,866,768,556,515,942,886,759
PGM3,-0.137382754,7.138696899,46.14004885,1.10E-11,0.002839238,0.002518436,4387,3769,2697,2594,3948,3252,2438
TCEAL4,-0.178821589,6.426372017,46.09267954,1.13E-11,0.003105066,0.002532956,2477,2189,1926,1760,2109,1976,1520
HDAC5,-0.224564807,5.72201435,46.03846202,1.16E-11,0.00322821,0.00389659,1495,1725,965,911,1267,1342,888
ZNF655,-0.129380011,7.318246953,45.90724339,1.24E-11,0.002727357,0.002907589,5003,4008,3194,3017,4317,3455,3069
ATP7A,-0.209825096,5.903532439,45.58148124,1.46E-11,0.003188505,0.004005286,1942,1707,1198,1021,1749,1296,934
AGPAT4,-0.143209318,7.009002887,45.51669276,1.51E-11,0.002909953,0.002277235,4001,3459,2593,2317,3484,3161,2089
RNF126,0.180022889,6.413983703,45.3017498,1.69E-11,0.003107374,0.003954222,2151,1481,2027,1870,2118,1996,2039
WDR76,0.190195279,6.167477169,45.10263579,1.87E-11,0.003146679,0.003280644,2049,1499,1364,1347,2323,1817,1362
TMEM109,0.115120561,7.650114583,45.01477082,1.96E-11,0.002486204,0.003059264,5799,3896,4445,3993,5897,4820,3890
MESDC1,0.111034979,7.776059603,44.84901262,2.13E-11,0.002385834,0.002449879,5916,4424,5237,4332,5946,5299,4386
BBX,-0.13618791,7.140990429,44.78077225,2.20E-11,0.002837907,0.002715358,4134,3723,2849,2752,3753,3152,2621
DENND5B,0.138515421,7.125538403,44.7783146,2.21E-11,0.002846821,0.002684117,3633,2805,3037,2884,3681,2992,3452
CERS6,-0.103328751,7.926723821,44.70753169,2.29E-11,0.00226127,0.002916031,7253,6462,4875,4482,6905,5365,4435
BNIP3L,-0.109172477,7.761178029,44.60328355,2.41E-11,0.002397892,0.002538982,6743,5464,4297,4094,6176,4679,4040
CYBRD1,-0.17571351,6.35686603,44.53084678,2.50E-11,0.003117459,0.00280799,2877,2286,1547,1269,2497,1935,1175
BDP1,-0.108741386,7.77348984,44.39004843,2.69E-11,0.00238792,0.002425397,6553,5516,4478,4278,6272,4870,3804
ZNF518A,-0.109022696,7.753931396,44.23877821,2.91E-11,0.002403746,0.002707311,6272,5700,4178,4231,6023,4828,3971
NCOA3,-0.14599459,6.932817833,44.21587759,2.94E-11,0.002947085,0.002557517,3547,3164,2597,2435,3244,2812,2101
FDXR,-0.193624698,6.14845667,44.20129219,2.96E-11,0.00314946,0.002740755,2028,1752,1621,1503,1666,1512,1383
ULK3,0.205083653,5.979487911,44.06123274,3.18E-11,0.003175275,0.003277098,1561,1246,1405,1279,1584,1599,1470
CPEB4,-0.219300826,5.722135997,43.95714874,3.36E-11,0.003228178,0.005561691,1577,1588,1003,969,1519,1131,853
CTDNEP1,0.115220633,7.631169115,43.83989105,3.56E-11,0.002500947,0.002785185,5042,4246,4501,4001,4972,5194,4055
AP4M1,0.265470092,5.186393089,43.65964995,3.91E-11,0.003476411,0.00342494,971,773,731,623,1030,970,808
MBD6,0.152241783,6.769276746,43.55294829,4.13E-11,0.003014705,0.004592503,3121,2335,2107,2012,2918,3167,2108
ANAPC15,0.233996992,5.620320979,43.51628883,4.20E-11,0.003257561,0.002763617,1064,920,1208,1084,1212,1126,1228
DPY19L4,-0.135840985,7.112326641,43.47290517,4.30E-11,0.002854345,0.003357571,4294,3528,3006,2537,3991,2843,2455
NFIB,0.123649132,7.331826159,43.43262342,4.39E-11,0.0027183,0.002237051,5131,3519,2868,2769,5230,3995,3022
GRB10,0.105661209,7.875199554,43.3569711,4.56E-11,0.002304335,0.00205814,5627,5316,5463,4732,5751,6077,4847
CRADD,0.477590019,3.496585591,43.33758066,4.61E-11,0.007241994,0.005936072,264,238,223,172,367,300,259
ABCC5,-0.176538901,6.342900825,43.28426853,4.73E-11,0.003119801,0.002685099,2534,2234,1721,1422,2228,1927,1247
TSPAN6,-0.114593291,7.589714361,43.26494978,4.78E-11,0.002532844,0.003084173,6450,4431,4196,3512,5870,3666,3540
CENPB,0.183760645,6.212159988,43.08166373,5.25E-11,0.003140117,0.003407428,2072,1572,1451,1373,2175,2020,1426
OAT,-0.168885966,6.455673333,43.08109723,5.25E-11,0.003099414,0.004074945,2727,2355,1748,1634,2470,1819,1600
CDC25A,0.128406044,7.315596161,43.06680213,5.29E-11,0.002729116,0.002256103,3936,3054,3841,3480,4230,3332,3730
FAM127A,0.124022235,7.34114574,42.89253625,5.78E-11,0.002712039,0.002414851,4797,3555,3288,2848,4754,4151,3127
PGP,0.169532776,6.51690263,42.86699784,5.86E-11,0.003086613,0.003851378,2105,1825,2262,1958,2245,2369,1932
C11orf48,0.205798714,5.951379647,42.72501814,6.30E-11,0.003180001,0.003482439,1522,1095,1515,1318,1571,1450,1459
SH3BGRL,-0.101872469,7.885651587,42.30949979,7.79E-11,0.002295635,0.003495332,7358,6026,4720,4331,6818,4901,4547
ELF1,-0.265083664,5.123266919,42.288736,7.87E-11,0.003525327,0.004035081,1094,1055,655,615,870,810,591
MDH2,0.108236037,7.74692376,42.20427627,8.22E-11,0.002409395,0.002525667,5862,4203,4744,4479,5728,5078,4659
ATAD3B,0.194133035,6.07131738,42.19417416,8.26E-11,0.003160862,0.003799359,1738,1271,1532,1377,1847,1690,1414
PGM2L1,-0.196437695,6.017061914,42.14938654,8.46E-11,0.003169215,0.003360363,1868,1618,1362,1415,1653,1281,1286
BEX1,-0.468915746,3.651411796,42.05746015,8.86E-11,0.00670839,0.005569124,305,290,368,346,197,238,238
TNPO2,0.100892036,7.931859951,42.028989,8.99E-11,0.002256954,0.002378041,6980,4926,5315,4810,6797,5897,4981
LRP3,0.111609879,7.666774772,41.86602339,9.77E-11,0.002473159,0.002666894,5193,4079,4834,4278,5476,4806,4165
GTF2A1,-0.102738852,7.861687159,41.70257055,1.06E-10,0.002315554,0.002932873,6814,5649,4947,4707,6582,4679,4500
PKN3,0.238746135,5.512026197,41.6748977,1.08E-10,0.003296309,0.005349922,936,780,1130,1100,1001,1152,1135
NBR1,-0.148062959,6.803919535,41.58889368,1.13E-10,0.003001824,0.003509404,3268,2982,2356,2120,2923,2408,2123
HIST1H2BK,-0.372927694,4.094004115,41.51318175,1.17E-10,0.005341575,0.005370459,565,489,274,370,461,332,291
C1orf159,0.256032924,5.250259209,41.49919535,1.18E-10,0.003432091,0.002931044,928,791,856,707,1042,994,825
KLHL24,-0.214931636,5.724801232,41.48768808,1.19E-10,0.003227488,0.007675794,1609,1464,1094,983,1366,1000,1081
MEX3D,0.103947326,7.847787326,41.48295887,1.19E-10,0.002327061,0.004165475,6357,4574,5512,4595,6518,5816,4119
MLST8,0.192443462,6.093475324,41.33029502,1.29E-10,0.003157549,0.0057564,1669,1161,1650,1543,1716,1697,1521
ARPC3,-0.111423083,7.635423561,41.17106821,1.39E-10,0.002497645,0.002094903,5715,4498,4574,4238,5134,4091,3968
M6PR,-0.127887696,7.233629626,41.05569348,1.48E-10,0.002781968,0.002238101,4412,3554,3506,3034,3809,3274,2848
FRS2,-0.132612147,7.07623505,41.03550623,1.49E-10,0.00287443,0.00290336,4223,3380,2591,2644,3803,2831,2578
NT5C,0.245226793,5.377676987,41.00504999,1.52E-10,0.003357591,0.003912601,1010,771,995,842,1087,1065,918
DIXDC1,-0.160126273,6.545798434,40.97472665,1.54E-10,0.003080048,0.002906692,2554,2701,1830,1819,2310,2274,1674
PAFAH2,0.360907081,4.240880265,40.87379632,1.62E-10,0.004956058,0.005821205,449,368,436,343,613,498,358
LGALS1,0.208815039,5.720020759,40.81313113,1.68E-10,0.003228729,0.003672933,1642,1234,903,774,1700,1630,828
MRTO4,0.151970014,6.748503452,40.7722799,1.71E-10,0.003022043,0.002695507,2682,1956,2575,2381,2867,2352,2475
AURKB,0.146378189,6.882323638,40.70561199,1.77E-10,0.002969776,0.003441922,2846,2180,3075,2537,2790,2813,2666
POLRMT,0.199322494,5.951688841,40.59349328,1.87E-10,0.003179948,0.004460645,1570,1171,1480,1254,1680,1598,1249
CEP104,-0.196638995,5.947595977,40.46876054,2.00E-10,0.003180651,0.002638231,2021,1595,1390,1083,1675,1422,944
C11orf84,0.116689985,7.500522085,40.45274327,2.01E-10,0.002599665,0.003096875,4550,3397,4375,4007,4583,4239,3973
TMED9,0.105801665,7.725295206,40.36421267,2.11E-10,0.002426758,0.002896742,6135,4506,4481,3930,5894,5562,4009
C12orf39,0.470537756,3.291029684,40.34744361,2.13E-10,0.00797524,0.007994268,359,181,113,110,460,301,122
TRAPPC10,-0.129193866,7.160536275,40.2521621,2.23E-10,0.002826456,0.002692906,3835,3650,3046,3081,3636,3244,2662
HSF1,0.139451057,6.940534084,40.09377709,2.42E-10,0.002943481,0.003158224,3296,2575,2748,2360,3298,3231,2420
SREBF1,0.234220168,5.45119656,40.04075034,2.49E-10,0.003322072,0.005471367,1011,961,947,843,1028,1389,861
WWC1,0.189043028,6.050459184,39.99643675,2.54E-10,0.003164027,0.004819826,1842,1370,1437,1179,1740,1894,1308
IER3,0.119648694,7.372751205,39.99331885,2.55E-10,0.002690538,0.003257021,5133,2745,3714,3370,4864,3470,3690
CROCC,0.20332455,5.841770573,39.50825304,3.27E-10,0.003200528,0.003158534,1320,1206,1233,1202,1436,1526,1282
RAB8A,0.114502017,7.480393421,39.50247568,3.28E-10,0.002614379,0.002350642,5006,3564,3902,3571,5041,4181,3736
CSAD,0.276431822,4.898443239,39.20446207,3.82E-10,0.003747289,0.003060295,748,717,562,487,890,853,592
DAP,0.103966946,7.736146483,39.14242926,3.94E-10,0.002418061,0.002489827,6240,4295,4560,4112,6017,5142,4357
TMEM50A,-0.11182324,7.545866074,39.11509123,4.00E-10,0.002566016,0.002792363,5086,4726,4157,3813,4692,4005,3753
ALDH18A1,0.109205571,7.59561611,38.89683456,4.47E-10,0.002528334,0.002135976,5509,3787,4253,3874,5547,4290,4161
SRM,0.132065181,7.069319929,38.88967354,4.48E-10,0.002878199,0.003384401,3627,2566,3176,2735,3648,3266,2736
E2F4,0.145714602,6.798782962,38.88863333,4.49E-10,0.003003785,0.002907905,2761,2159,2654,2375,2866,2659,2443
BCOR,-0.106974079,7.681676705,38.87604849,4.52E-10,0.002461427,0.002406842,5030,5191,4678,4541,4798,4577,4178
NBPF10,0.103775319,7.703935344,38.68794448,4.97E-10,0.002443795,0.003139635,6318,4348,4198,3866,6064,5442,3885
GYG2,0.111344558,7.526627908,38.63956141,5.10E-10,0.002580376,0.003350691,5761,3084,4153,3742,5620,3953,3801
GAK,0.129770351,7.081935169,38.53465785,5.38E-10,0.002871304,0.002504518,3692,2915,2928,2560,3682,3446,2770
ZBED5,-0.135585025,6.979312184,38.53009802,5.39E-10,0.002924829,0.003063091,3418,3057,2864,2730,3068,2530,2675
BAZ2B,-0.1150232,7.404590683,38.51084944,5.45E-10,0.002668472,0.002728933,5089,4291,3361,3321,4667,3653,3245
HBP1,-0.195515362,5.869243248,38.45123974,5.61E-10,0.003195019,0.00394074,1736,1652,1121,1123,1543,1275,1070
TEAD4,0.231370353,5.447070387,38.41713946,5.71E-10,0.003323934,0.004286245,1123,668,1034,986,1260,931,1021
CEP170B,0.164257697,6.395121934,38.37679325,5.83E-10,0.003110801,0.004016918,2095,1844,1732,1686,2108,2426,1698
KPTN,-0.34503965,4.312051294,38.36370016,5.87E-10,0.004783386,0.00441154,614,447,499,461,436,401,345
PGAM5,0.151265595,6.671936575,38.35859829,5.89E-10,0.003046685,0.00326756,2623,1847,2462,2197,2713,2346,2245
MED22,0.127899774,7.140691489,38.33382252,5.96E-10,0.00283808,0.003305661,3697,2688,3224,3008,3596,3417,3118
NMU,0.290941053,4.770426591,38.25969915,6.19E-10,0.003912889,0.003229076,660,483,607,569,782,619,665
SELT,-0.152597129,6.612721541,38.14929405,6.55E-10,0.003063371,0.003629591,2936,2528,2283,1778,2585,2043,1797
CNOT8,-0.139175802,6.866906449,38.07896821,6.79E-10,0.002976388,0.003530675,3255,2953,2516,2439,3065,2364,2319
ZFP1,-0.200817735,5.78608075,38.06260313,6.85E-10,0.003212598,0.003799088,1674,1563,1124,1004,1461,1218,962
DOCK4,-0.115027913,7.391510037,38.04881101,6.90E-10,0.002677586,0.002755746,4812,4357,3290,3372,4350,3729,3352
RAVER1,0.105706042,7.674351268,37.8670612,7.57E-10,0.002467201,0.003605972,5241,4014,4716,4432,5200,5113,4229
CSDA,-0.103342176,7.731979562,37.82086605,7.75E-10,0.002421404,0.002408843,6041,5135,4936,4208,5305,4572,4256
HNRNPU-AS1,-0.176659073,6.134036145,37.77288625,7.95E-10,0.00315157,0.00410447,1894,2039,1271,1456,1782,1578,1352
HES4,0.310364104,4.575377001,37.74282757,8.07E-10,0.004230378,0.008210811,633,391,577,450,652,660,491
TBC1D10B,0.137454232,6.895065631,37.69394442,8.28E-10,0.002964198,0.002996664,3128,2556,2669,2285,3163,3154,2338
ELL2,-0.343910209,4.224727458,37.66838669,8.39E-10,0.004996559,0.006261246,657,431,369,418,514,277,376
AP4E1,-0.262336261,5.062728803,37.65327787,8.45E-10,0.003577396,0.003328341,940,780,793,791,774,603,689
DPF1,0.185087875,6.064286213,37.63197478,8.54E-10,0.003161924,0.005939671,1545,1230,1572,1539,1699,1728,1419
GIPC1,0.118964805,7.284124613,37.61576756,8.61E-10,0.002749764,0.00333911,4572,3380,3302,2738,4274,4227,2951
PRTFDC1,-0.161158916,6.443751457,37.48979687,9.19E-10,0.003101748,0.003199414,2526,1942,2075,1934,2367,1642,1633
NT5DC3,0.17905819,6.076342973,37.48967931,9.19E-10,0.003160107,0.0027224,2017,1261,1278,1333,2204,1500,1433
SAC3D1,0.227600543,5.477634378,37.47655716,9.25E-10,0.003310492,0.00568254,1043,818,1083,937,995,1199,1046
NEMF,-0.123171263,7.164131571,37.38646255,9.69E-10,0.002824329,0.002923249,4398,3741,2952,2647,4169,3143,2449
HUS1,0.213558005,5.567340469,37.30663162,1.01E-09,0.003275454,0.002763945,1353,959,905,873,1468,1160,1011
FAM26E,-0.17279764,6.17269983,37.2512908,1.04E-09,0.003145915,0.002635258,2155,2154,1384,1239,1819,1908,1136
POLR3D,0.172289336,6.231341498,37.20656154,1.06E-09,0.003137267,0.003572758,2091,1445,1766,1414,2133,1882,1484
CD320,0.214926099,5.611073202,36.95669938,1.21E-09,0.003260546,0.003966774,1233,943,1198,934,1222,1273,1070
ZNF678,-0.155065712,6.475359621,36.82329384,1.29E-09,0.003095451,0.005251595,2673,2464,1767,1639,2556,1819,1625
PKIG,0.14268792,6.750506205,36.78945573,1.32E-09,0.003021348,0.002774623,2994,2089,2417,2127,3030,2550,2267
DAPK3,0.135963194,6.873637944,36.740732,1.35E-09,0.00297352,0.002980871,3350,2347,2527,2252,3340,2910,2361
MSRB3,0.124446384,7.109056521,36.71800961,1.37E-09,0.002856193,0.002531657,4503,2517,2908,2514,4433,2911,2873
RSF1,-0.109771107,7.489866068,36.6359205,1.42E-09,0.002607472,0.00254365,5226,4543,3922,3471,4828,3931,3345
PRELID1,0.1184175,7.30435073,36.48555803,1.54E-09,0.002736543,0.002268274,4222,3033,3910,3216,4442,3401,3361
ADAMTS1,0.290136044,4.602623171,36.39128669,1.61E-09,0.004181192,0.010768432,871,321,423,451,978,569,422
MEGF6,0.12859318,6.991291122,36.29691871,1.69E-09,0.002918888,0.00381303,3962,2491,2588,2354,3923,3233,2324
RRP7A,0.108122423,7.530533493,36.17944032,1.80E-09,0.002577471,0.002670519,4996,3683,4155,3815,4981,4438,3866
HEATR6,-0.167639962,6.274713029,36.08691809,1.89E-09,0.003130693,0.002757221,2181,1779,1800,1744,1925,1620,1466
DOK6,-0.179173856,5.979771579,36.00840997,1.96E-09,0.003175228,0.003285511,2185,1719,1058,1104,1935,1393,1027
CTR9,-0.11561406,7.306835821,35.89943794,2.08E-09,0.002734906,0.002603972,4722,4012,3438,2987,4307,3473,2889
JHDM1D,-0.235833272,5.228787169,35.83340341,2.15E-09,0.003446437,0.006791608,999,1169,695,760,993,806,658
SSBP2,-0.12497594,7.047956655,35.79880399,2.19E-09,0.002889677,0.003140902,4218,3473,2600,2348,3818,2900,2354
HMGN3,-0.127152776,7.069784004,35.766744,2.22E-09,0.002877946,0.002374243,3633,3131,3226,2924,3272,2777,2708
CHML,-0.110960132,7.401115271,35.75532948,2.24E-09,0.0026709,0.002271968,5350,3931,3403,3379,4748,3549,3252
USP19,0.144944281,6.65802379,35.72320106,2.27E-09,0.003050781,0.003042326,2624,2140,2146,2009,2589,2650,2158
ADRBK1,0.115825708,7.33591044,35.71294716,2.29E-09,0.002715561,0.003653938,4264,3055,3921,3398,4202,3920,3337
MZF1,0.227636081,5.370545114,35.51457224,2.53E-09,0.00336131,0.003588025,982,869,936,800,1031,1155,883
TMTC4,-0.126834041,7.041739189,35.49573409,2.56E-09,0.00289297,0.002304679,3873,3043,2987,2751,3416,2760,2555
ARHGAP23,0.101598348,7.651333016,35.43531398,2.64E-09,0.002485253,0.004063513,6629,3800,4518,3481,6203,5006,3474
PDIA3P,-0.110550858,7.404872541,35.42208393,2.65E-09,0.002668274,0.002463927,5294,4121,3552,3217,4782,3615,3132
EPB41L5,-0.115718877,7.296743361,35.39744631,2.69E-09,0.002741537,0.002501539,4400,3888,3413,3242,3902,3434,3170
ALG3,0.221054728,5.449853265,35.39591485,2.69E-09,0.003322676,0.002940136,1118,857,1016,836,1203,1072,958
ZNF518B,-0.123557725,7.045617567,35.21861238,2.95E-09,0.002890918,0.002972887,4270,3575,2513,2255,3938,3004,2193
DDX60,0.260517165,4.91248171,35.15948522,3.04E-09,0.003731,0.003144525,860,540,562,585,953,650,738
ADCY3,0.152974457,6.472808228,34.84113497,3.58E-09,0.003095973,0.003168249,2462,1750,2023,1707,2508,2194,1787
