Gene,Reads.FMR1.iso1,T-to-C conversions.per.read.FRM1.iso.1,Total.mRNA.binding.sites.FMR1.iso.1,Reads.FMR1.iso.7,T-to-C conversions/read,Total mRNA binding sites,Reads.FXR1,T-to-C conversions/read,Total mRNA binding sites,Reads.FXR2,T-to-C conversions/read,Total mRNA binding sites
AC013461.1,455,0.76,47,142,0.8,16,29,0.97,6,116,1,13
AC015871.2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
AC016757.1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
AC022415.5,8,0.63,1,NA,NA,0,NA,NA,0,NA,NA,0
AC023024.1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
AC024270.1,125,0.85,11,11,0.82,2,NA,NA,0,67,1.13,4
AC026703.1,6,0.67,1,NA,NA,0,NA,NA,0,NA,NA,0
AC040934.1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
AC040977.1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
AC044860.3,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
AC051642.1,13,0.92,2,11,1.36,1,NA,NA,0,NA,NA,0
AC068353.1,NA,NA,0,15,1,3,NA,NA,0,NA,NA,0
AC068775.1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
AC069154.2,NA,NA,0,7,1,1,NA,NA,0,NA,NA,0
AC069214.1,264,0.8,17,114,0.88,8,14,0.79,2,59,1.1,6
AC073610.1,NA,NA,0,16,0.88,2,NA,NA,0,NA,NA,0
AC087465.1,529,0.79,50,198,0.79,20,12,0.75,3,50,1,7
AC091153.1,272,0.74,24,827,0.86,41,NA,NA,0,157,0.93,14
AC091167.2,84,0.9,9,NA,NA,0,10,0.8,2,6,0.83,1
AC091172.1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
AC091565.1,NA,NA,0,5,1.2,1,NA,NA,0,NA,NA,0
AC092171.1,NA,NA,0,NA,NA,0,NA,NA,0,30,0.87,4
AC092329.1,5,0.2,1,NA,NA,0,NA,NA,0,NA,NA,0
AC093158.1,NA,NA,0,5,0.8,1,NA,NA,0,NA,NA,0
AC093510.2,NA,NA,0,9,1.11,1,NA,NA,0,NA,NA,0
AC093799.1,30,0.57,5,24,0.67,4,NA,NA,0,15,1.13,1
AC103810.2,21,0.19,1,NA,NA,0,NA,NA,0,NA,NA,0
AC108463.1,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
AC109315.1,NA,NA,0,NA,NA,0,NA,NA,0,5,1.4,1
AC110285.1,21,0.62,4,163,0.85,17,NA,NA,0,NA,NA,0
AC110491.1,141,0.82,14,39,0.9,4,6,1,2,6,1,1
AC112641.1,NA,NA,0,16,0.94,2,NA,NA,0,NA,NA,0
AC113191.1,1146,0.84,24,303,0.88,18,63,0.87,5,155,0.9,11
AC114772.1,43,0.79,7,6,0.83,1,NA,NA,0,21,1.05,3
AC118344.1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
AC127496.1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
AC135178.1,6,1.17,1,NA,NA,0,NA,NA,0,5,0.8,1
AC135457.1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
AC174470.1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ACAA2,51,0.69,6,13,0.69,2,NA,NA,0,13,1.15,2
ACACA,779,0.85,62,540,0.83,49,43,0.98,1,100,0.91,9
ACACB,NA,NA,0,10,1,2,22,1,1,NA,NA,0
ACAD10,NA,NA,0,6,1,1,NA,NA,0,NA,NA,0
ACAD11,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ACAD8,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ACAD9,NA,NA,0,6,1,1,NA,NA,0,NA,NA,0
ACADS,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ACADVL,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ACAP2,14,0.86,2,36,1.22,4,5,1,2,NA,NA,0
ACAP3,NA,NA,0,23,0.48,3,NA,NA,0,NA,NA,0
ACAT1,6,1,1,NA,NA,0,NA,NA,0,NA,NA,0
ACAT2,7,1,1,NA,NA,0,NA,NA,0,NA,NA,0
ACBD3,NA,NA,0,NA,NA,0,6,1,1,184,0.91,15
ACBD4,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ACBD5,606,0.86,29,120,0.78,12,13,0.92,1,58,1.07,5
ACBD6,9,0.67,1,33,1,1,NA,NA,0,NA,NA,0
ACCN1,NA,NA,0,NA,NA,0,NA,NA,0,6,2,1
ACD,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ACER2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ACER3,5,0.4,1,18,0.5,2,NA,NA,0,NA,NA,0
ACIN1,265,0.78,21,303,0.85,24,5,1.2,1,69,0.94,7
ACLY,661,0.79,45,592,0.79,38,5,1,2,89,0.87,9
ACN9,NA,NA,0,6,0.83,1,NA,NA,0,NA,NA,0
ACO1,5,0.4,1,NA,NA,0,NA,NA,0,NA,NA,0
ACO2,7,0.57,1,29,0.83,3,NA,NA,0,16,1.06,2
ACOT2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ACOT7,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ACOT8,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ACOT9,8,0.75,1,15,0.73,2,NA,NA,0,8,1,1
ACOX1,431,0.72,36,245,0.89,17,17,1,2,110,0.98,7
ACOX3,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ACP1,48,0.63,4,20,0.85,1,NA,NA,0,9,0.78,1
ACP2,6,2,1,85,2,1,NA,NA,0,NA,NA,0
ACP6,NA,NA,0,5,0.8,1,NA,NA,0,NA,NA,0
ACPL2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ACRC,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ACSF3,7,1,1,256,1.24,4,NA,NA,0,NA,NA,0
ACSL1,5,0.4,1,50,0.88,6,NA,NA,0,6,1,1
ACSL3,86,0.72,10,15,0.53,2,6,0.67,2,14,1,2
ACSL4,144,0.72,16,25,1.04,3,NA,NA,0,6,0.67,1
ACSS1,NA,NA,0,29,0.69,4,NA,NA,0,NA,NA,0
ACTA1,5,0.2,1,NA,NA,0,NA,NA,0,NA,NA,0
ACTA2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ACTB,310,0.73,15,256,0.86,9,NA,NA,0,238,1.02,6
ACTBL2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ACTG1,871,0.77,20,673,0.78,20,6,0.83,1,204,0.85,12
ACTL6A,18,0.61,2,19,0.89,2,NA,NA,0,14,1,2
ACTL7A,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ACTN1,23,0.61,4,78,0.79,10,NA,NA,0,42,0.26,2
ACTN4,560,0.82,30,629,0.81,37,10,0.3,1,337,0.92,21
ACTR1A,29,0.76,4,31,0.71,5,NA,NA,0,11,1.09,1
ACTR1B,NA,NA,0,11,0.82,2,NA,NA,0,NA,NA,0
ACTR2,85,0.78,9,20,0.8,3,NA,NA,0,5,0.8,1
ACTR3,108,0.69,10,31,0.87,3,15,1,3,78,1,7
ACTR3B,15,0.53,2,40,0.73,3,NA,NA,0,NA,NA,0
ACTR5,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ACTR6,NA,NA,0,NA,NA,0,NA,NA,0,29,1.1,4
ACTR8,35,0.8,5,31,0.81,5,NA,NA,0,NA,NA,0
ACVR1,NA,NA,0,5,0.8,1,NA,NA,0,NA,NA,0
ACVR1B,78,0.85,8,88,0.92,12,NA,NA,0,5,1.2,1
ACVR2A,5,0.2,1,NA,NA,0,NA,NA,0,NA,NA,0
ACVR2B,288,0.82,19,166,0.84,12,NA,NA,0,54,1.09,1
AD000671.1,1230,0.85,61,2039,0.86,73,6,1,2,599,0.98,29
ADAL,NA,NA,0,5,0.2,1,NA,NA,0,NA,NA,0
ADAM10,24,0.58,4,5,0.6,1,NA,NA,0,18,1.11,2
ADAM11,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ADAM15,6,0.83,1,39,0.64,5,NA,NA,0,NA,NA,0
ADAM17,80,0.84,9,61,0.92,6,NA,NA,0,12,0.75,2
ADAM22,5,0.4,1,NA,NA,0,NA,NA,0,NA,NA,0
ADAM23,NA,NA,0,6,1.5,1,NA,NA,0,NA,NA,0
ADAM28,NA,NA,0,13,2,1,NA,NA,0,NA,NA,0
ADAM9,20,0.5,3,10,0.9,2,NA,NA,0,NA,NA,0
ADAMTS1,925,0.85,51,226,0.85,17,28,1.04,5,54,1.07,7
ADAMTS12,NA,NA,0,51,2,1,NA,NA,0,NA,NA,0
ADAMTS15,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ADAMTS17,NA,NA,0,NA,NA,0,36,0.92,1,NA,NA,0
ADAMTS3,6,0.67,1,NA,NA,0,NA,NA,0,NA,NA,0
ADAMTS8,NA,NA,0,8,2,1,NA,NA,0,NA,NA,0
ADAMTS9,NA,NA,0,17,0.35,2,NA,NA,0,NA,NA,0
ADAMTSL2,6,0.17,1,NA,NA,0,5,0.2,2,NA,NA,0
ADAMTSL3,NA,NA,0,NA,NA,0,NA,NA,0,7,1,1
ADAP1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ADAP2,7,2,1,8,2,1,NA,NA,0,NA,NA,0
ADAR,1689,0.84,75,1109,0.85,55,33,1,6,255,0.91,23
ADARB1,33,0.64,4,69,0.74,9,NA,NA,0,NA,NA,0
ADARB2,NA,NA,0,74,0.96,1,5,0.4,1,NA,NA,0
ADAT1,5,0.4,1,14,1,2,NA,NA,0,NA,NA,0
ADAT2,51,0.8,7,5,0.2,1,NA,NA,0,NA,NA,0
ADAT3,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ADCK1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ADCK2,14,0.93,2,84,0.76,7,NA,NA,0,8,1.13,1
ADCK3,147,0.76,16,239,0.87,17,NA,NA,0,38,1.05,5
ADCK4,NA,NA,0,13,0.85,2,NA,NA,0,NA,NA,0
ADCY1,47,0.68,7,108,0.76,13,NA,NA,0,NA,NA,0
ADCY3,81,0.72,9,133,0.7,14,NA,NA,0,51,1.08,4
ADCY6,55,0.78,7,127,0.72,16,NA,NA,0,30,0.83,4
ADCY7,NA,NA,0,34,0.71,5,NA,NA,0,NA,NA,0
ADCY9,81,0.7,11,365,0.83,31,NA,NA,0,21,0.48,3
ADD1,85,0.74,11,103,0.82,11,10,0.1,1,24,0.88,3
ADD2,6,0.67,1,138,1.55,4,NA,NA,0,9,1.22,1
ADD3,72,0.86,8,42,0.64,6,NA,NA,0,34,0.91,5
ADH5,10,0.6,2,12,0.75,2,NA,NA,0,NA,NA,0
ADI1,NA,NA,0,NA,NA,0,NA,NA,0,9,1.33,1
ADIPOR1,325,0.81,21,196,0.78,14,10,0.7,4,27,0.81,3
ADIPOR2,439,0.74,40,96,0.76,13,NA,NA,0,15,1.27,2
ADK,16,0.56,2,30,0.9,4,NA,NA,0,34,1,2
ADM,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ADNP,3897,0.9,68,897,0.82,41,179,1.05,11,469,0.95,34
ADNP2,711,0.79,55,613,0.85,32,NA,NA,0,193,0.98,16
ADO,413,0.82,28,77,0.7,8,NA,NA,0,11,1.27,2
ADORA2B,13,0.69,2,NA,NA,0,NA,NA,0,NA,NA,0
ADPGK,13,0.85,2,19,0.89,3,NA,NA,0,NA,NA,0
ADPRHL1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ADPRHL2,11,1.18,2,27,0.81,2,NA,NA,0,30,1.13,2
ADRA2C,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ADRB1,NA,NA,0,58,0.93,1,NA,NA,0,NA,NA,0
ADRBK1,44,0.61,6,130,0.72,14,NA,NA,0,31,1,4
ADRBK2,20,0.75,3,29,0.83,3,NA,NA,0,NA,NA,0
ADRM1,37,0.86,3,54,0.7,5,NA,NA,0,23,1,3
ADSL,32,0.66,4,28,0.79,4,NA,NA,0,NA,NA,0
ADSS,78,0.69,9,53,0.64,5,NA,NA,0,10,0.7,1
AEBP2,35,0.8,4,18,0.72,2,NA,NA,0,NA,NA,0
AEN,432,0.84,24,254,0.8,22,NA,NA,0,338,0.97,20
