Gene,Reads.FMR1.iso1,T-to-C conversions.per.read.FRM1.iso.1,Total.mRNA.binding.sites.FMR1.iso.1,Reads.FMR1.iso.7,T-to-C conversions/read,Total mRNA binding sites,Reads.FXR1,T-to-C conversions/read,Total mRNA binding sites,Reads.FXR2,T-to-C conversions/read,Total mRNA binding sites
EDIL3,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
EEA1,41,0.68,6,21,1.14,2,NA,NA,0,45,0.96,6
EED,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
EEF1A1,2327,0.95,17,143,0.73,15,15,0.87,2,253,0.97,17
EEF1A2,NA,NA,0,NA,NA,0,NA,NA,0,8,1,1
EEF1B2,13,0.85,2,10,0.5,1,NA,NA,0,NA,NA,0
EEF1D,5,0.6,1,42,0.86,5,NA,NA,0,NA,NA,0
EEF1E1,44,0.64,4,20,0.75,3,NA,NA,0,8,1,1
EEF1G,43,0.6,4,63,0.84,3,NA,NA,0,NA,NA,0
EEF2,4067,0.78,36,4441,0.85,44,153,0.88,18,2446,0.98,53
EEF2K,7,0.71,1,28,0.75,3,NA,NA,0,NA,NA,0
EEFSEC,NA,NA,0,5,1,1,NA,NA,0,5,1.2,1
EEPD1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
EFCAB4A,NA,NA,0,107,1.48,1,46,0.85,1,NA,NA,0
EFCAB5,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
EFCAB7,5,0.2,1,7,1,1,NA,NA,0,NA,NA,0
EFHA1,NA,NA,0,NA,NA,0,NA,NA,0,49,1.04,4
EFHA2,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
EFHC1,18,0.72,2,NA,NA,0,NA,NA,0,5,1.2,1
EFHD2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
EFNA5,13,0.92,2,29,0.79,5,NA,NA,0,NA,NA,0
EFNB1,NA,NA,0,10,0.6,2,NA,NA,0,NA,NA,0
EFNB2,409,0.78,35,248,0.82,20,NA,NA,0,134,0.98,10
EFNB3,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
EFR3A,19,0.42,3,11,0.91,2,NA,NA,0,20,0.8,3
EFR3B,NA,NA,0,14,0.86,2,NA,NA,0,NA,NA,0
EFTUD1,21,0.86,3,NA,NA,0,NA,NA,0,13,1.08,2
EFTUD2,451,0.8,33,438,0.82,29,NA,NA,0,102,1.21,5
EGFLAM,NA,NA,0,5,0.8,1,NA,NA,0,NA,NA,0
EGFR,5,0.6,1,NA,NA,0,NA,NA,0,NA,NA,0
EGLN1,1164,0.88,43,300,0.87,20,NA,NA,0,192,1.01,16
EGLN2,28,0.82,3,166,0.86,16,NA,NA,0,136,1.09,5
EGLN3,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
EGR1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
EGR3,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
EHBP1,154,0.77,20,108,0.68,14,7,0.71,2,47,1.19,5
EHBP1L1,5,0.2,1,NA,NA,0,NA,NA,0,NA,NA,0
EHD1,NA,NA,0,9,1,1,NA,NA,0,NA,NA,0
EHD3,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
EHD4,NA,NA,0,12,1,2,7,1,2,13,0.92,1
EHHADH,NA,NA,0,12,0.92,2,NA,NA,0,7,0.43,1
EHMT1,168,0.78,18,403,0.77,36,NA,NA,0,60,1.05,7
EHMT2,67,0.67,9,300,0.81,21,5,0.6,1,22,0.91,2
EI24,43,0.72,5,42,0.69,4,NA,NA,0,17,0.88,2
EID1,413,0.9,17,23,0.61,3,11,0.91,2,30,0.77,3
EID2,17,0.88,2,19,0.89,2,NA,NA,0,NA,NA,0
EIF1,52,0.75,4,34,0.71,5,NA,NA,0,19,0.26,2
EIF1AD,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
EIF1AX,910,0.93,21,101,0.79,8,92,1.11,8,282,1.06,15
EIF2A,45,0.67,7,22,0.86,2,5,1,1,39,0.97,2
EIF2AK1,39,0.77,6,40,0.75,5,NA,NA,0,NA,NA,0
EIF2AK2,136,0.77,11,32,0.63,5,NA,NA,0,27,1.04,5
EIF2AK3,23,1,3,8,0.75,1,NA,NA,0,13,0.92,2
EIF2AK4,178,0.64,23,224,0.77,20,NA,NA,0,NA,NA,0
EIF2B1,NA,NA,0,NA,NA,0,NA,NA,0,6,1,1
EIF2B2,NA,NA,0,NA,NA,0,NA,NA,0,5,0.8,1
EIF2B3,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
EIF2B4,NA,NA,0,7,1,1,NA,NA,0,23,1.26,1
EIF2B5,38,0.74,4,54,0.8,8,NA,NA,0,NA,NA,0
EIF2C1,254,0.81,22,295,0.78,33,NA,NA,0,12,1,2
EIF2C2,2161,0.89,37,718,0.84,36,13,1,2,127,1.02,11
EIF2C3,66,0.64,8,19,0.58,3,NA,NA,0,6,0.67,1
EIF2C4,158,0.72,18,46,0.89,6,NA,NA,0,11,0.73,2
EIF2D,12,0.5,2,24,0.71,4,NA,NA,0,NA,NA,0
EIF2S1,144,0.8,17,5,1,1,22,0.95,4,9,0.89,1
EIF2S2,215,0.81,17,29,0.79,2,NA,NA,0,24,0.92,3
EIF2S3,168,0.86,14,28,0.79,3,26,0.81,2,47,1.02,5
EIF3A,2701,0.87,61,1496,0.86,39,115,0.93,11,546,0.92,27
EIF3B,997,0.84,37,787,0.82,37,NA,NA,0,156,0.96,16
EIF3C,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
EIF3D,348,0.81,22,196,0.85,17,32,1.13,4,156,0.96,10
EIF3E,112,0.79,8,28,0.86,3,NA,NA,0,15,0.8,2
EIF3F,38,0.66,5,6,0.83,1,NA,NA,0,16,0.75,2
EIF3G,22,0.55,3,50,0.66,5,NA,NA,0,NA,NA,0
EIF3H,NA,NA,0,14,0.43,2,NA,NA,0,NA,NA,0
EIF3I,123,0.77,9,41,0.68,4,NA,NA,0,34,0.85,4
EIF3J,113,0.88,10,11,0.82,2,8,1.13,1,33,1.09,3
EIF3K,NA,NA,0,15,0.53,2,NA,NA,0,NA,NA,0
EIF3L,64,0.58,7,58,0.81,7,NA,NA,0,29,0.97,3
EIF3M,76,0.72,9,18,0.61,2,NA,NA,0,NA,NA,0
EIF4A1,457,0.87,16,473,0.84,13,14,0.93,2,213,0.96,9
EIF4A2,715,0.87,19,166,0.76,11,18,1,1,111,0.88,5
EIF4A3,134,0.81,12,76,0.66,6,NA,NA,0,22,0.64,4
EIF4B,127,0.8,10,32,0.63,4,NA,NA,0,6,1,1
EIF4E,7,0.43,1,NA,NA,0,NA,NA,0,NA,NA,0
EIF4E2,6,0.17,1,8,0.88,1,NA,NA,0,6,1.33,1
EIF4E3,14,0.64,2,NA,NA,0,NA,NA,0,NA,NA,0
EIF4EBP1,6,0.33,1,9,0.89,1,NA,NA,0,NA,NA,0
EIF4EBP2,1616,0.82,72,535,0.8,32,64,1.11,10,107,0.99,11
EIF4EBP3,NA,NA,0,9,0.56,1,NA,NA,0,NA,NA,0
EIF4ENIF1,39,0.69,5,60,0.75,8,NA,NA,0,6,1,1
EIF4G1,4298,0.88,66,4287,0.89,74,33,0.97,7,586,0.92,40
EIF4G2,1994,0.89,48,891,0.89,37,413,1,21,1602,1.04,36
EIF4G3,747,0.85,45,623,0.84,39,13,0.85,3,155,0.95,15
EIF4H,40,0.83,4,21,0.62,3,NA,NA,0,NA,NA,0
EIF5,1661,0.89,51,200,0.77,20,192,1.12,9,594,1.06,19
EIF5A,19,0.42,2,25,0.68,4,NA,NA,0,NA,NA,0
EIF5A2,10,0.7,2,NA,NA,0,NA,NA,0,NA,NA,0
EIF5B,227,0.82,21,87,0.83,9,11,0.64,2,56,0.93,7
EIF6,13,0.23,2,19,0.89,2,NA,NA,0,11,0.82,2
ELAC1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ELAC2,NA,NA,0,18,0.67,3,NA,NA,0,NA,NA,0
ELAVL1,324,0.74,30,123,0.72,13,NA,NA,0,54,0.91,6
ELAVL2,185,0.86,17,NA,NA,0,NA,NA,0,10,1.4,1
ELF1,116,0.72,15,22,0.95,3,5,1.4,2,99,0.99,9
ELF2,132,0.73,18,NA,NA,0,NA,NA,0,14,1.07,2
ELF4,82,0.77,11,92,0.82,10,NA,NA,0,35,1.03,3
ELK1,63,0.73,7,53,0.75,7,NA,NA,0,11,1,2
ELK3,38,0.82,4,5,0.8,1,NA,NA,0,NA,NA,0
ELK4,1627,0.8,106,237,0.82,14,37,1.08,9,23,1.26,3
ELL,NA,NA,0,26,0.46,4,NA,NA,0,12,0.25,2
ELL2,123,0.8,14,6,0.67,1,NA,NA,0,22,0.77,3
ELL3,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ELMO2,115,0.78,16,39,1.03,6,NA,NA,0,6,0.83,1
ELMOD2,332,0.81,28,109,0.8,9,NA,NA,0,6,1.17,1
ELMOD3,NA,NA,0,6,0.83,1,NA,NA,0,NA,NA,0
ELOF1,NA,NA,0,13,1,2,NA,NA,0,NA,NA,0
ELOVL1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ELOVL4,97,0.84,8,10,0.6,2,18,0.89,3,21,1.1,2
ELOVL5,133,0.61,15,8,1,1,10,0.8,3,NA,NA,0
ELOVL6,225,0.75,22,21,0.9,3,16,0.75,1,5,0.8,1
ELOVL7,66,0.88,8,NA,NA,0,NA,NA,0,NA,NA,0
ELP2,56,0.71,7,11,0.91,2,NA,NA,0,6,0.5,1
ELP3,100,0.8,13,23,0.74,4,8,1.25,2,64,1,6
ELP4,6,0.33,1,NA,NA,0,NA,NA,0,NA,NA,0
EMB,5,0.8,1,9,1,1,NA,NA,0,NA,NA,0
EMCN,NA,NA,0,13,2,1,NA,NA,0,NA,NA,0
EMD,8,0.75,1,NA,NA,0,NA,NA,0,17,0.65,2
EME1,NA,NA,0,29,0.79,2,NA,NA,0,5,1,1
EME2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
EMILIN1,17,1.12,1,NA,NA,0,NA,NA,0,NA,NA,0
EMILIN2,6,1.17,1,NA,NA,0,NA,NA,0,NA,NA,0
EMILIN3,NA,NA,0,5,0.4,1,NA,NA,0,NA,NA,0
EML1,24,0.88,4,71,1,9,NA,NA,0,5,0.2,1
EML2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
EML3,9,0.22,1,23,1,2,NA,NA,0,NA,NA,0
EML4,352,0.77,32,162,0.78,16,23,0.96,2,59,1.07,8
EML5,38,0.66,6,50,0.88,6,NA,NA,0,NA,NA,0
EMP1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
EMP2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
EMR3,17,0.88,1,NA,NA,0,NA,NA,0,18,1.11,1
EN2,23,0.91,3,39,0.67,3,NA,NA,0,13,0.85,1
ENAH,5,0.8,1,11,0.64,1,19,1,4,264,0.98,16
ENC1,225,0.73,27,45,0.84,6,NA,NA,0,NA,NA,0
ENDOD1,103,0.82,12,29,0.79,4,NA,NA,0,NA,NA,0
ENDOG,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ENDOV,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ENGASE,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ENO1,451,0.76,20,591,0.84,19,NA,NA,0,362,1.03,16
ENO2,10,0.7,1,NA,NA,0,NA,NA,0,NA,NA,0
ENOPH1,NA,NA,0,NA,NA,0,NA,NA,0,6,0.83,1
ENOX1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ENOX2,NA,NA,0,47,1.17,4,NA,NA,0,NA,NA,0
ENPP4,67,0.72,10,NA,NA,0,12,0.92,2,NA,NA,0
ENPP5,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ENSA,68,0.69,7,36,0.72,5,NA,NA,0,7,0.86,1
ENTPD1,NA,NA,0,20,1,1,8,1,1,NA,NA,0
ENTPD4,563,0.79,40,208,0.81,18,5,1,1,36,0.97,4
ENTPD6,10,0.7,2,27,0.63,4,NA,NA,0,NA,NA,0
ENTPD7,448,0.78,36,129,0.77,16,NA,NA,0,47,1.15,6
EP300,1932,0.88,85,2117,0.86,90,67,0.85,8,457,0.93,33
EP400,693,0.76,57,495,0.79,41,NA,NA,0,31,1,5
EPAS1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
EPB41,249,0.76,26,188,0.68,20,NA,NA,0,33,0.94,5
EPB41L1,29,0.76,4,8,1,1,NA,NA,0,NA,NA,0
EPB41L2,80,0.61,10,132,0.78,10,NA,NA,0,NA,NA,0
EPB41L3,56,0.7,8,50,0.86,7,NA,NA,0,NA,NA,0
EPB41L5,6,1.17,1,47,0.83,7,NA,NA,0,NA,NA,0
EPB49,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
EPC1,70,0.81,9,129,0.91,11,NA,NA,0,95,1.15,5
EPC2,62,0.71,8,13,0.69,2,15,0.73,3,41,0.8,4
EPCAM,NA,NA,0,6,0.33,1,NA,NA,0,NA,NA,0
EPDR1,14,0.79,1,NA,NA,0,NA,NA,0,NA,NA,0
EPG5,12,0.83,2,23,0.65,4,NA,NA,0,NA,NA,0
EPHA10,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
EPHA2,37,0.81,5,86,0.73,11,NA,NA,0,NA,NA,0
EPHA3,NA,NA,0,14,0.57,2,NA,NA,0,NA,NA,0
EPHA4,6,0.5,1,12,0.42,2,NA,NA,0,NA,NA,0
EPHA5,20,0.75,4,NA,NA,0,NA,NA,0,NA,NA,0
EPHA6,17,0.59,3,6,1,1,NA,NA,0,5,1,1
EPHA7,527,0.82,48,157,0.73,16,NA,NA,0,6,1,1
EPHB1,10,0.2,1,NA,NA,0,NA,NA,0,NA,NA,0
EPHB2,NA,NA,0,10,1,2,NA,NA,0,7,1,1
EPHB4,93,0.75,9,123,0.9,13,NA,NA,0,16,1.06,3
EPHX1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
EPM2A,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
EPM2AIP1,105,0.74,13,32,0.94,5,7,1,1,14,1,2
EPN1,36,0.81,4,41,0.73,3,NA,NA,0,17,0.94,1
EPN2,36,0.61,5,44,0.82,7,NA,NA,0,9,1.11,1
EPPK1,606,0.79,41,1052,0.83,62,NA,NA,0,41,0.93,6
EPRS,1208,0.84,62,200,0.73,17,128,1.07,10,272,0.98,11
EPS15,65,0.8,6,74,0.64,6,NA,NA,0,6,0.67,1
EPS15L1,51,0.75,7,44,0.64,7,NA,NA,0,NA,NA,0
EPS8,54,0.74,7,34,1.09,4,8,1.25,2,5,1.2,1
EPS8L2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
EPT1,1219,0.88,71,244,0.76,19,20,0.85,4,47,0.91,8
ERAL1,5,0.4,1,19,0.58,3,NA,NA,0,NA,NA,0
ERBB2,29,0.97,2,195,0.81,13,NA,NA,0,NA,NA,0
ERBB2IP,818,0.82,51,220,0.74,19,16,1.06,5,121,0.9,17
ERBB3,NA,NA,0,NA,NA,0,NA,NA,0,10,1,1
ERBB4,26,1.04,3,30,1.33,6,NA,NA,0,8,0.38,1
ERC1,8165,0.95,115,378,0.83,35,1087,1.07,48,7464,1.13,76
ERCC1,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
ERCC2,NA,NA,0,26,0.73,4,NA,NA,0,NA,NA,0
ERCC3,208,0.83,16,116,0.74,11,NA,NA,0,23,1,3
ERCC4,55,0.69,6,34,0.74,5,5,1.2,2,24,1.04,4
ERCC5,124,0.77,14,65,0.8,8,NA,NA,0,10,1,2
ERCC6,51,0.67,8,44,0.98,7,NA,NA,0,8,0.88,1
ERCC6L,575,0.82,34,56,0.71,6,40,0.9,6,108,1.14,11
ERCC8,40,0.65,5,10,1.1,2,NA,NA,0,NA,NA,0
ERF,15,0.67,3,70,0.9,8,NA,NA,0,10,0.7,2
ERG,NA,NA,0,13,1.31,1,NA,NA,0,NA,NA,0
ERGIC1,5,0.6,1,NA,NA,0,NA,NA,0,NA,NA,0
ERGIC2,150,0.75,17,6,1,1,10,1.1,3,27,0.93,3
ERGIC3,NA,NA,0,7,1,1,NA,NA,0,NA,NA,0
ERH,12,0.5,2,10,0.8,2,NA,NA,0,NA,NA,0
ERI1,294,0.79,25,36,0.89,5,9,1.22,2,94,1.18,10
ERI2,344,0.77,27,88,0.75,11,111,1.02,11,193,1.05,14
ERI3,15,0.4,2,13,0.54,2,NA,NA,0,NA,NA,0
ERICH1,27,0.7,4,39,0.97,7,NA,NA,0,18,0.89,3
ERLEC1,6,0.83,1,NA,NA,0,NA,NA,0,NA,NA,0
ERLIN1,135,0.74,14,6,1,1,NA,NA,0,NA,NA,0
ERLIN2,158,0.8,14,35,0.74,5,8,1.13,2,6,1.17,1
ERMP1,18,0.61,3,12,1,2,NA,NA,0,5,1.2,1
ERN1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ERN2,10,2,1,202,1.99,1,NA,NA,0,NA,NA,0
ERO1L,29,0.59,4,NA,NA,0,NA,NA,0,NA,NA,0
ERO1LB,NA,NA,0,5,0.4,1,NA,NA,0,NA,NA,0
ERP29,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ERP44,22,0.64,4,5,1,1,NA,NA,0,6,1.5,1
ERRFI1,64,0.78,7,13,0.85,2,6,1.33,1,9,1.11,1
ESCO1,5,1.2,1,5,0.8,1,NA,NA,0,NA,NA,0
ESCO2,76,0.75,9,NA,NA,0,NA,NA,0,22,0.55,3
ESD,NA,NA,0,11,1.27,2,5,1.2,2,NA,NA,0
ESF1,157,0.71,14,10,0.9,2,NA,NA,0,12,0.75,2
ESPL1,509,0.77,48,724,0.81,54,NA,NA,0,105,0.85,14
ESR1,19,1.11,1,26,1.15,1,NA,NA,0,NA,NA,0
ESR2,6,2,1,6,2,1,NA,NA,0,NA,NA,0
ESRP2,NA,NA,0,14,0.36,2,NA,NA,0,NA,NA,0
ESRRA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ESRRB,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
ESRRG,NA,NA,0,6,2,1,NA,NA,0,NA,NA,0
ESYT1,100,0.8,12,266,0.79,22,NA,NA,0,12,1.17,1
ESYT2,565,0.8,42,256,0.8,20,NA,NA,0,38,1,6
ETAA1,55,0.71,7,5,0.8,1,NA,NA,0,6,1.33,1
ETF1,549,0.79,38,153,0.75,13,40,0.9,5,120,0.95,8
ETFA,32,0.53,5,28,0.54,4,NA,NA,0,29,1,2
ETFB,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ETFDH,7,1.14,1,NA,NA,0,NA,NA,0,NA,NA,0
ETHE1,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
ETNK1,100,0.84,10,39,0.64,5,5,0.8,1,29,1.03,3
ETNK2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ETS1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ETS2,103,0.71,11,86,0.9,6,NA,NA,0,NA,NA,0
ETV3,1166,0.88,50,287,0.85,19,80,1.06,11,199,1.06,17
ETV4,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ETV5,226,0.89,16,188,0.82,16,42,1,4,73,1.04,6
ETV6,7,0.86,1,5,2,1,NA,NA,0,NA,NA,0
EVC,7,0.43,1,34,0.85,6,NA,NA,0,NA,NA,0
EVI5,341,0.76,34,34,0.71,5,6,1,2,37,0.92,4
EVI5L,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
EVL,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
EWSR1,235,0.79,12,148,0.81,15,NA,NA,0,65,0.95,5
EXD2,201,0.76,18,60,0.83,8,NA,NA,0,14,0.86,2
EXD3,NA,NA,0,10,0.6,2,NA,NA,0,NA,NA,0
EXO1,1215,0.87,41,412,0.83,24,73,0.89,7,194,0.9,11
EXOC1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
EXOC2,48,0.85,7,53,0.83,6,NA,NA,0,5,0.6,1
EXOC3,10,0.5,2,50,0.66,7,NA,NA,0,11,1,2
EXOC4,42,0.62,6,43,0.7,7,20,0.7,1,22,1.09,3
EXOC5,318,0.75,33,13,0.62,2,5,0.8,1,46,1.07,6
EXOC6,22,0.59,2,NA,NA,0,NA,NA,0,5,0.4,1
EXOC6B,21,0.9,3,NA,NA,0,NA,NA,0,NA,NA,0
EXOC7,40,0.73,6,144,0.82,14,NA,NA,0,26,0.96,3
EXOC8,701,0.81,52,127,0.72,12,52,0.88,9,111,1.06,10
EXOG,28,0.93,4,37,0.62,6,NA,NA,0,10,1.2,1
EXOSC1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
EXOSC10,120,0.68,14,143,0.84,10,5,0.8,1,88,0.94,10
EXOSC2,311,0.76,24,40,0.95,6,NA,NA,0,33,1,5
EXOSC3,29,0.86,4,NA,NA,0,NA,NA,0,9,1.11,1
EXOSC4,NA,NA,0,5,0.6,1,NA,NA,0,5,1,1
EXOSC5,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
EXOSC6,23,0.83,3,45,0.69,5,NA,NA,0,5,0.6,1
EXOSC7,NA,NA,0,16,1,3,NA,NA,0,NA,NA,0
EXOSC8,12,0.83,1,9,1,1,NA,NA,0,5,1,1
EXOSC9,NA,NA,0,13,1.15,2,NA,NA,0,NA,NA,0
EXPH5,866,0.8,71,130,0.75,14,12,1.08,2,33,0.82,5
EXT1,87,0.8,8,169,0.74,17,NA,NA,0,NA,NA,0
EXT2,37,0.65,5,7,0.71,1,NA,NA,0,NA,NA,0
EXTL2,17,0.65,2,NA,NA,0,NA,NA,0,NA,NA,0
EXTL3,1524,0.84,74,1301,0.85,68,16,1,3,381,1.03,23
EYA1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
EYA2,7,0.57,1,21,1,2,NA,NA,0,NA,NA,0
EYA3,65,0.8,8,26,0.62,4,NA,NA,0,NA,NA,0
EYA4,112,0.79,13,14,0.86,2,NA,NA,0,19,1.11,3
EYS,NA,NA,0,55,1.35,6,NA,NA,0,NA,NA,0
EZH1,NA,NA,0,10,0.5,2,NA,NA,0,NA,NA,0
EZH2,30,0.87,2,25,0.76,4,NA,NA,0,5,0.6,1
EZR,132,0.8,11,91,0.77,9,5,0.8,2,67,1.01,8
F11R,33,0.7,5,NA,NA,0,NA,NA,0,NA,NA,0
F12,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
F2R,28,0.86,4,NA,NA,0,NA,NA,0,NA,NA,0
F2RL1,110,0.74,12,18,1,2,NA,NA,0,NA,NA,0
F3,NA,NA,0,NA,NA,0,NA,NA,0,5,1.6,1
FAAH,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
FADD,NA,NA,0,10,1,2,NA,NA,0,NA,NA,0
FADS1,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
FADS2,NA,NA,0,5,0.4,1,NA,NA,0,NA,NA,0
FAF1,217,0.84,17,55,0.82,5,NA,NA,0,32,0.81,5
FAF2,507,0.8,39,94,0.73,12,25,1.04,2,45,0.98,6
FAHD1,NA,NA,0,NA,NA,0,NA,NA,0,7,0.86,1
FAM100A,NA,NA,0,22,0.95,2,NA,NA,0,NA,NA,0
FAM100B,NA,NA,0,21,0.95,3,NA,NA,0,NA,NA,0
FAM101B,174,0.89,12,79,0.86,5,NA,NA,0,18,0.94,3
FAM102A,NA,NA,0,6,0.83,1,NA,NA,0,NA,NA,0
FAM102B,719,0.84,56,61,0.66,8,25,1.2,5,40,1.25,4
FAM104A,73,0.82,9,5,1,1,NA,NA,0,6,1,1
FAM105A,5,1.2,1,NA,NA,0,NA,NA,0,NA,NA,0
FAM105B,937,0.79,68,382,0.8,30,10,0.9,2,87,1.03,8
FAM107B,450,0.86,27,28,0.64,4,21,1,4,7,1,1
FAM108B1,110,0.76,11,34,0.71,5,18,1.33,3,40,1,4
FAM108C1,75,0.64,11,15,0.67,2,NA,NA,0,12,0.75,2
FAM109A,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
FAM110B,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
FAM111A,47,0.7,5,6,0.5,1,NA,NA,0,5,1.2,1
FAM111B,224,0.83,16,38,0.97,5,36,0.89,5,126,0.88,7
FAM113A,12,0.67,2,43,0.88,6,NA,NA,0,NA,NA,0
FAM114A2,7,0.43,1,5,1,1,NA,NA,0,5,1,1
FAM115A,77,0.87,6,34,0.82,3,NA,NA,0,NA,NA,0
FAM116A,246,0.74,24,57,0.84,7,NA,NA,0,39,0.97,6
FAM117A,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
FAM117B,444,0.82,35,56,0.79,6,NA,NA,0,19,0.89,3
FAM118A,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
FAM118B,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
FAM120A,310,0.76,30,281,0.72,22,17,1.06,2,99,0.93,11
FAM120AOS,NA,NA,0,7,0.86,1,NA,NA,0,NA,NA,0
FAM120B,87,0.71,12,104,0.84,13,8,1,1,7,1.29,1
FAM120C,462,0.77,33,224,0.78,18,15,1.2,3,51,1.02,8
FAM122A,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
FAM122B,1084,0.85,45,107,0.75,11,61,0.72,8,164,1.01,9
FAM123B,41,0.59,7,45,0.78,7,NA,NA,0,NA,NA,0
FAM125A,NA,NA,0,6,1.33,1,NA,NA,0,NA,NA,0
FAM125B,NA,NA,0,19,0.68,3,NA,NA,0,NA,NA,0
FAM126A,389,0.8,34,123,0.85,8,5,1.4,1,48,0.9,8
FAM126B,125,0.7,12,78,0.88,6,NA,NA,0,33,1.15,5
FAM127A,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
FAM127B,NA,NA,0,5,0.4,1,NA,NA,0,NA,NA,0
FAM127C,NA,NA,0,5,1.2,1,NA,NA,0,NA,NA,0
FAM129A,26,0.42,4,33,0.7,5,23,1,5,11,0.82,2
FAM129B,48,0.69,5,82,0.8,8,NA,NA,0,6,1,1
FAM131A,NA,NA,0,14,0.93,2,NA,NA,0,NA,NA,0
FAM131B,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
FAM132A,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
FAM134A,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
FAM134B,92,0.73,14,31,1.03,4,NA,NA,0,6,0.67,1
FAM134C,237,0.84,16,123,0.85,14,NA,NA,0,62,0.97,7
FAM135A,193,0.77,19,60,0.93,6,11,1.09,2,61,1.1,7
FAM135B,NA,NA,0,NA,NA,0,7,0.14,2,NA,NA,0
FAM136A,145,0.88,12,19,0.74,2,NA,NA,0,7,1.14,1
FAM13A,24,1,4,NA,NA,0,NA,NA,0,NA,NA,0
FAM13B,5,0.6,1,7,0.71,1,NA,NA,0,NA,NA,0
FAM149B1,7,0.57,1,NA,NA,0,NA,NA,0,NA,NA,0
FAM151B,NA,NA,0,9,1,1,NA,NA,0,NA,NA,0
FAM154B,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
FAM155B,10,0.9,2,14,0.86,2,NA,NA,0,NA,NA,0
FAM156A,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
FAM158A,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
FAM160A1,NA,NA,0,60,0.68,8,NA,NA,0,NA,NA,0
FAM160A2,34,0.79,4,36,0.89,5,NA,NA,0,7,0.71,1
