Gene symbol,mean(ASD) - mean(CTRL),p-value,q-value,Neurogenesis,SFARI
ARPC1A,-0.461291962,4.55E-04,0.011216144,FALSE,FALSE
ASB9,-0.369438103,3.48E-03,0.030549031,FALSE,FALSE
ASH2L,-0.351236582,7.71E-03,0.045972121,FALSE,FALSE
ASNS,0.341766172,5.66E-03,0.039073863,FALSE,FALSE
ASPSCR1,0.358220304,3.55E-03,0.030816587,FALSE,FALSE
ASTE1,-0.395989399,2.70E-03,0.026700693,FALSE,FALSE
ATAD2,-0.350331807,7.95E-03,0.046723537,FALSE,FALSE
ATG16L1,0.334483703,8.82E-03,0.049390277,FALSE,FALSE
ATG5,0.462532774,4.41E-04,0.011074562,FALSE,FALSE
ATG9A,0.28833455,6.71E-03,0.042514107,FALSE,FALSE
ATP13A1,0.440846239,8.90E-04,0.015553319,FALSE,FALSE
ATP1B1,-0.381864356,3.81E-03,0.031662186,FALSE,FALSE
ATP4B,0.344518359,4.77E-03,0.035893743,FALSE,FALSE
ATP5A1,-0.361073857,4.20E-03,0.033325692,FALSE,FALSE
ATP5B,-0.504527857,1.26E-04,0.006051301,FALSE,FALSE
ATP5G3,-0.359352676,6.45E-03,0.04161124,FALSE,FALSE
ATP5I,-0.324892293,1.08E-03,0.016942157,FALSE,FALSE
ATP5O,-0.387959113,3.21E-03,0.029271784,FALSE,FALSE
ATP6AP1,0.542822174,3.47E-05,0.003171732,FALSE,FALSE
ATP6AP2,-0.412879531,1.71E-03,0.021622932,FALSE,FALSE
ATP6V1A,-0.546230622,3.08E-05,0.002965451,FALSE,FALSE
ATP6V1E2,-0.411051965,1.81E-03,0.022242575,FALSE,FALSE
ATP9B,0.385820083,3.45E-03,0.030337475,FALSE,FALSE
ATPBD1B,0.437946263,8.79E-04,0.015482985,FALSE,FALSE
ATXN2L,0.371511231,3.35E-03,0.029984938,FALSE,FALSE
ATXN3,0.387932271,1.46E-03,0.019764882,FALSE,FALSE
B4GALT1,0.424193591,1.28E-03,0.018172789,FALSE,FALSE
B4GALT2,0.285695809,6.21E-03,0.040854384,FALSE,FALSE
B4GALT5,-0.408695147,1.95E-03,0.023330323,FALSE,FALSE
BAIAP2L2,0.404339397,2.18E-03,0.024521457,FALSE,FALSE
BANF1,-0.365696123,5.57E-03,0.038873421,FALSE,FALSE
BBOX1,-0.402903732,2.24E-03,0.025054998,FALSE,FALSE
BCAS4,0.29985282,5.41E-03,0.038462709,FALSE,FALSE
BCDIN3,0.467110485,3.88E-04,0.01066275,FALSE,FALSE
BECN1,-0.409197814,1.90E-03,0.022854802,FALSE,FALSE
BHLHB5,-0.509363108,1.08E-04,0.005750206,FALSE,FALSE
BIN3,0.365193504,5.64E-03,0.039051173,FALSE,FALSE
BLK,0.384364571,3.55E-03,0.030842111,FALSE,FALSE
BLR1,0.330873573,3.45E-03,0.030337475,FALSE,FALSE
BLVRA,-0.529683386,5.55E-05,0.004162345,FALSE,FALSE
BLZF1,0.490384934,1.93E-04,0.007321619,FALSE,FALSE
BMP7,-0.35034025,7.97E-03,0.046748568,FALSE,FALSE
BMP8B,0.553701386,2.63E-05,0.002845942,FALSE,FALSE
BNC1,0.43169643,3.83E-04,0.010621968,FALSE,FALSE
BNIPL,0.330650408,1.63E-03,0.021018469,FALSE,FALSE
BPY2IP1,0.398260966,2.51E-03,0.026167033,FALSE,FALSE
BRD7,-0.356807242,6.84E-03,0.043069376,FALSE,FALSE
BRMS1L,-0.387972813,3.30E-03,0.029772448,FALSE,FALSE
BRPF1,0.376227995,3.97E-03,0.032426546,FALSE,FALSE
BTBD10,-0.366667748,5.44E-03,0.038590147,FALSE,FALSE
BTBD14B,0.396838872,2.61E-03,0.02637313,FALSE,FALSE
BXDC1,0.392845351,2.90E-03,0.027728136,FALSE,FALSE
BZW1,0.361737731,6.14E-03,0.040678886,FALSE,FALSE
C10orf58,0.436970627,8.94E-04,0.015605863,FALSE,FALSE
C10orf67,-0.411185496,1.83E-03,0.022388565,FALSE,FALSE
C10orf68,0.398331486,2.55E-03,0.026249026,FALSE,FALSE
C10orf9,0.317024637,4.96E-03,0.036697366,FALSE,FALSE
C10orf97,0.345404135,8.84E-03,0.049405709,FALSE,FALSE
C11orf38,0.445044108,7.48E-04,0.01422928,FALSE,FALSE
C11orf63,0.418047993,5.52E-04,0.012185875,FALSE,FALSE
C14orf102,0.362601686,7.04E-03,0.043580547,FALSE,FALSE
C14orf106,0.46696663,3.91E-04,0.010698098,FALSE,FALSE
C14orf112,-0.409586503,1.87E-03,0.022593508,FALSE,FALSE
C14orf140,0.413883408,6.29E-04,0.013059606,FALSE,FALSE
C14orf151,-0.347110336,8.60E-03,0.048626555,FALSE,FALSE
C14orf153,0.392924253,2.86E-03,0.027559066,FALSE,FALSE
C14orf169,0.396673215,2.64E-03,0.026384676,FALSE,FALSE
C14orf2,-0.398389314,2.50E-03,0.02612156,FALSE,FALSE
C14orf28,0.395235789,2.76E-03,0.026944277,FALSE,FALSE
C14orf85,0.373721736,4.57E-03,0.035097795,FALSE,FALSE
C15orf15,0.350495106,7.96E-03,0.046723537,FALSE,FALSE
C15orf39,-0.421050916,1.41E-03,0.019346381,FALSE,FALSE
C15orf5,0.435742448,9.46E-04,0.016064181,FALSE,FALSE
C16orf25,0.428263473,5.57E-04,0.012244664,FALSE,FALSE
C16orf63,-0.356593239,6.87E-03,0.043127348,FALSE,FALSE
C17orf28,0.386848324,3.41E-03,0.030291942,FALSE,FALSE
C17orf38,0.45739589,5.14E-04,0.011664469,FALSE,FALSE
C17orf45,-0.494517131,1.70E-04,0.007097846,FALSE,FALSE
C17orf56,0.554565471,2.34E-05,0.002664272,FALSE,FALSE
C17orf58,0.337369217,3.19E-03,0.029234231,FALSE,FALSE
C17orf59,0.368127941,5.32E-03,0.038132763,FALSE,FALSE
