Gene symbol,mean(ASD) - mean(CTRL),p-value,q-value,Neurogenesis,SFARI
CRYZL1,-0.381214269,0.003796507,0.031659129,FALSE,FALSE
CSAD,0.398211162,0.002542929,0.02621338,FALSE,FALSE
CSDC2,0.350738032,0.007967991,0.046748568,FALSE,FALSE
CSF1,0.326944691,0.002774486,0.02703437,FALSE,FALSE
CSF2RA,0.330745069,0.004250617,0.033558869,FALSE,FALSE
CSF3,0.281862966,0.008805759,0.049383936,FALSE,FALSE
CSK,-0.397975252,0.002526563,0.026180915,FALSE,FALSE
CSNK1G2,0.404964497,0.002115997,0.024095231,FALSE,FALSE
CSNK2A1P,-0.348251919,0.008361358,0.047877857,FALSE,FALSE
CSNK2A2,-0.494703284,0.000170213,0.007097846,FALSE,FALSE
CSRP2,-0.396276799,0.002686301,0.026666979,FALSE,FALSE
CST3,-0.532869502,4.93E-05,0.004024604,FALSE,FALSE
CTDSPL2,-0.426999328,0.001191796,0.017754993,FALSE,FALSE
CTNNA1,-0.526547808,6.06E-05,0.004450131,FALSE,FALSE
CTNND1,0.345944358,0.005420327,0.038514422,FALSE,FALSE
CTPS,-0.377975477,0.004172213,0.033251749,FALSE,FALSE
CTSB,0.464371338,0.000419564,0.010910124,FALSE,FALSE
CTSE,0.291592406,0.007550761,0.045273746,FALSE,FALSE
CUEDC2,-0.477676245,0.000276252,0.008979493,FALSE,FALSE
CUGBP2,0.383057284,0.000859293,0.015389299,FALSE,FALSE
CUTA,-0.312403844,0.006554888,0.041921214,FALSE,FALSE
CXorf40A,-0.49147677,0.000185139,0.007235336,FALSE,FALSE
CXorf44,0.517679805,8.56E-05,0.005316132,FALSE,FALSE
CXorf45,0.451881448,0.000601712,0.012662047,FALSE,FALSE
CXXC1,0.504777264,0.00012373,0.006051301,FALSE,FALSE
CYCSL1,0.56369288,1.73E-05,0.002226888,FALSE,FALSE
CYLC2,0.373460556,0.004695938,0.035576055,FALSE,FALSE
CYorf15B,0.434403452,0.001008391,0.01654328,FALSE,FALSE
CYP1A1,-0.407740827,0.002049716,0.023761234,FALSE,FALSE
CYP3A7,-0.419618959,0.00148141,0.019914499,FALSE,FALSE
CYR61,0.408281765,0.001963051,0.023425063,FALSE,FALSE
CYS1,-0.314739538,0.006081903,0.040555478,FALSE,FALSE
CYSLTR1,0.366380109,0.005760517,0.039511832,FALSE,FALSE
DAD1,-0.385628668,0.003397212,0.030198352,FALSE,FALSE
DAG1,-0.363721085,0.005837065,0.039697997,FALSE,FALSE
DAND5,0.475228373,0.000324388,0.009778601,FALSE,FALSE
DAP3,-0.405965529,0.002065934,0.023826895,FALSE,FALSE
DAPK2,0.395375185,0.002736614,0.026838646,FALSE,FALSE
DAPP1,0.43676007,0.000900987,0.015674235,FALSE,FALSE
DARC,-0.431378505,0.001083502,0.016961772,FALSE,FALSE
DBT,0.380313463,0.003966633,0.032426546,FALSE,FALSE
DCI,-0.553202656,2.41E-05,0.002715518,FALSE,FALSE
DCLRE1C,0.562843134,3.19E-06,0.001272174,FALSE,FALSE
DCN,0.349564781,0.003033864,0.028527563,FALSE,FALSE
DCTN2,-0.382899728,0.003717739,0.031487268,FALSE,FALSE
DCUN1D4,0.394234843,0.001589568,0.02075648,FALSE,FALSE
DCXR,0.354583623,0.007268511,0.044483254,FALSE,FALSE
DDEF1,-0.361598007,0.006149459,0.040678886,FALSE,FALSE
DDN,0.391133792,0.003056166,0.028553464,FALSE,FALSE
DDX10,-0.355574232,0.007034996,0.043580547,FALSE,FALSE
DDX11,0.30871804,0.00245145,0.025927545,FALSE,TRUE
DDX46,-0.35082074,0.007838392,0.046363246,FALSE,FALSE
DDX48,-0.37335504,0.004642753,0.035378528,FALSE,FALSE
DDX51,0.367641317,0.005267967,0.03789941,FALSE,FALSE
DDX55,0.379457362,0.004108604,0.032985037,FALSE,FALSE
DDX56,0.401245442,0.002307839,0.025446576,FALSE,FALSE
DEADC1,0.37054274,0.004953954,0.036697366,FALSE,FALSE
DENND1C,0.441905473,0.000780198,0.014618753,FALSE,FALSE
DENND3,0.395744971,0.002665578,0.026539939,FALSE,FALSE
DENR,0.51134993,9.87E-05,0.005590696,FALSE,FALSE
DERA,-0.423868096,0.001299918,0.018377805,FALSE,FALSE
DERL1,-0.360869644,0.006232742,0.04096222,FALSE,FALSE
DEXI,-0.533339935,4.87E-05,0.004009401,FALSE,FALSE
DFNA5,0.362620552,0.006063343,0.040494801,FALSE,FALSE
DGCR14,0.497897422,0.00015243,0.006780369,FALSE,FALSE
DGKD,0.328527163,0.002612727,0.02637313,FALSE,FALSE
DGUOK,0.380013526,0.001492171,0.019936706,FALSE,FALSE
DHCR7,0.435201812,0.00097726,0.016328559,FALSE,TRUE
DHPS,0.468184378,0.000166927,0.007097846,FALSE,FALSE
DHRS10,0.355540468,0.007100273,0.043821266,FALSE,FALSE
DHRS7B,-0.429765645,0.001120145,0.01728808,FALSE,FALSE
DHRS9,0.428996154,0.002217982,0.024816336,FALSE,FALSE
DIRC2,-0.360998857,0.006261111,0.041050046,FALSE,FALSE
DKFZp761I2123,0.383019251,0.003681482,0.031374461,FALSE,FALSE
DKFZp762I137,0.462724814,0.00043492,0.011047372,FALSE,FALSE
DKFZP781I1119,0.431842799,0.001062056,0.016865197,FALSE,FALSE
DLD,-0.363484596,0.005824995,0.039697997,FALSE,FALSE
DLEU1,-0.447166046,0.000101771,0.00565299,FALSE,FALSE
DLEU7,-0.380608242,0.003939483,0.032412029,FALSE,FALSE
DLST,0.467722189,0.000374083,0.01044239,FALSE,FALSE
DMC1,0.427511612,0.001156379,0.017477535,FALSE,FALSE
DMPK,0.331487652,0.004392526,0.034283481,FALSE,TRUE
DNAI2,0.354654154,0.007205615,0.044197203,FALSE,FALSE
DNAJA2,0.386086197,0.003364984,0.030010053,FALSE,FALSE
DNAJA3,-0.388892311,0.003173481,0.029185981,FALSE,FALSE
DNAJA4,0.37303574,0.004765241,0.035893743,FALSE,FALSE
DNAJB14,0.31293039,0.004522665,0.034925539,FALSE,FALSE
DNAJC8,0.400495833,0.002359674,0.025666853,FALSE,FALSE
DNM2,0.386746376,0.002514027,0.026167033,FALSE,FALSE
DOK3,0.578882411,1.12E-05,0.001879153,FALSE,FALSE
DOM3Z,0.426774305,0.001226408,0.017928287,FALSE,FALSE
DONSON,-0.343747391,0.004175777,0.033255933,FALSE,FALSE
DOPEY2,0.543357458,3.57E-05,0.003201033,FALSE,FALSE
DPM1,-0.346448449,0.008580334,0.048588656,FALSE,FALSE
DPP7,0.513451968,9.66E-05,0.005590696,FALSE,FALSE
DPYD,-0.387120361,0.003336746,0.029937721,FALSE,TRUE
DPYS,-0.402367309,0.002446293,0.025927545,FALSE,FALSE
DRG1,-0.46247369,0.000431787,0.011047372,FALSE,FALSE
DSCR3,-0.385152733,0.003454974,0.03034208,FALSE,FALSE
DSCR6,-0.349437644,0.008197029,0.047408251,FALSE,FALSE
DSPP,0.630512037,1.43E-06,0.000863842,FALSE,FALSE
DSU,-0.367004992,0.005445091,0.038590147,FALSE,FALSE
DTNA,0.315305448,0.005778984,0.039540784,FALSE,FALSE
DTNBP1,0.318708113,0.000926252,0.015986696,FALSE,FALSE
DTWD2,0.457124204,0.000507462,0.01164137,FALSE,FALSE
DTX3,0.361868704,0.006069103,0.040494801,FALSE,FALSE
DULLARD,0.363079907,0.005932603,0.040115514,FALSE,FALSE
DUS3L,0.370833416,0.004990983,0.036788422,FALSE,FALSE
DUSP19,0.402369294,0.002254711,0.025150147,FALSE,FALSE
DUSP3,0.401001774,0.002354847,0.025666853,FALSE,FALSE
DUSP6,0.324359951,0.007978073,0.046748882,FALSE,FALSE
DUSP8,0.417833778,0.001508959,0.020038668,FALSE,FALSE
DUXAP3,0.453995862,0.000554286,0.012203821,FALSE,FALSE
DYNC1I2,-0.42376353,0.001285182,0.018192975,FALSE,FALSE
DYNLRB1,-0.413740413,0.001695854,0.021565795,FALSE,FALSE
DYNLT1,-0.397818341,0.002536903,0.02621338,FALSE,FALSE
DYRK1B,0.362708043,0.003202318,0.029271784,FALSE,FALSE
E4F1,0.34881678,0.008162762,0.047283167,FALSE,FALSE
EAF2,-0.350597768,0.007984761,0.046748882,FALSE,FALSE
EDG1,-0.365258836,0.005683144,0.039210649,FALSE,FALSE
EFCAB3,0.435175511,0.000980049,0.016347924,FALSE,FALSE
EFCBP1,-0.388007758,0.00326098,0.029490448,FALSE,FALSE
EFHB,0.352977568,0.007532865,0.045215995,FALSE,FALSE
EFNB2,0.629821766,1.50E-06,0.000863842,FALSE,FALSE
EHD4,0.365995995,0.005504527,0.03877305,FALSE,FALSE
EHF,-0.383626258,0.003645937,0.031254077,FALSE,FALSE
EID2B,0.38124362,0.003810729,0.031662186,FALSE,FALSE
EIF2AK1,0.357810392,0.006679589,0.042409416,FALSE,FALSE
EIF2AK2,0.393728118,0.00279155,0.027128491,FALSE,FALSE
EIF2AK4,0.423188019,0.001317822,0.018487612,FALSE,FALSE
EIF2C2,0.432378131,0.00102654,0.016690879,FALSE,FALSE
EIF3S12,-0.433985721,0.000970535,0.016313563,FALSE,FALSE
EIF3S5,-0.36758123,0.005245715,0.037865898,FALSE,FALSE
EIF3S8,0.400312438,0.002407055,0.025873603,FALSE,FALSE
EIF4E2,-0.360533048,0.006327349,0.041357415,FALSE,FALSE
EIF4ENIF1,-0.379561168,0.004030815,0.032742639,FALSE,FALSE
EIF4G3,0.371677825,0.004819631,0.036172192,FALSE,FALSE
EIF5,0.338810445,0.000728405,0.01408235,FALSE,FALSE
ELA3B,0.374724424,0.004532854,0.034943072,FALSE,FALSE
ELAVL1,0.559432064,1.96E-05,0.002460676,FALSE,FALSE
ELF3,-0.360285571,0.006379734,0.041504498,FALSE,FALSE
EMR4,0.317896183,0.008033374,0.046917854,FALSE,FALSE
ENO3,0.481477505,0.000165543,0.007097846,FALSE,FALSE
ENOSF1,0.430819441,0.001080145,0.016942157,FALSE,FALSE
ENPP2,-0.362133903,0.005145136,0.03750894,FALSE,FALSE
ENTPD5,0.408414509,0.001939581,0.023220972,FALSE,FALSE
ENTPD6,0.357262449,0.00674937,0.042666278,FALSE,FALSE
EPB41L3,0.387202715,0.003505394,0.030661829,FALSE,FALSE
EPDR1,-0.513771251,9.27E-05,0.005486763,FALSE,FALSE
EPHB1,-0.427442954,0.001174134,0.017602928,FALSE,FALSE
EPOR,0.419533061,0.001447998,0.019634194,FALSE,FALSE
ERAL1,0.424350094,0.001276188,0.018172789,FALSE,FALSE
ESRRG,0.39984168,6.71E-05,0.00478416,FALSE,FALSE
ET,0.508434953,0.000111528,0.00577449,FALSE,FALSE
ETFA,-0.372366137,0.004673974,0.035517503,FALSE,FALSE
ETV3,0.377084462,0.00429183,0.033786743,FALSE,FALSE
EVL,0.351512809,0.007692956,0.045925019,FALSE,FALSE
EXOC1,0.39336491,0.000360301,0.010294015,FALSE,FALSE
EXOC7,0.415409233,0.000261432,0.008721747,FALSE,FALSE
EXOSC1,-0.480322606,0.000262888,0.00874365,FALSE,FALSE
EXT2,-0.326961108,0.002104464,0.024088085,FALSE,FALSE
EXTL2,-0.340388083,0.006138147,0.040678886,FALSE,FALSE
EYA3,0.33963087,0.004730597,0.035724498,FALSE,FALSE
F12,-0.441606526,0.000805752,0.014793603,FALSE,FALSE
F2R,0.587324025,7.73E-06,0.001540776,FALSE,FALSE
F9,0.354088667,0.007291107,0.044574524,FALSE,FALSE
FABP5L3,0.482824853,0.000257536,0.008644496,FALSE,FALSE
FAM100A,0.390849362,0.003045519,0.028553464,FALSE,FALSE
FAM102A,0.636463462,2.49E-07,0.000303307,FALSE,FALSE
FAM103A1,0.411262023,0.001789148,0.022121852,FALSE,FALSE
FAM10A4,0.399462462,0.002522847,0.026180915,FALSE,FALSE
FAM113A,0.433610075,0.000990318,0.016441296,FALSE,FALSE
FAM119A,0.362297479,0.006018657,0.040344148,FALSE,FALSE
FAM125A,0.355348114,0.007079087,0.04373985,FALSE,FALSE
FAM20B,-0.354799534,0.007228826,0.044314734,FALSE,FALSE
FAM3A,0.433711081,0.001001726,0.016483363,FALSE,FALSE
FAM40B,0.492988726,0.000177729,0.007097846,FALSE,FALSE
FAM50A,0.353096804,0.007531461,0.045215995,FALSE,FALSE
FAM53C,0.345626476,0.008789342,0.049321961,FALSE,FALSE
FAM55A,0.427592441,0.001197677,0.017775972,FALSE,FALSE
FAM62A,0.401954872,0.0023849,0.025761984,FALSE,FALSE
FAM63A,0.39866932,0.002498507,0.02612156,FALSE,FALSE
FAM82C,-0.371088031,0.004906315,0.036497351,FALSE,FALSE
FAM89B,0.384601211,0.003537453,0.030816587,FALSE,FALSE
FANCD2,0.357167408,0.004413119,0.034370663,FALSE,FALSE
FARSB,0.39731094,0.002604022,0.02637313,FALSE,FALSE
FASTK,0.27871438,0.006181933,0.040743701,FALSE,FALSE
FAU,-0.675185241,2.20E-07,0.000303307,FALSE,FALSE
FBS1,0.42510403,0.0012345,0.017939676,FALSE,FALSE
FBXO11,0.472905554,8.17E-06,0.001540776,FALSE,FALSE
FBXO2,0.360158315,0.006390293,0.041513772,FALSE,FALSE
FBXO44,0.380107345,0.000405871,0.010910124,FALSE,FALSE
FBXW10,-0.475292565,0.000307271,0.009525013,FALSE,FALSE
FBXW5,0.57879096,1.00E-05,0.001739518,FALSE,FALSE
FBXW8,0.371733784,0.00050515,0.01164137,FALSE,FALSE
FCAR,0.356657831,0.001108834,0.017169928,FALSE,FALSE
FCF1,0.464746653,0.000435129,0.011047372,FALSE,FALSE
FCGR2B,-0.347992661,0.008475858,0.048280953,FALSE,FALSE
FDX1,-0.438195257,0.000883134,0.015536564,FALSE,FALSE
FER1L4,0.366482616,0.005467259,0.038647129,FALSE,FALSE
FGA,0.336402376,0.002487125,0.026068482,FALSE,FALSE
FGD6,0.39758472,0.002606652,0.02637313,FALSE,FALSE
FIS1,-0.347093894,0.008468831,0.048280953,FALSE,FALSE
FKBP14,0.363507678,0.005840848,0.039697997,FALSE,FALSE
FKBP5,-0.497385934,0.000153049,0.006780369,FALSE,FALSE
FKSG14,-0.369044894,0.005149835,0.037518199,FALSE,FALSE
FLJ10099,-0.368274373,0.005259849,0.037865898,FALSE,FALSE
FLJ10241,-0.463603809,0.000429542,0.011047372,FALSE,FALSE
FLJ10374,0.422167115,0.001358256,0.018863683,FALSE,FALSE
FLJ10922,0.449452161,0.000641202,0.013213537,FALSE,FALSE
FLJ11286,0.351969774,0.007709248,0.045972121,FALSE,FALSE
FLJ12949,0.415491864,0.000664644,0.013493313,FALSE,FALSE
FLJ13305,0.476494988,0.000293488,0.00930873,FALSE,FALSE
FLJ13639,0.311898248,0.003230224,0.029333517,FALSE,FALSE
FLJ16636,0.39288789,0.002890814,0.027728136,FALSE,FALSE
FLJ16641,-0.383582528,0.003663127,0.031340075,FALSE,FALSE
FLJ20054,0.514272239,8.96E-05,0.005447876,FALSE,FALSE
FLJ20125,-0.382596798,0.003715785,0.031487268,FALSE,FALSE
FLJ20551,0.418742314,0.001465522,0.019773799,FALSE,FALSE
FLJ20701,0.350305678,0.008000465,0.046765758,FALSE,FALSE
FLJ21075,-0.353410846,0.007447033,0.045045126,FALSE,FALSE
FLJ21106,0.394511196,0.002788949,0.027127304,FALSE,FALSE
FLJ22104,0.394528474,0.002809412,0.027253667,FALSE,FALSE
FLJ23588,0.328083807,0.006143095,0.040678886,FALSE,FALSE
FLJ25416,-0.386670363,0.003365776,0.030010053,FALSE,FALSE
FLJ30277,-0.426099109,0.00124036,0.018000931,FALSE,FALSE
FLJ32130,0.380194009,0.004014166,0.032682456,FALSE,FALSE
FLJ32447,0.639657434,1.01E-06,0.000852082,FALSE,FALSE
FLJ33590,0.367924364,0.005394289,0.038404217,FALSE,FALSE
FLJ35220,0.501889729,0.000134644,0.006326746,FALSE,FALSE
FLJ35773,0.399449248,0.002481145,0.026044614,FALSE,FALSE
FLJ36046,0.392327869,0.002946286,0.028083295,FALSE,FALSE
FLJ36492,0.35034039,0.002227095,0.024892847,FALSE,FALSE
FLJ37357,0.587232025,7.67E-06,0.001540776,FALSE,FALSE
FLJ37440,-0.376866898,0.004314982,0.033942635,FALSE,FALSE
FLJ37562,0.379359145,0.004073699,0.032897904,FALSE,FALSE
FLJ40296,0.348011374,0.008476966,0.048280953,FALSE,FALSE
FLJ40411,0.353052507,0.007515962,0.045210929,FALSE,FALSE
FLJ41131,0.401325995,0.002326715,0.025568315,FALSE,FALSE
FLJ41423,0.683938107,1.59E-07,0.000303307,FALSE,FALSE
FLJ42957,0.451261781,0.000609087,0.012725132,FALSE,FALSE
FLJ44124,0.465138198,0.000401985,0.010887983,FALSE,FALSE
FLJ45256,0.73908605,1.47E-08,7.40E-05,FALSE,FALSE
FLJ45337,0.395920135,0.002820565,0.027303202,FALSE,FALSE
FLJ45445,0.566322009,1.60E-05,0.002188103,FALSE,FALSE
FLJ46109,0.380914983,0.002730627,0.026822284,FALSE,FALSE
FLJ46309,0.396215325,0.002622727,0.026378057,FALSE,FALSE
FLJ90652,0.356890068,0.00701705,0.043536876,FALSE,FALSE
FMNL3,0.37011115,0.000759607,0.014355843,FALSE,FALSE
FOXC1,0.398644474,0.002600058,0.02637313,FALSE,FALSE
FOXC2,0.49469835,0.000168478,0.007097846,FALSE,FALSE
FOXD4,0.416751564,0.001577433,0.020630762,FALSE,FALSE
FRAT2,-0.368651088,0.00518357,0.037713749,FALSE,FALSE
FSD1,0.314747391,0.00148667,0.019932035,FALSE,FALSE
FTHL12,-0.378599546,0.004069119,0.032892109,FALSE,FALSE
FTHL7,-0.497065042,0.000152576,0.006780369,FALSE,FALSE
FTL,-0.511151138,9.93E-05,0.005590696,FALSE,FALSE
FTSJ3,-0.376100788,0.00438591,0.034283481,FALSE,FALSE
FUBP3,-0.476993434,0.000281257,0.009105528,FALSE,FALSE
FUNDC1,-0.419848885,0.001429996,0.019494085,FALSE,FALSE
FYTTD1,0.484173932,4.69E-05,0.003919946,FALSE,FALSE
FZD7,0.452390262,0.000596367,0.012662047,FALSE,FALSE
GABBR1,0.306017062,0.005725162,0.039406961,FALSE,FALSE
GALNT11,0.417006285,0.001556564,0.020472087,FALSE,FALSE
GALNT2,-0.364935441,0.005781582,0.039540784,FALSE,FALSE
GALNT3,0.504381324,0.000124691,0.006051301,FALSE,FALSE
GALT,0.386777214,0.000823079,0.014936287,FALSE,FALSE
GANAB,0.40796437,0.002004852,0.023638499,FALSE,FALSE
GAS2L3,0.392161097,0.002961661,0.028083295,FALSE,FALSE
GATA2,0.416336074,0.001600172,0.020845201,FALSE,FALSE
GATA4,0.383609722,0.003672338,0.031370588,FALSE,FALSE
GBA,0.432644801,0.001048327,0.01680008,FALSE,FALSE
GBAS,-0.352632284,0.007519626,0.045210929,FALSE,FALSE
GCA,-0.544343745,3.30E-05,0.003117163,FALSE,FALSE
GCLM,0.52497848,6.73E-05,0.00478416,FALSE,FALSE
GCSH,-0.37429104,0.004535103,0.034943072,FALSE,FALSE
GDAP2,-0.386394707,0.003434756,0.030334945,FALSE,FALSE
GDPD1,0.540378185,3.93E-05,0.003408966,FALSE,FALSE
GDPD5,0.421281226,0.001426583,0.019488711,FALSE,FALSE
GFPT2,0.361946121,0.006109463,0.040640188,FALSE,FALSE
GFRA3,0.353195224,0.007491771,0.04517031,FALSE,FALSE
GGT1,0.449159979,0.000204644,0.007680948,FALSE,FALSE
GHITM,-0.387212991,0.003330404,0.029920456,FALSE,FALSE
GIMAP8,0.360502371,0.006350774,0.041389531,FALSE,FALSE
GIPC1,-0.307129618,0.005140915,0.037503152,FALSE,FALSE
GIT1,0.39497966,0.002699108,0.026700693,FALSE,FALSE
GJB6,0.361733261,0.006501546,0.041775399,FALSE,FALSE
GK,-0.373224985,0.00471064,0.035647591,FALSE,FALSE
GLO1,-0.352380792,0.007561784,0.045290206,FALSE,TRUE
GLRX,-0.51585529,8.51E-05,0.005316132,FALSE,FALSE
GLT25D1,0.356525092,0.006948617,0.043374163,FALSE,FALSE
GLTP,-0.345964122,0.008895665,0.049564892,FALSE,FALSE
GMIP,0.464808304,0.000408857,0.010910124,FALSE,FALSE
GNA11,0.462040731,0.000442807,0.011074562,FALSE,FALSE
GNB2L1,0.514298758,9.10E-05,0.005470709,FALSE,FALSE
GNB4,0.518523163,8.33E-05,0.005316132,FALSE,FALSE
GNG11,-0.36259675,0.006002749,0.040273076,FALSE,FALSE
GNG5,-0.354864374,0.007125981,0.043905637,FALSE,FALSE
GNPDA2,-0.383418394,0.003678161,0.031370588,FALSE,FALSE
GNPTG,0.548254495,2.86E-05,0.002965451,FALSE,FALSE
GORASP2,-0.367874876,0.005322812,0.038143514,FALSE,FALSE
GOSR1,0.42112897,0.000203463,0.007677262,FALSE,FALSE
GPR1,0.471707295,0.000334177,0.009936822,FALSE,FALSE
GPR149,0.292521753,0.007423702,0.045018637,FALSE,FALSE
GPR172A,0.358258563,0.00662145,0.04217436,FALSE,FALSE
GPR37,0.390104021,0.003109962,0.028839761,FALSE,FALSE
GPR44,-0.391167844,0.003088539,0.028729683,FALSE,FALSE
GPR64,0.315397373,0.007870202,0.046476031,FALSE,FALSE
GPR65,0.401406656,0.002341537,0.025659748,FALSE,FALSE
GPX6,0.436698119,0.000919298,0.015916884,FALSE,FALSE
GRAMD1C,0.50711619,0.000114203,0.005812642,FALSE,FALSE
GRHPR,-0.466837827,0.00038584,0.010644869,FALSE,FALSE
GRIK2,0.318963487,0.007621047,0.045570327,FALSE,TRUE
GRIN1,0.415737107,0.000473682,0.011427439,FALSE,FALSE
GRIP1,0.407314866,0.002036637,0.023713333,FALSE,TRUE
GRM3,0.412777409,0.001900124,0.022854802,FALSE,FALSE
GSDML,0.560642343,2.30E-05,0.002664272,FALSE,FALSE
GSG2,-0.367125818,0.005454112,0.038613009,FALSE,FALSE
GSPT1,0.378966128,0.004088115,0.032917148,FALSE,FALSE
GSTP1,-0.356483937,0.006983373,0.043476515,FALSE,FALSE
GTF2E1,-0.365481258,0.005579699,0.038873421,FALSE,FALSE
GTF2E2,-0.391144917,0.003064199,0.028584955,FALSE,FALSE
GTF2F2,-0.454497284,0.000570104,0.012377754,FALSE,FALSE
GTF2H1,0.357387268,0.006825547,0.043048353,FALSE,FALSE
GTF2IRD2P,0.377303184,0.004277824,0.033733907,FALSE,FALSE
GTF3C5,-0.347222515,0.008565784,0.048563122,FALSE,FALSE
GTPBP2,0.488272364,0.000207509,0.007723404,FALSE,FALSE
GTPBP6,0.364785097,0.005780538,0.039540784,FALSE,FALSE
GYG1,-0.370963089,0.004886407,0.036378643,FALSE,FALSE
GYPC,0.346666313,0.004100118,0.032965287,FALSE,FALSE
GZMA,-0.410840634,0.001834607,0.022441908,FALSE,FALSE
H19,0.399881969,0.002451803,0.025927545,FALSE,FALSE
H2AFZ,-0.41874088,0.001470937,0.019822412,FALSE,FALSE
HADHSC,-0.392863905,0.00289738,0.027728136,FALSE,FALSE
HAGHL,0.305918116,0.007832988,0.046356341,FALSE,FALSE
HBXIP,-0.353465286,0.007337685,0.04478523,FALSE,FALSE
HCFC1,-0.440392474,0.0008109,0.014863176,FALSE,FALSE
HCG2P7,0.416402842,0.001560221,0.020495559,FALSE,FALSE
HCG3,-0.434581716,0.000975935,0.016328559,FALSE,FALSE
HCK,0.363865617,0.005833873,0.039697997,FALSE,FALSE
HCST,0.580802062,1.32E-05,0.002041689,FALSE,FALSE
HDAC10,0.411200806,0.001800068,0.022181683,FALSE,FALSE
HDAC3,-0.430835428,0.00107099,0.016935496,FALSE,FALSE
HDAC7A,0.390849638,0.001400408,0.019275519,FALSE,FALSE
HDDC3,-0.357502498,0.006740089,0.042656894,FALSE,FALSE
HDGF,-0.406484426,0.002016465,0.023649805,FALSE,FALSE
HEM1,0.551911962,2.62E-05,0.002845942,FALSE,FALSE
HEMK1,0.362945004,0.005974822,0.040247679,FALSE,FALSE
HERC6,-0.351544102,0.007775964,0.046191662,FALSE,FALSE
HHLA3,-0.304024167,0.005379186,0.038368048,FALSE,FALSE
HIGD2A,0.378428622,0.004144699,0.033128983,FALSE,FALSE
HILS1,0.428077334,0.001169102,0.017572752,FALSE,FALSE
HINT1,-0.388900166,0.003127209,0.02894578,FALSE,FALSE
HIPK1,0.365851518,0.000514966,0.011666759,FALSE,FALSE
HIPK4,-0.376692934,0.004332624,0.033985635,FALSE,FALSE
HIST1H2AG,-0.377392315,0.004278953,0.033733907,FALSE,FALSE
HIST1H4C,-0.423594936,0.001303483,0.018380705,FALSE,FALSE
HIST1H4F,0.345548014,0.008945175,0.049737317,FALSE,FALSE
HIVEP3,0.424911845,0.001267788,0.0181442,FALSE,FALSE
HKR3,0.417569594,0.001529911,0.02019437,FALSE,FALSE
HMG20B,0.391564278,0.002956169,0.028083295,FALSE,FALSE
HMGB3,-0.348509598,0.00827546,0.047685437,FALSE,FALSE
HMGN2,-0.351151265,0.007765306,0.046180576,FALSE,FALSE
HMGN3,-0.46507478,0.000409485,0.010910124,FALSE,FALSE
HMGN4,-0.593753262,5.60E-06,0.001458938,FALSE,FALSE
HMMR,-0.345584619,0.00336094,0.030010053,FALSE,FALSE
HNRPA0,-0.377024285,0.004204715,0.033340807,FALSE,FALSE
HNRPA3,-0.382134309,0.003759861,0.03161541,FALSE,FALSE
HNRPDL,0.318233886,0.004600481,0.03524059,FALSE,FALSE
HNRPH2,-0.448581386,0.000650776,0.013335486,FALSE,FALSE
HNRPM,-0.35940336,0.002899319,0.027728136,FALSE,FALSE
HNRPU,0.548338679,4.98E-06,0.001433224,FALSE,FALSE
HNRPUL1,-0.422572759,0.000139913,0.006466571,FALSE,FALSE
HNRPUL2,0.367573405,0.005350464,0.03827772,FALSE,FALSE
HOM-TES-103,0.324695024,0.004870406,0.036329017,FALSE,FALSE
HOXB2,-0.424792849,0.001281458,0.018172789,FALSE,FALSE
HOXB6,0.340855814,0.004540902,0.034943072,FALSE,FALSE
HOXB9,0.345895061,0.008871384,0.049511391,FALSE,FALSE
HOXC4,0.330355021,0.004978691,0.036760851,FALSE,FALSE
HPS1,0.44180875,0.000241639,0.00847484,FALSE,FALSE
HPS5,0.400122294,0.00153257,0.020205097,FALSE,FALSE
HRK,0.398803376,0.002557124,0.026249026,FALSE,FALSE
HSA9761,0.400587947,0.002403948,0.025870319,FALSE,FALSE
HSCB,0.56416071,1.71E-05,0.002226888,FALSE,FALSE
HSD11B1,0.307536789,0.003549576,0.030826525,FALSE,TRUE
HSD17B1,0.426226128,0.00123331,0.017939676,FALSE,FALSE
HSD17B12,0.390011716,0.003090215,0.028729683,FALSE,FALSE
HSD17B8,-0.359709061,0.006392541,0.041513772,FALSE,FALSE
HSD3B1,-0.36476899,0.005749169,0.039467109,FALSE,FALSE
HSF2,-0.446946305,0.000687206,0.013638029,FALSE,FALSE
HSH2D,0.594997219,5.84E-06,0.001485096,FALSE,FALSE
HSPB1,0.394219565,0.002824499,0.027303202,FALSE,FALSE
HSPC023,0.35322317,0.007439079,0.045045126,FALSE,FALSE
HSPC152,-0.420738147,0.001382439,0.019124415,FALSE,FALSE
HSPC159,0.431166163,0.001078815,0.016942157,FALSE,FALSE
HSPC268,0.426729565,0.001194046,0.017754993,FALSE,FALSE
HSZFP36,-0.381799643,0.002410496,0.025876082,FALSE,FALSE
HTATIP2,-0.4999998,0.000140057,0.006466571,FALSE,FALSE
HTATSF1,0.349994276,0.008043543,0.046917854,FALSE,FALSE
HTF9C,0.322353907,0.003645249,0.031254077,FALSE,FALSE
HTR2C,0.414293808,0.001688631,0.021536052,FALSE,FALSE
HTR7,-0.317922619,0.005434332,0.038579498,FALSE,TRUE
HTRA4,0.362899827,0.006165147,0.040692975,FALSE,FALSE
HYPK,0.402085385,0.002264379,0.025206598,FALSE,FALSE
